,latitude,longitude,measuring,DateTime
0,-28.456899,-48.972999,105.77,2022-11-20 13:48:30
1,-28.456899,-48.972999,92.35,2022-11-21 10:40:56
2,-28.456899,-48.972999,73.28,2022-11-21 10:56:42
3,-28.456899,-48.972999,69.64,2022-11-21 11:12:31
4,-28.456899,-48.972999,77.29,2022-11-21 11:28:16
5,-28.456899,-48.972999,67.38,2022-11-21 11:44:02
6,-28.456899,-48.972999,71.27,2022-11-21 11:59:40
7,-28.456899,-48.972999,72.4,2022-11-21 12:15:27
8,-28.456899,-48.972999,71.27,2022-11-21 12:31:12
9,-28.456899,-48.972999,70.64,2022-11-21 12:46:55
10,-28.456899,-48.972999,68.39,2022-11-21 13:02:40
11,-28.456899,-48.972999,65.5,2022-11-21 13:18:27
12,-28.456899,-48.972999,76.42,2022-11-21 13:34:09
13,-28.456899,-48.972999,73.15,2022-11-21 13:49:56
14,-28.456899,-48.972999,82.56,2022-11-21 14:05:41
15,-28.456899,-48.972999,80.18,2022-11-21 14:21:27
16,-28.456899,-48.972999,77.92,2022-11-21 14:37:10
17,-28.456899,-48.972999,90.22,2022-11-21 14:52:57
18,-28.456899,-48.972999,86.7,2022-11-21 15:08:42
19,-28.456899,-48.972999,90.22,2022-11-21 15:24:27
20,-28.456899,-48.972999,92.47,2022-11-21 15:40:12
21,-28.456899,-48.972999,99.25,2022-11-21 15:55:57
22,-28.456899,-48.972999,95.74,2022-11-21 16:11:39
23,-28.456899,-48.972999,96.11,2022-11-21 16:27:24
24,-28.456899,-48.972999,87.33,2022-11-21 16:43:11
25,-28.456899,-48.972999,76.79,2022-11-21 16:58:56
26,-28.456899,-48.972999,100.13,2022-11-21 17:14:41
27,-28.456899,-48.972999,111.92,2022-11-21 17:30:27
28,-28.456899,-48.972999,110.29,2022-11-21 17:46:11
29,-28.456899,-48.972999,104.39,2022-11-21 18:01:55
30,-28.456899,-48.972999,106.15,2022-11-21 18:17:37
31,-28.456899,-48.972999,117.44,2022-11-21 18:33:16
32,-28.456899,-48.972999,117.94,2022-11-21 18:49:04
33,-28.456899,-48.972999,123.22,2022-11-21 19:04:48
34,-28.456899,-48.972999,128.99,2022-11-21 19:20:28
35,-28.456899,-48.972999,115.06,2022-11-21 19:36:12
36,-28.456899,-48.972999,119.07,2022-11-21 19:51:57
37,-28.456899,-48.972999,126.85,2022-11-21 20:07:42
38,-28.456899,-48.972999,117.94,2022-11-21 20:23:29
39,-28.456899,-48.972999,116.44,2022-11-21 20:39:14
40,-28.456899,-48.972999,119.83,2022-11-21 20:54:58
41,-28.456899,-48.972999,116.19,2022-11-21 21:10:43
42,-28.456899,-48.972999,117.94,2022-11-21 21:26:27
43,-28.456899,-48.972999,116.81,2022-11-21 21:42:10
44,-28.456899,-48.972999,128.73,2022-11-21 21:57:57
45,-28.456899,-48.972999,122.71,2022-11-21 22:13:42
46,-28.456899,-48.972999,121.58,2022-11-21 22:29:26
47,-28.456899,-48.972999,122.34,2022-11-21 22:45:11
48,-28.456899,-48.972999,121.58,2022-11-21 23:00:56
49,-28.456899,-48.972999,124.59,2022-11-21 23:16:41
50,-28.456899,-48.972999,122.21,2022-11-21 23:32:26
51,-28.456899,-48.972999,134.76,2022-11-21 23:48:10
52,-28.456899,-48.972999,127.61,2022-11-22 00:03:55
53,-28.456899,-48.972999,127.61,2022-11-22 00:19:40
54,-28.456899,-48.972999,128.23,2022-11-22 00:35:24
55,-28.456899,-48.972999,132.25,2022-11-22 00:51:09
56,-28.456899,-48.972999,126.98,2022-11-22 01:06:54
57,-28.456899,-48.972999,125.85,2022-11-22 01:22:39
58,-28.456899,-48.972999,118.7,2022-11-22 01:38:24
59,-28.456899,-48.972999,120.58,2022-11-22 01:54:08
60,-28.456899,-48.972999,122.34,2022-11-22 02:09:52
61,-28.456899,-48.972999,129.36,2022-11-22 02:25:37
62,-28.456899,-48.972999,130.62,2022-11-22 02:41:22
63,-28.456899,-48.972999,128.23,2022-11-22 02:57:06
64,-28.456899,-48.972999,131.75,2022-11-22 03:12:52
65,-28.456899,-48.972999,124.09,2022-11-22 03:28:36
66,-28.456899,-48.972999,129.49,2022-11-22 03:44:21
67,-28.456899,-48.972999,128.86,2022-11-22 04:00:06
68,-28.456899,-48.972999,122.34,2022-11-22 04:15:51
69,-28.456899,-48.972999,121.71,2022-11-22 04:31:35
70,-28.456899,-48.972999,122.34,2022-11-22 04:47:19
71,-28.456899,-48.972999,119.95,2022-11-22 05:03:05
72,-28.456899,-48.972999,124.72,2022-11-22 05:18:50
