,latitude,longitude,measuring,DateTime
0,-28.456899,-48.972999,40.19,2022-11-20 13:47:27
1,-28.456899,-48.972999,36.7,2022-11-21 10:39:52
2,-28.456899,-48.972999,37.4,2022-11-21 10:55:39
3,-28.456899,-48.972999,34.61,2022-11-21 11:11:27
4,-28.456899,-48.972999,23.45,2022-11-21 11:27:13
5,-28.456899,-48.972999,22.06,2022-11-21 11:42:59
6,-28.456899,-48.972999,29.03,2022-11-21 11:58:37
7,-28.456899,-48.972999,29.03,2022-11-21 12:14:24
8,-28.456899,-48.972999,27.64,2022-11-21 12:30:09
9,-28.456899,-48.972999,31.82,2022-11-21 12:45:51
10,-28.456899,-48.972999,36.01,2022-11-21 13:01:37
11,-28.456899,-48.972999,13.68,2022-11-21 13:17:24
12,-28.456899,-48.972999,30.43,2022-11-21 13:33:06
13,-28.456899,-48.972999,31.82,2022-11-21 13:48:53
14,-28.456899,-48.972999,29.03,2022-11-21 14:04:38
15,-28.456899,-48.972999,33.22,2022-11-21 14:20:23
16,-28.456899,-48.972999,47.17,2022-11-21 14:36:07
17,-28.456899,-48.972999,47.17,2022-11-21 14:51:53
18,-28.456899,-48.972999,52.75,2022-11-21 15:07:39
19,-28.456899,-48.972999,31.82,2022-11-21 15:23:24
20,-28.456899,-48.972999,42.98,2022-11-21 15:39:09
21,-28.456899,-48.972999,47.17,2022-11-21 15:54:54
22,-28.456899,-48.972999,38.8,2022-11-21 16:10:36
23,-28.456899,-48.972999,38.8,2022-11-21 16:26:21
24,-28.456899,-48.972999,23.45,2022-11-21 16:42:08
25,-28.456899,-48.972999,36.01,2022-11-21 16:57:53
26,-28.456899,-48.972999,41.59,2022-11-21 17:13:38
27,-28.456899,-48.972999,59.72,2022-11-21 17:29:23
28,-28.456899,-48.972999,30.43,2022-11-21 17:45:08
29,-28.456899,-48.972999,38.8,2022-11-21 18:00:52
30,-28.456899,-48.972999,36.01,2022-11-21 18:16:37
31,-28.456899,-48.972999,41.59,2022-11-21 18:32:13
32,-28.456899,-48.972999,40.19,2022-11-21 18:48:01
33,-28.456899,-48.972999,31.82,2022-11-21 19:03:45
34,-28.456899,-48.972999,15.08,2022-11-21 19:19:25
35,-28.456899,-48.972999,38.8,2022-11-21 19:35:11
36,-28.456899,-48.972999,37.4,2022-11-21 19:50:54
37,-28.456899,-48.972999,37.4,2022-11-21 20:06:39
38,-28.456899,-48.972999,42.98,2022-11-21 20:22:26
39,-28.456899,-48.972999,27.64,2022-11-21 20:38:11
40,-28.456899,-48.972999,27.64,2022-11-21 20:53:55
41,-28.456899,-48.972999,30.43,2022-11-21 21:09:40
42,-28.456899,-48.972999,26.24,2022-11-21 21:25:24
43,-28.456899,-48.972999,34.61,2022-11-21 21:41:07
44,-28.456899,-48.972999,26.24,2022-11-21 21:56:54
45,-28.456899,-48.972999,42.98,2022-11-21 22:12:39
46,-28.456899,-48.972999,38.8,2022-11-21 22:28:23
47,-28.456899,-48.972999,41.59,2022-11-21 22:44:08
48,-28.456899,-48.972999,29.03,2022-11-21 22:59:53
49,-28.456899,-48.972999,29.03,2022-11-21 23:15:38
50,-28.456899,-48.972999,31.82,2022-11-21 23:31:23
51,-28.456899,-48.972999,31.82,2022-11-21 23:47:07
52,-28.456899,-48.972999,31.82,2022-11-22 00:02:52
53,-28.456899,-48.972999,24.85,2022-11-22 00:18:37
54,-28.456899,-48.972999,26.24,2022-11-22 00:34:21
55,-28.456899,-48.972999,31.82,2022-11-22 00:50:06
56,-28.456899,-48.972999,33.22,2022-11-22 01:05:51
57,-28.456899,-48.972999,38.8,2022-11-22 01:21:36
58,-28.456899,-48.972999,24.85,2022-11-22 01:37:21
59,-28.456899,-48.972999,36.01,2022-11-22 01:53:05
60,-28.456899,-48.972999,31.82,2022-11-22 02:08:49
61,-28.456899,-48.972999,30.43,2022-11-22 02:24:34
62,-28.456899,-48.972999,38.8,2022-11-22 02:40:19
63,-28.456899,-48.972999,27.64,2022-11-22 02:56:03
64,-28.456899,-48.972999,33.22,2022-11-22 03:11:49
65,-28.456899,-48.972999,23.45,2022-11-22 03:27:33
66,-28.456899,-48.972999,33.22,2022-11-22 03:43:18
67,-28.456899,-48.972999,26.24,2022-11-22 03:59:03
68,-28.456899,-48.972999,31.82,2022-11-22 04:14:48
69,-28.456899,-48.972999,33.22,2022-11-22 04:30:32
70,-28.456899,-48.972999,29.03,2022-11-22 04:46:16
71,-28.456899,-48.972999,29.03,2022-11-22 05:02:02
72,-28.456899,-48.972999,27.64,2022-11-22 05:17:47
73,-28.456899,-48.972999,33.22,2022-11-22 05:33:31
74,-28.456899,-48.972999,33.22,2022-11-22 05:49:16
75,-28.456899,-48.972999,34.61,2022-11-22 06:05:00
76,-28.456899,-48.972999,27.64,2022-11-22 06:20:45
77,-28.456899,-48.972999,31.82,2022-11-22 06:36:30
78,-28.456899,-48.972999,30.43,2022-11-22 06:52:15
79,-28.456899,-48.972999,27.64,2022-11-22 07:07:58
80,-28.456899,-48.972999,29.03,2022-11-22 07:23:45
81,-28.456899,-48.972999,22.06,2022-11-22 07:39:30
82,-28.456899,-48.972999,31.82,2022-11-22 07:55:14
83,-28.456899,-48.972999,27.64,2022-11-22 08:10:59
84,-28.456899,-48.972999,23.45,2022-11-22 08:26:44
85,-28.456899,-48.972999,29.03,2022-11-22 08:42:29
86,-28.456899,-48.972999,30.43,2022-11-22 08:58:14
87,-28.456899,-48.972999,30.43,2022-11-22 09:14:00
88,-28.456899,-48.972999,31.82,2022-11-22 09:29:43
89,-28.456899,-48.972999,29.03,2022-11-22 09:45:23
90,-28.456899,-48.972999,31.82,2022-11-22 10:01:08
91,-28.456899,-48.972999,24.85,2022-11-22 10:16:53
92,-28.456899,-48.972999,29.03,2022-11-22 10:32:38
93,-28.456899,-48.972999,31.82,2022-11-22 10:48:23
94,-28.456899,-48.972999,-1.66,2022-11-22 11:04:08
95,-28.456899,-48.972999,26.24,2022-11-22 11:19:52
96,-28.456899,-48.972999,34.61,2022-11-22 11:35:35
97,-28.456899,-48.972999,34.61,2022-11-22 11:51:16
98,-28.456899,-48.972999,37.4,2022-11-22 12:07:01
99,-28.456899,-48.972999,34.61,2022-11-22 12:22:46
100,-28.456899,-48.972999,29.03,2022-11-22 12:38:30
101,-28.456899,-48.972999,37.4,2022-11-22 12:54:15
102,-28.456899,-48.972999,33.22,2022-11-22 13:10:01
103,-28.456899,-48.972999,45.77,2022-11-22 13:25:45
104,-28.456899,-48.972999,41.59,2022-11-22 13:41:30
105,-28.456899,-48.972999,36.01,2022-11-22 13:57:13
106,-28.456899,-48.972999,27.64,2022-11-22 14:12:59
107,-28.456899,-48.972999,26.24,2022-11-22 14:28:45
108,-28.456899,-48.972999,24.85,2022-11-22 14:44:33
109,-28.456899,-48.972999,31.82,2022-11-22 15:00:17
110,-28.456899,-48.972999,29.03,2022-11-22 15:16:03
111,-28.456899,-48.972999,29.03,2022-11-22 15:31:48
112,-28.456899,-48.972999,33.22,2022-11-22 15:47:34
113,-28.456899,-48.972999,30.43,2022-11-22 16:03:10
114,-28.456899,-48.972999,31.82,2022-11-22 16:18:58
115,-28.456899,-48.972999,29.03,2022-11-22 16:34:44
116,-28.456899,-48.972999,33.22,2022-11-22 16:50:28
117,-28.456899,-48.972999,34.61,2022-11-22 17:06:14
118,-28.456899,-48.972999,33.22,2022-11-22 17:22:00
119,-28.456899,-48.972999,31.82,2022-11-22 17:37:45
120,-28.456899,-48.972999,36.01,2022-11-22 17:53:30
121,-28.456899,-48.972999,34.61,2022-11-22 18:09:09
122,-28.456899,-48.972999,36.01,2022-11-22 18:24:54
123,-28.456899,-48.972999,31.82,2022-11-22 18:40:32
124,-28.456899,-48.972999,31.82,2022-11-22 18:56:12
125,-28.456899,-48.972999,30.43,2022-11-22 19:11:55
126,-28.456899,-48.972999,33.22,2022-11-22 19:27:40
127,-28.456899,-48.972999,-9999.99,2022-11-23 11:18:21
128,-28.456899,-48.972999,-9999.99,2022-11-23 11:34:12
129,-28.456899,-48.972999,-9999.99,2022-11-23 11:50:02
130,-28.456899,-48.972999,-9999.99,2022-11-23 12:05:49
131,-28.456899,-48.972999,-9999.99,2022-11-23 12:21:37
132,-28.456899,-48.972999,-9999.99,2022-11-23 12:37:22
133,-28.456899,-48.972999,-9999.99,2022-11-23 12:53:13
134,-28.456899,-48.972999,-918.68,2022-11-23 13:09:04
135,-28.456899,-48.972999,-1834.98,2022-11-23 13:24:52
136,-28.456899,-48.972999,21.07,2022-11-23 13:40:32
137,-28.456899,-48.972999,48.83,2022-11-23 13:56:17
138,-28.456899,-48.972999,79.1,2022-11-23 14:12:01
