Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,1,29,19,41,8,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,19,45,36,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,19,48,50,-99.989997,-99.989997,-99.989997,4,5,0,0.09
2020,1,29,19,54,12,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,20,58,2,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,21,1,24,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,21,3,51,-99.989997,-99.989997,-99.989997,4,5,0,0.06
2020,1,29,21,6,19,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,21,8,49,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,21,11,17,-99.989997,-99.989997,-99.989997,4,5,0,0.08
2020,1,29,21,19,22,-99.989997,-99.989997,-99.989997,4,5,0,0.06
2020,1,29,21,22,46,-99.989997,-99.989997,-99.989997,4,5,0,0.06
2020,1,29,21,28,3,-99.989997,-99.989997,-99.989997,4,5,0,0.02
2020,1,29,21,32,17,-99.989997,-99.989997,-99.989997,4,5,0,0.02
2020,1,29,21,34,26,-99.989997,-99.989997,-99.989997,4,5,0,0.04
2020,1,29,21,36,36,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,21,38,45,-99.989997,-99.989997,-99.989997,4,5,0,0.05
2020,1,29,21,42,40,-99.989997,-99.989997,-99.989997,4,5,0,0.02
2020,1,29,21,45,57,-99.989997,-99.989997,-99.989997,4,5,0,0.06
2020,1,29,21,48,8,-99.989997,-99.989997,-99.989997,4,5,0,0.06
2020,1,29,21,56,35,-99.989997,-99.989997,-99.989997,4,5,0,0.06
2020,1,30,10,19,9,-99.989997,-99.989997,-99.989997,4,5,0,-9999.99
2020,1,30,10,21,9,-99.989997,-99.989997,-99.989997,4,5,0,-9999.99
2020,1,30,10,23,11,-99.989997,-99.989997,-99.989997,4,5,0,-9999.99
2020,1,30,10,25,11,-99.989997,-99.989997,-99.989997,4,5,0,-9999.99
2020,1,30,10,31,12,-99.989997,-99.989997,-99.989997,4,5,0,-9999.99
2020,1,30,10,37,16,-99.989997,-99.989997,-99.989997,4,6,0,77.67
2020,1,30,10,38,16,-99.989997,-99.989997,-99.989997,4,6,0,77.67
2020,1,30,10,39,16,-99.989997,-99.989997,-99.989997,4,6,0,76.00
2020,1,30,10,40,17,-99.989997,-99.989997,-99.989997,4,6,0,77.17
2020,1,30,10,41,17,-99.989997,-99.989997,-99.989997,4,6,0,77.50
2020,1,30,10,42,18,-99.989997,-99.989997,-99.989997,4,6,0,76.50
2020,1,30,10,43,18,-99.989997,-99.989997,-99.989997,4,6,0,77.33
2020,1,30,10,44,18,-99.989997,-99.989997,-99.989997,4,6,0,77.67
