Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2022,11,20,13,46,27,-28.456899,-48.972999,20.000000,16,0.00,135,101.39
2022,11,21,10,38,49,-28.456899,-48.972999,20.000000,16,0.00,135,103.08
2022,11,21,10,54,36,-28.456899,-48.972999,20.000000,16,0.00,135,104.34
2022,11,21,11,10,24,-28.456899,-48.972999,20.000000,16,0.00,135,100.55
2022,11,21,11,26,10,-28.456899,-48.972999,20.000000,16,0.00,135,89.67
2022,11,21,11,41,56,-28.456899,-48.972999,20.000000,16,0.00,135,94.23
2022,11,21,11,57,34,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,12,13,21,-28.456899,-48.972999,20.000000,16,0.00,135,92.96
2022,11,21,12,29,6,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,12,44,49,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,13,0,34,-28.456899,-48.972999,20.000000,16,0.00,135,89.17
2022,11,21,13,16,21,-28.456899,-48.972999,20.000000,16,0.00,135,90.18
2022,11,21,13,32,3,-28.456899,-48.972999,20.000000,16,0.00,135,97.51
2022,11,21,13,47,50,-28.456899,-48.972999,20.000000,16,0.00,135,91.70
2022,11,21,14,3,35,-28.456899,-48.972999,20.000000,16,0.00,135,86.64
2022,11,21,14,19,21,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,14,35,4,-28.456899,-48.972999,20.000000,16,0.00,135,91.70
2022,11,21,14,50,51,-28.456899,-48.972999,20.000000,16,0.00,135,94.23
2022,11,21,15,6,36,-28.456899,-48.972999,20.000000,16,0.00,135,96.76
2022,11,21,15,22,21,-28.456899,-48.972999,20.000000,16,0.00,135,96.50
2022,11,21,15,38,6,-28.456899,-48.972999,20.000000,16,0.00,135,91.70
2022,11,21,15,53,51,-28.456899,-48.972999,20.000000,16,0.00,135,96.50
2022,11,21,16,9,33,-28.456899,-48.972999,20.000000,16,0.00,135,94.23
2022,11,21,16,25,18,-28.456899,-48.972999,20.000000,16,0.00,135,89.17
2022,11,21,16,41,5,-28.456899,-48.972999,20.000000,16,0.00,135,92.45
2022,11,21,16,56,50,-28.456899,-48.972999,20.000000,16,0.00,135,90.18
2022,11,21,17,12,35,-28.456899,-48.972999,20.000000,16,0.00,135,89.17
2022,11,21,17,28,21,-28.456899,-48.972999,20.000000,16,0.00,135,89.17
2022,11,21,17,44,5,-28.456899,-48.972999,20.000000,16,0.00,135,98.78
2022,11,21,17,59,49,-28.456899,-48.972999,20.000000,16,0.00,135,89.17
2022,11,21,18,15,34,-28.456899,-48.972999,20.000000,16,0.00,135,91.44
2022,11,21,18,31,10,-28.456899,-48.972999,20.000000,16,0.00,135,86.89
2022,11,21,18,46,58,-28.456899,-48.972999,20.000000,16,0.00,135,91.70
2022,11,21,19,2,42,-28.456899,-48.972999,20.000000,16,0.00,135,91.70
2022,11,21,19,18,22,-28.456899,-48.972999,20.000000,16,0.00,135,97.51
2022,11,21,19,34,8,-28.456899,-48.972999,20.000000,16,0.00,135,91.70
2022,11,21,19,49,52,-28.456899,-48.972999,20.000000,16,0.00,135,87.90
2022,11,21,20,5,36,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,20,21,23,-28.456899,-48.972999,20.000000,16,0.00,135,96.50
2022,11,21,20,37,8,-28.456899,-48.972999,20.000000,16,0.00,135,89.17
2022,11,21,20,52,52,-28.456899,-48.972999,20.000000,16,0.00,135,89.17
2022,11,21,21,8,37,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,21,24,21,-28.456899,-48.972999,20.000000,16,0.00,135,87.90
2022,11,21,21,40,4,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,21,55,51,-28.456899,-48.972999,20.000000,16,0.00,135,90.43
2022,11,21,22,11,36,-28.456899,-48.972999,20.000000,16,0.00,135,86.89
2022,11,21,22,27,20,-28.456899,-48.972999,20.000000,16,0.00,135,86.89
