Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2022,11,21,10,43,3,-28.456899,-48.972999,20.000000,16,0.00,139,65.03
2022,11,21,10,58,48,-28.456899,-48.972999,20.000000,16,0.00,139,63.83
2022,11,21,11,14,38,-28.456899,-48.972999,20.000000,16,0.00,139,62.47
2022,11,21,11,30,22,-28.456899,-48.972999,20.000000,16,0.00,139,62.13
2022,11,21,11,46,5,-28.456899,-48.972999,20.000000,16,0.00,139,60.57
2022,11,21,12,1,46,-28.456899,-48.972999,20.000000,16,0.00,139,59.71
2022,11,21,12,17,33,-28.456899,-48.972999,20.000000,16,0.00,139,59.21
2022,11,21,12,33,18,-28.456899,-48.972999,20.000000,16,0.00,139,58.56
2022,11,21,12,49,1,-28.456899,-48.972999,20.000000,16,0.00,139,57.30
2022,11,21,13,4,46,-28.456899,-48.972999,20.000000,16,0.00,139,56.04
2022,11,21,13,20,33,-28.456899,-48.972999,20.000000,16,0.00,139,54.96
2022,11,21,13,36,15,-28.456899,-48.972999,20.000000,16,0.00,139,55.97
2022,11,21,13,52,2,-28.456899,-48.972999,20.000000,16,0.00,139,56.54
2022,11,21,14,7,47,-28.456899,-48.972999,20.000000,16,0.00,139,54.62
2022,11,21,14,23,33,-28.456899,-48.972999,20.000000,16,0.00,139,55.01
2022,11,21,14,39,16,-28.456899,-48.972999,20.000000,16,0.00,139,56.56
2022,11,21,14,55,3,-28.456899,-48.972999,20.000000,16,0.00,139,57.62
2022,11,21,15,10,48,-28.456899,-48.972999,20.000000,16,0.00,139,57.76
2022,11,21,15,26,33,-28.456899,-48.972999,20.000000,16,0.00,139,57.49
2022,11,21,15,42,18,-28.456899,-48.972999,20.000000,16,0.00,139,57.04
2022,11,21,15,58,3,-28.456899,-48.972999,20.000000,16,0.00,139,57.04
2022,11,21,16,13,45,-28.456899,-48.972999,20.000000,16,0.00,139,57.65
2022,11,21,16,29,30,-28.456899,-48.972999,20.000000,16,0.00,139,54.74
2022,11,21,16,45,17,-28.456899,-48.972999,20.000000,16,0.00,139,53.50
2022,11,21,17,1,3,-28.456899,-48.972999,20.000000,16,0.00,139,55.07
2022,11,21,17,16,48,-28.456899,-48.972999,20.000000,16,0.00,139,57.08
2022,11,21,17,32,32,-28.456899,-48.972999,20.000000,16,0.00,139,57.36
2022,11,21,17,48,16,-28.456899,-48.972999,20.000000,16,0.00,139,57.60
2022,11,21,18,4,1,-28.456899,-48.972999,20.000000,16,0.00,139,57.77
2022,11,21,18,19,37,-28.456899,-48.972999,20.000000,16,0.00,139,58.27
2022,11,21,18,35,25,-28.456899,-48.972999,20.000000,16,0.00,139,59.12
2022,11,21,18,51,9,-28.456899,-48.972999,20.000000,16,0.00,139,59.49
2022,11,21,19,6,55,-28.456899,-48.972999,20.000000,16,0.00,139,59.17
2022,11,21,19,22,35,-28.456899,-48.972999,20.000000,16,0.00,139,59.30
2022,11,21,19,38,18,-28.456899,-48.972999,20.000000,16,0.00,139,59.51
2022,11,21,19,54,3,-28.456899,-48.972999,20.000000,16,0.00,139,59.70
2022,11,21,20,9,48,-28.456899,-48.972999,20.000000,16,0.00,139,59.32
2022,11,21,20,25,35,-28.456899,-48.972999,20.000000,16,0.00,139,59.55
2022,11,21,20,41,20,-28.456899,-48.972999,20.000000,16,0.00,139,59.16
2022,11,21,20,57,4,-28.456899,-48.972999,20.000000,16,0.00,139,59.23
2022,11,21,21,12,49,-28.456899,-48.972999,20.000000,16,0.00,139,59.43
2022,11,21,21,28,33,-28.456899,-48.972999,20.000000,16,0.00,139,59.58
2022,11,21,21,44,16,-28.456899,-48.972999,20.000000,16,0.00,139,59.57
2022,11,21,22,0,3,-28.456899,-48.972999,20.000000,16,0.00,139,59.55
2022,11,21,22,15,48,-28.456899,-48.972999,20.000000,16,0.00,139,59.47
2022,11,21,22,31,32,-28.456899,-48.972999,20.000000,16,0.00,139,59.78
2022,11,21,22,47,17,-28.456899,-48.972999,20.000000,16,0.00,139,60.30
2022,11,21,23,3,2,-28.456899,-48.972999,20.000000,16,0.00,139,60.42
2022,11,21,23,18,47,-28.456899,-48.972999,20.000000,16,0.00,139,60.44
2022,11,21,23,34,32,-28.456899,-48.972999,20.000000,16,0.00,139,60.86
2022,11,21,23,50,16,-28.456899,-48.972999,20.000000,16,0.00,139,60.97
2022,11,22,0,6,1,-28.456899,-48.972999,20.000000,16,0.00,139,61.04
2022,11,22,0,21,46,-28.456899,-48.972999,20.000000,16,0.00,139,61.17
2022,11,22,0,37,30,-28.456899,-48.972999,20.000000,16,0.00,139,61.11
2022,11,22,0,53,15,-28.456899,-48.972999,20.000000,16,0.00,139,60.71
2022,11,22,1,9,0,-28.456899,-48.972999,20.000000,16,0.00,139,61.28
2022,11,22,1,24,45,-28.456899,-48.972999,20.000000,16,0.00,139,61.45
2022,11,22,1,40,30,-28.456899,-48.972999,20.000000,16,0.00,139,61.83
2022,11,22,1,56,14,-28.456899,-48.972999,20.000000,16,0.00,139,62.01
2022,11,22,2,11,58,-28.456899,-48.972999,20.000000,16,0.00,139,61.71
2022,11,22,2,27,43,-28.456899,-48.972999,20.000000,16,0.00,139,61.76
2022,11,22,2,43,28,-28.456899,-48.972999,20.000000,16,0.00,139,62.15
2022,11,22,2,59,12,-28.456899,-48.972999,20.000000,16,0.00,139,61.83
2022,11,22,3,14,58,-28.456899,-48.972999,20.000000,16,0.00,139,61.81
