,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
measuring 1 | ,"{'Mean': -12.851934311563252, 'Std': 2.8943978706715936}","{'Mean': -12.772964719496489, 'Std': 3.1342366105848796}","{'Mean': -12.738954192592592, 'Std': 3.5552394814760233}","{'Mean': -13.117565183582641, 'Std': 2.8028374541230843}"
measuring 2 | ,"{'Mean': -10.205505427194838, 'Std': 2.7249032825796347}","{'Mean': -10.430261037583083, 'Std': 2.8036839232945283}","{'Mean': -10.52120838888889, 'Std': 2.7274780700253416}","{'Mean': -10.820106724525223, 'Std': 2.693473259679529}"
measuring 1 no Temp | ,"{'Mean': -13.270912024986515, 'Std': 3.115527691639143}","{'Mean': -13.859810619124906, 'Std': 3.146818093745909}","{'Mean': -12.58147231111111, 'Std': 3.3861766813810346}","{'Mean': -13.281032028150776, 'Std': 3.01598942542405}"
measuring 2 no Temp | ,"{'Mean': -13.109696637045252, 'Std': 2.9375853604915396}","{'Mean': -13.679107167382053, 'Std': 3.0489266837755653}","{'Mean': -13.574027190476192, 'Std': 2.801214222985172}","{'Mean': -13.597357704333017, 'Std': 2.8855759395534872}"
measuring 1 | measuring 2 | ,"{'Mean': -9.184334571540685, 'Std': 2.154239443841795}","{'Mean': -9.970277663184959, 'Std': 2.3760157058123155}","{'Mean': -9.83580634920635, 'Std': 2.2465296792717178}","{'Mean': -9.71966168653506, 'Std': 2.2993986319852215}"
measuring 1 | measuring 2 no Temp | ,"{'Mean': -12.8854725481652, 'Std': 2.803647256071188}","{'Mean': -12.799447466188042, 'Std': 3.0792936297000746}","{'Mean': -13.67295963958917, 'Std': 3.398090168263016}","{'Mean': -13.883149514169508, 'Std': 3.9915580974341474}"
measuring 1 | temperature | ,"{'Mean': -8.211013497910342, 'Std': 2.22502167821362}","{'Mean': -8.730173009248293, 'Std': 2.0182414971310356}","{'Mean': -8.639379815873017, 'Std': 2.2451727171575993}","{'Mean': -8.577830964884086, 'Std': 2.240002121202036}"
measuring 2 | measuring 1 no Temp | ,"{'Mean': -9.435221575325574, 'Std': 2.419129501279999}","{'Mean': -10.045015359301662, 'Std': 2.4137254068258858}","{'Mean': -9.993911022222225, 'Std': 2.5084784344323503}","{'Mean': -9.947509302192561, 'Std': 2.372143134408115}"
measuring 2 | temperature | ,"{'Mean': -8.798120692747508, 'Std': 2.8530168357407875}","{'Mean': -8.666600128680283, 'Std': 2.384591870178963}","{'Mean': -9.26748662786596, 'Std': 3.0228553858208835}","{'Mean': -9.065828416936354, 'Std': 2.762613049554374}"
measuring 1 no Temp | measuring 2 no Temp | ,"{'Mean': -13.658961848889888, 'Std': 4.74265079622047}","{'Mean': -13.892909455031702, 'Std': 2.953250149224861}","{'Mean': -13.712533415873015, 'Std': 4.300723137002668}","{'Mean': -13.84538632530455, 'Std': 4.7499602663558225}"
measuring 1 no Temp | temperature | ,"{'Mean': -8.167918979470606, 'Std': 2.2654656119368464}","{'Mean': -8.751574981925161, 'Std': 2.1227669112675813}","{'Mean': -8.579112131746033, 'Std': 2.3006106496194536}","{'Mean': -8.682944112211732, 'Std': 2.1824919532214992}"
measuring 2 no Temp | temperature | ,"{'Mean': -8.496407666608615, 'Std': 2.683904712912839}","{'Mean': -8.623782974650693, 'Std': 2.4105484969899127}","{'Mean': -8.961705297354495, 'Std': 2.8328938300172477}","{'Mean': -8.954530303364937, 'Std': 2.603282963872282}"
measuring 1 | measuring 2 | temperature | ,"{'Mean': -8.681200488443753, 'Std': 2.649730318736894}","{'Mean': -8.640193445577015, 'Std': 2.2098807090264194}","{'Mean': -8.877125111437426, 'Std': 2.6371345951790897}","{'Mean': -8.846975162563108, 'Std': 2.4777207105431165}"
measuring 1 | measuring 2 no Temp | temperature | ,"{'Mean': -8.674554657823402, 'Std': 2.5392525357347715}","{'Mean': -8.604848922720508, 'Std': 2.2453597785046635}","{'Mean': -8.775704190064378, 'Std': 2.554405703594646}","{'Mean': -8.61796187379312, 'Std': 2.3705507168230247}"
measuring 2 | measuring 1 no Temp | temperature | ,"{'Mean': -9.126848885876251, 'Std': 3.1083513525490782}","{'Mean': -8.743846618080429, 'Std': 2.3961959578307335}","{'Mean': -8.847931473873645, 'Std': 2.691007033893927}","{'Mean': -8.82978847135401, 'Std': 2.4380673170180898}"
measuring 1 no Temp | measuring 2 no Temp | temperature | ,"{'Mean': -8.7784661113738, 'Std': 3.051847455656269}","{'Mean': -8.724563998023182, 'Std': 2.450298277163628}","{'Mean': -8.93225929596655, 'Std': 2.802373118665241}","{'Mean': -8.833341325773919, 'Std': 2.5904576063277096}"
