,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
O3_1,"{'Mean': -0.24494593590533692, 'Std': 0.4309460624122806}","{'Mean': -0.41495288833067984, 'Std': 0.4855682474362195}","{'Mean': -0.2797890077707746, 'Std': 0.4968509127135878}","{'Mean': -0.2928057807413317, 'Std': 0.4720017774225539}"
O3_1 and O3_2,"{'Mean': 0.10299030683173731, 'Std': 0.38393768643617937}","{'Mean': 0.10569947517317684, 'Std': 0.3512826219462439}","{'Mean': 0.05591298925202185, 'Std': 0.41649581934281044}","{'Mean': 0.14351287332809318, 'Std': 0.39935656139278364}"
O3_1 and temperature,"{'Mean': 0.24096076236987773, 'Std': 0.434657394347734}","{'Mean': 0.34064393266772736, 'Std': 0.3134004252860845}","{'Mean': 0.19136482204527563, 'Std': 0.3839482032623191}","{'Mean': 0.2777092628747896, 'Std': 0.3486392403449816}"
"O3_1, O3_2 and temperature","{'Mean': 0.25998126333160354, 'Std': 0.33716929929488965}","{'Mean': 0.35011128171681805, 'Std': 0.3504984056143431}","{'Mean': 0.2565264438706686, 'Std': 0.3941571539703943}","{'Mean': 0.3015995444437187, 'Std': 0.361262041550093}"
O3_2,"{'Mean': 0.06060118161472278, 'Std': 0.5034437571248573}","{'Mean': 0.09141267411162506, 'Std': 0.39837478712194213}","{'Mean': -0.041046535270959764, 'Std': 0.5442690162574919}","{'Mean': -0.03803994711381955, 'Std': 0.47102291167389543}"
O3_2 and temperature,"{'Mean': 0.12174088296281207, 'Std': 0.4216577034465297}","{'Mean': 0.2610537949390402, 'Std': 0.48040378350187485}","{'Mean': 0.21899597068390633, 'Std': 0.46356517604766945}","{'Mean': 0.2217704875928662, 'Std': 0.4795252914732706}"
Trend 1,"{'Mean': -1.0538138565285025, 'Std': 2.411822722003687}","{'Mean': -0.4146243191471827, 'Std': 0.4820665438833216}","{'Mean': -0.6417727499826907, 'Std': 0.49375968581825963}","{'Mean': -0.6157300932396111, 'Std': 0.5291013408339267}"
Trend 1 and 2,"{'Mean': -1.5271516930263673, 'Std': 1.974918935564218}","{'Mean': -0.2409578697394704, 'Std': 0.30040674702622244}","{'Mean': -0.6122058447440601, 'Std': 0.5104624055526148}","{'Mean': -0.6205598470320349, 'Std': 0.4125839560903975}"
Trend 1 and temperature,"{'Mean': 0.17526921673204732, 'Std': 0.41851391940669375}","{'Mean': 0.3338380338430709, 'Std': 0.3491304215139098}","{'Mean': 0.13799931637352794, 'Std': 0.41299816041105436}","{'Mean': 0.09170625342573509, 'Std': 0.48121575947986733}"
"Trend 1, 2 and temperature","{'Mean': 0.15572160321549067, 'Std': 0.3600961389446573}","{'Mean': 0.32771120385657626, 'Std': 0.3512285398610901}","{'Mean': 0.1572578054653792, 'Std': 0.3002833060937408}","{'Mean': 0.11543346104492846, 'Std': 0.39836350519430175}"
Trend 1 and Seasonal 1,"{'Mean': -0.47403129710383035, 'Std': 0.4883125400119017}","{'Mean': -0.4255533925162204, 'Std': 0.497766847950339}","{'Mean': -0.48822836644522916, 'Std': 0.5205353638750603}","{'Mean': -0.432713397363539, 'Std': 0.4981380001610447}"
"Trend 1, Seasonal 1 and temperature","{'Mean': 0.12228240884025925, 'Std': 0.529332277808129}","{'Mean': 0.3345900547846158, 'Std': 0.34780614362920287}","{'Mean': 0.13046167509565873, 'Std': 0.3590455112658261}","{'Mean': 0.07221923436810064, 'Std': 0.48191837514313535}"
"Trend 1, Seasonal 1 and Trend 2","{'Mean': -2.349057633551805, 'Std': 3.244490731215071}","{'Mean': -0.2541235098134999, 'Std': 0.3242417814553134}","{'Mean': -0.6706455886489945, 'Std': 0.48332439700233437}","{'Mean': -0.4789563351453164, 'Std': 0.4300834004540155}"
"Trend 1, Seasonal 1, Trend 2 and temperature","{'Mean': 0.16273392920781432, 'Std': 0.38890742942608986}","{'Mean': 0.32797919352110494, 'Std': 0.34983550852928635}","{'Mean': 0.18663717747597972, 'Std': 0.2445392100536785}","{'Mean': 0.12416825451793392, 'Std': 0.3711454625216167}"
"Trend 1, Seasonal 1, Trend 2 and Seasonal 2","{'Mean': -3.6220055532989237, 'Std': 5.6534113780591975}","{'Mean': -0.255042136492788, 'Std': 0.32290067684893636}","{'Mean': -0.7240881247108649, 'Std': 0.5420566414742901}","{'Mean': -0.5082457446777527, 'Std': 0.44773197629504385}"
"Trend 1, Seasonal 1, Trend 2, Seasonal 2 and temperature","{'Mean': 0.13909204485859142, 'Std': 0.2664603397251533}","{'Mean': 0.32428300165333473, 'Std': 0.3576297346004787}","{'Mean': 0.15955758690375818, 'Std': 0.24377494760119522}","{'Mean': 0.10784408283084015, 'Std': 0.375827571438854}"
Trend 2,"{'Mean': -0.3710756973321505, 'Std': 0.28321260585200525}","{'Mean': -0.2573570126334138, 'Std': 0.343029127397354}","{'Mean': -0.5419291914555371, 'Std': 0.3207667112511341}","{'Mean': -0.588015906036724, 'Std': 0.31795748269589613}"
Trend 2 and temperature,"{'Mean': 0.22031448482712346, 'Std': 0.39047956013263935}","{'Mean': 0.2666122144507916, 'Std': 0.4151374116535282}","{'Mean': 0.11212923125685673, 'Std': 0.42791760586702665}","{'Mean': 0.13016028509015168, 'Std': 0.43818581259329004}"
Trend 2 and Seasonal 2,"{'Mean': -0.42421088510967475, 'Std': 0.2914672034764222}","{'Mean': -0.2645084167849759, 'Std': 0.34186208368372145}","{'Mean': -0.6141322971504674, 'Std': 0.40333053012377673}","{'Mean': -0.6097926506062918, 'Std': 0.3608338468547469}"
"Trend 2, Seasonal 2 and temperature","{'Mean': 0.18379062798032036, 'Std': 0.40311164578151787}","{'Mean': 0.26327590504214116, 'Std': 0.4237869728454117}","{'Mean': 0.09554551205261087, 'Std': 0.4594977422537704}","{'Mean': 0.12236399009933878, 'Std': 0.41974499384579844}"
