,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
measuring 1 | ,"{'Mean': -16.16310463643958, 'Std': 4.156909874205448}","{'Mean': -16.075016608681626, 'Std': 4.295859071258388}","{'Mean': -16.537812856380086, 'Std': 4.848959154977469}","{'Mean': -16.49411614266595, 'Std': 3.9899487208356446}"
measuring 2 | ,"{'Mean': -12.75936925314807, 'Std': 3.124498884442444}","{'Mean': -13.073446438280016, 'Std': 3.213204395482346}","{'Mean': -13.134640368866243, 'Std': 3.1305355095261898}","{'Mean': -13.537134462443422, 'Std': 3.0989666530301037}"
measuring 1 no Temp | ,"{'Mean': -16.651023351687076, 'Std': 4.322350326150214}","{'Mean': -17.084566499532006, 'Std': 4.413226581898797}","{'Mean': -16.000633441010542, 'Std': 4.475175660391225}","{'Mean': -16.57789624640302, 'Std': 4.093426734461686}"
measuring 2 no Temp | ,"{'Mean': -16.45921465463217, 'Std': 4.205204116183129}","{'Mean': -16.919182893044677, 'Std': 4.344821430885026}","{'Mean': -17.04626530997265, 'Std': 4.004973568265531}","{'Mean': -17.324211093493115, 'Std': 3.945516914221313}"
measuring 1 | measuring 2 | ,"{'Mean': -11.844505168198667, 'Std': 2.6303738857739494}","{'Mean': -12.695118880946264, 'Std': 2.656069368348483}","{'Mean': -12.580053136678202, 'Std': 2.6468034934777256}","{'Mean': -12.405779957717936, 'Std': 2.7855572442822325}"
measuring 1 | measuring 2 no Temp | ,"{'Mean': -16.433838288710525, 'Std': 3.91815202668019}","{'Mean': -16.115933130492884, 'Std': 4.249660602057033}","{'Mean': -17.23343205443881, 'Std': 4.055408459714015}","{'Mean': -17.497655945901595, 'Std': 4.515362302264422}"
measuring 1 | temperature | ,"{'Mean': -10.548799746294886, 'Std': 2.695256403410152}","{'Mean': -11.038442870113439, 'Std': 2.4128327734995927}","{'Mean': -11.21393333518993, 'Std': 2.7082907961152194}","{'Mean': -11.081654783000369, 'Std': 2.82541308806816}"
measuring 2 | measuring 1 no Temp | ,"{'Mean': -12.026909170871729, 'Std': 2.7854239985378695}","{'Mean': -12.802495988961823, 'Std': 2.721708613914339}","{'Mean': -12.639729237207368, 'Std': 2.796254430724491}","{'Mean': -12.687930152768562, 'Std': 2.893921247103271}"
measuring 2 | temperature | ,"{'Mean': -11.242668597784663, 'Std': 3.537846988050113}","{'Mean': -10.839680124780415, 'Std': 2.883603818284577}","{'Mean': -11.576093831423885, 'Std': 3.577604848372754}","{'Mean': -11.31576386003575, 'Std': 3.3319199488872346}"
measuring 1 no Temp | measuring 2 no Temp | ,"{'Mean': -17.107558724530826, 'Std': 5.131538767282101}","{'Mean': -17.190265073834944, 'Std': 4.248848892292048}","{'Mean': -17.518181621806125, 'Std': 4.769822932935117}","{'Mean': -17.573119516007022, 'Std': 5.023226814914829}"
measuring 1 no Temp | temperature | ,"{'Mean': -10.487726246135814, 'Std': 2.718318828481401}","{'Mean': -11.063713276877815, 'Std': 2.549777936124279}","{'Mean': -11.07497578487823, 'Std': 2.78042722411191}","{'Mean': -11.168710497944065, 'Std': 2.7254953878094046}"
measuring 2 no Temp | temperature | ,"{'Mean': -10.67650003923562, 'Std': 3.2219118052855498}","{'Mean': -10.7912750027342, 'Std': 2.9025604546473986}","{'Mean': -11.299195881119392, 'Std': 3.32933712610124}","{'Mean': -11.132451886025788, 'Std': 3.0841381651448354}"
measuring 1 | measuring 2 | temperature | ,"{'Mean': -11.1040078755053, 'Std': 3.196654090857374}","{'Mean': -10.815628801521443, 'Std': 2.669634245796802}","{'Mean': -11.352927024367883, 'Std': 3.082310945784124}","{'Mean': -11.228857207789419, 'Std': 2.99972743673046}"
measuring 1 | measuring 2 no Temp | temperature | ,"{'Mean': -10.928819180775829, 'Std': 2.9936444520637155}","{'Mean': -10.772622066259428, 'Std': 2.6983087579366742}","{'Mean': -11.15189529488336, 'Std': 2.9584996337389926}","{'Mean': -10.822102181583695, 'Std': 2.863233858437981}"
measuring 2 | measuring 1 no Temp | temperature | ,"{'Mean': -12.718406684004274, 'Std': 5.5066335116523115}","{'Mean': -10.947040419305129, 'Std': 2.8492293712954315}","{'Mean': -11.290589243388952, 'Std': 3.177480606232368}","{'Mean': -11.24213387915287, 'Std': 2.938207553759376}"
measuring 1 no Temp | measuring 2 no Temp | temperature | ,"{'Mean': -11.020721401308174, 'Std': 3.4535564170296604}","{'Mean': -10.918867501300605, 'Std': 2.896547373235319}","{'Mean': -11.302207753390357, 'Std': 3.193307274677568}","{'Mean': -11.108450266753954, 'Std': 3.0422834288432785}"
