,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
SO2_1,"{'Mean': -9.419164166047512, 'Std': 6.09595434266238}","{'Mean': -8.852504890433925, 'Std': 6.188943511852931}","{'Mean': -10.242794777265745, 'Std': 6.909214061734447}","{'Mean': -9.927668354700462, 'Std': 6.906733097550538}"
SO2_1 and SO2_2,"{'Mean': -10.083730043945163, 'Std': 8.696396075077184}","{'Mean': -9.241018005987643, 'Std': 6.544938186609538}","{'Mean': -9.051529749103944, 'Std': 7.73346042111151}","{'Mean': -8.407718996492047, 'Std': 7.727763107864841}"
SO2_1 and SO2_2 no Temp,"{'Mean': -8.596309509931567, 'Std': 6.423791251245769}","{'Mean': -9.278869700055731, 'Std': 6.178108143464641}","{'Mean': -9.140221351766513, 'Std': 6.577871374382548}","{'Mean': -9.574518580657415, 'Std': 6.770826603843428}"
SO2_1 and temperature,"{'Mean': -8.987713049436206, 'Std': 7.80430123028143}","{'Mean': -9.218196599649566, 'Std': 7.080170091163685}","{'Mean': -9.443426113671276, 'Std': 8.56001705022261}","{'Mean': -9.577390617614483, 'Std': 8.829616037650995}"
"SO2_1, SO2_2 and temperature","{'Mean': -9.435411968933586, 'Std': 9.390283609316594}","{'Mean': -9.320853877704488, 'Std': 6.885016082871973}","{'Mean': -9.007488613555708, 'Std': 8.24374585026694}","{'Mean': -9.244393978494623, 'Std': 8.662946159426067}"
"SO2_1, SO2_2 no Temp and temperature","{'Mean': -12.03039792275797, 'Std': 11.488356058948375}","{'Mean': -9.320149257189598, 'Std': 6.8854619596638695}","{'Mean': -8.559021309300645, 'Std': 8.561806454785932}","{'Mean': -9.764624732869558, 'Std': 9.021523043735277}"
SO2_2,"{'Mean': -8.469855355149948, 'Std': 7.201438767517391}","{'Mean': -9.098642043711601, 'Std': 6.598115646368255}","{'Mean': -8.176758279569892, 'Std': 7.619746714654692}","{'Mean': -7.962500176675727, 'Std': 7.8136054352178625}"
SO2_2 and temperature,"{'Mean': -9.827352844596579, 'Std': 9.523574882056545}","{'Mean': -9.165761907672444, 'Std': 6.91085994925783}","{'Mean': -8.614643093135996, 'Std': 8.653673495550361}","{'Mean': -8.365280460543833, 'Std': 7.978601934666845}"
SO2_2 no Temp,"{'Mean': -8.725288212247372, 'Std': 6.7872611085499095}","{'Mean': -9.377220758124382, 'Std': 6.439587442176404}","{'Mean': -9.226037807954377, 'Std': 7.530891740511625}","{'Mean': -9.216738806457913, 'Std': 6.919470843765669}"
SO2_2 no Temp and temperature,"{'Mean': -9.388523797920822, 'Std': 8.3012114201493}","{'Mean': -9.166672813110845, 'Std': 6.909867355713183}","{'Mean': -9.168338719851352, 'Std': 9.55826316369423}","{'Mean': -8.628750948964058, 'Std': 8.646268890007459}"
