,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
SO2_1,"{'Mean': -24.903279410556685, 'Std': 53.19749332795466}","{'Mean': -31.977760025374174, 'Std': 69.41868826324091}","{'Mean': -84.0944445074889, 'Std': 174.97371379884177}","{'Mean': -83.61788211637874, 'Std': 172.07915700756067}"
SO2_1 and SO2_2,"{'Mean': -35.08635416135401, 'Std': 68.56769225273253}","{'Mean': -21.14720050143887, 'Std': 38.82829259867674}","{'Mean': -35.95884850432815, 'Std': 53.5965114655028}","{'Mean': -17.994050841245713, 'Std': 23.35158443607517}"
SO2_1 and SO2_2 no Temp,"{'Mean': -138.95880284867462, 'Std': 269.1577722322559}","{'Mean': -31.26522216150853, 'Std': 62.93952691457202}","{'Mean': -53.37887729571172, 'Std': 101.8696017088526}","{'Mean': -60.97409146148694, 'Std': 121.82178047906484}"
SO2_1 and temperature,"{'Mean': -12.062960292019763, 'Std': 20.155843866579588}","{'Mean': -12.358211191281091, 'Std': 18.212007399577647}","{'Mean': -13.041602792688334, 'Std': 24.851584477264247}","{'Mean': -17.1818219749926, 'Std': 37.1990797090009}"
"SO2_1, SO2_2 and temperature","{'Mean': -22.957639249941703, 'Std': 46.407257638945936}","{'Mean': -18.064416051486937, 'Std': 29.623250910777507}","{'Mean': -17.97059962563434, 'Std': 33.72320673104684}","{'Mean': -20.408345101699688, 'Std': 30.971565501188575}"
"SO2_1, SO2_2 no Temp and temperature","{'Mean': -655.5999327370014, 'Std': 1603.8254401723225}","{'Mean': -18.079225289385562, 'Std': 29.664292223194145}","{'Mean': -13.7606840675142, 'Std': 24.67172704059372}","{'Mean': -17.748970378843243, 'Std': 33.749990706073284}"
SO2_2,"{'Mean': -12.2126441154989, 'Std': 15.356856218951805}","{'Mean': -21.10660645115299, 'Std': 40.59637110927189}","{'Mean': -14.356309200309704, 'Std': 19.138864181867458}","{'Mean': -16.194681078117856, 'Std': 19.257551156382043}"
SO2_2 and temperature,"{'Mean': -29.125612881698505, 'Std': 61.629631440948245}","{'Mean': -17.725002787276175, 'Std': 29.90385195711884}","{'Mean': -16.637710718920072, 'Std': 25.83792351505351}","{'Mean': -14.668657623193806, 'Std': 19.24771326506383}"
SO2_2 no Temp,"{'Mean': -29.805249371477565, 'Std': 62.938463785711654}","{'Mean': -30.8172922856927, 'Std': 66.08138323615623}","{'Mean': -47.931018453247205, 'Std': 91.4801081420153}","{'Mean': -63.27567892597839, 'Std': 119.85257435402613}"
SO2_2 no Temp and temperature,"{'Mean': -14.402843454509679, 'Std': 20.077180758456347}","{'Mean': -17.742999149533905, 'Std': 29.949442873495915}","{'Mean': -17.79411414322716, 'Std': 34.15229280268627}","{'Mean': -8.636598511817278, 'Std': 15.303789909713071}"
