,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
SO2_1,"{'Mean': -15.715009065773359, 'Std': 12.566595115384025}","{'Mean': -15.72650177843995, 'Std': 12.235019880753397}","{'Mean': -19.653163592950307, 'Std': 11.293672728231382}","{'Mean': -19.306689238199667, 'Std': 11.444661461619825}"
SO2_1 and SO2_2,"{'Mean': -20.443101372612535, 'Std': 14.281491963915634}","{'Mean': -15.292622139270481, 'Std': 11.922574097356314}","{'Mean': -18.65491999716768, 'Std': 12.952593027768648}","{'Mean': -16.148481623324784, 'Std': 11.83960579974358}"
SO2_1 and SO2_2 no Temp,"{'Mean': -20.21518726029877, 'Std': 11.22866612045742}","{'Mean': -15.724556205131876, 'Std': 11.974063957502537}","{'Mean': -18.107435677527434, 'Std': 10.88847287701389}","{'Mean': -18.030902590885475, 'Std': 11.31053942233402}"
SO2_1 and temperature,"{'Mean': -15.257578614290358, 'Std': 12.746587563961064}","{'Mean': -15.101979514319357, 'Std': 12.700048733604897}","{'Mean': -16.509847867713685, 'Std': 14.167422935353827}","{'Mean': -16.926689094587253, 'Std': 13.90334082788766}"
"SO2_1, SO2_2 and temperature","{'Mean': -17.68498542650795, 'Std': 15.518768548192893}","{'Mean': -15.330296803237957, 'Std': 12.128816859484722}","{'Mean': -16.353265403031536, 'Std': 13.571597238134618}","{'Mean': -17.40871880157666, 'Std': 13.125940052301473}"
"SO2_1, SO2_2 no Temp and temperature","{'Mean': -31.25226244210587, 'Std': 28.349960475550347}","{'Mean': -15.331332848911368, 'Std': 12.127705206931687}","{'Mean': -17.038211200862534, 'Std': 14.16720795669513}","{'Mean': -16.33528437392492, 'Std': 13.230435253249722}"
SO2_2,"{'Mean': -15.188064576453888, 'Std': 11.623220601356497}","{'Mean': -15.200408345855724, 'Std': 11.974387447688015}","{'Mean': -15.88721387993697, 'Std': 12.165373413368224}","{'Mean': -15.558071150140027, 'Std': 12.281448769324781}"
SO2_2 and temperature,"{'Mean': -17.33487069826346, 'Std': 14.088119944686465}","{'Mean': -15.227502713236984, 'Std': 12.168980484445692}","{'Mean': -16.12258794708815, 'Std': 13.110723549067346}","{'Mean': -16.176510560856133, 'Std': 12.659672536911252}"
SO2_2 no Temp,"{'Mean': -15.207823516996417, 'Std': 12.405471952017638}","{'Mean': -15.533053216595002, 'Std': 12.461902858056893}","{'Mean': -18.172193125584734, 'Std': 12.299732936224098}","{'Mean': -17.606704784442417, 'Std': 11.602717142147185}"
SO2_2 no Temp and temperature,"{'Mean': -15.362501082174063, 'Std': 12.31710727804513}","{'Mean': -15.228701584082845, 'Std': 12.167729419405077}","{'Mean': -17.1306208716285, 'Std': 14.106284741948357}","{'Mean': -14.86463953467414, 'Std': 13.028882157116348}"
