,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,","{'Mean': -1971.4534174237997, 'Std': 105.18019170921306}","{'Mean': -1978.1702259733077, 'Std': 76.8017722013419}","{'Mean': -1948.0682013741991, 'Std': 139.89115190167388}","{'Mean': -1956.8265019133726, 'Std': 105.93242566778923}"
"measuring CO,measuring NO2,","{'Mean': -1876.0263764782133, 'Std': 208.43578333330026}","{'Mean': -1971.4538595072645, 'Std': 78.54298484845282}","{'Mean': -1953.6503412665363, 'Std': 146.53498986800173}","{'Mean': -1965.636998297695, 'Std': 108.17465289866529}"
"measuring CO,measuring O3 1,","{'Mean': -2000.3493454280706, 'Std': 115.25147187994658}","{'Mean': -1972.3351729740727, 'Std': 71.62683720347547}","{'Mean': -1990.8824958027908, 'Std': 136.11369570182652}","{'Mean': -1978.2920313229051, 'Std': 105.43370578514288}"
"measuring CO,measuring O3 2,","{'Mean': -1937.8737365351255, 'Std': 100.20113969984523}","{'Mean': -1960.5847159513787, 'Std': 88.4728451898112}","{'Mean': -1928.5606858051005, 'Std': 97.01188468102062}","{'Mean': -1937.476087486064, 'Std': 90.00878589395971}"
"measuring CO,measuring PM10,","{'Mean': -1954.4758494203677, 'Std': 111.89176368776837}","{'Mean': -1974.012896344346, 'Std': 81.25788997872571}","{'Mean': -1962.8405694263267, 'Std': 122.10964472108007}","{'Mean': -1955.807902396192, 'Std': 101.58445475774246}"
"measuring CO,temperature,","{'Mean': -1929.5215317397099, 'Std': 90.33455176592587}","{'Mean': -1948.5055673035556, 'Std': 87.88947877284642}","{'Mean': -1922.2094717603788, 'Std': 90.85378129022077}","{'Mean': -1951.0315168978043, 'Std': 96.88322097017914}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -2006.712834871979, 'Std': 104.6350571695347}","{'Mean': -1966.7141388336975, 'Std': 72.78539816267782}","{'Mean': -1989.229650829651, 'Std': 124.31468550972086}","{'Mean': -1976.6758450674226, 'Std': 109.56134446562193}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -1926.231929849214, 'Std': 121.80306143398798}","{'Mean': -1955.1704345921141, 'Std': 88.87389971239041}","{'Mean': -1921.4630032646867, 'Std': 90.3142524952907}","{'Mean': -1941.3609153973284, 'Std': 92.85728997704354}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -1930.9936260169827, 'Std': 133.88519697568591}","{'Mean': -1968.6088520682413, 'Std': 82.05457114731396}","{'Mean': -1945.7482674141447, 'Std': 117.6220892837164}","{'Mean': -1963.788268053114, 'Std': 104.09081146024648}"
"measuring CO,measuring NO2,temperature,","{'Mean': -1916.4105114562738, 'Std': 92.91481720507318}","{'Mean': -1942.8084799045407, 'Std': 88.15892342559629}","{'Mean': -1912.526135421637, 'Std': 98.49556155124371}","{'Mean': -1958.5978627094537, 'Std': 93.52170173869297}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -1962.9793444836903, 'Std': 109.38944376992927}","{'Mean': -1964.3458440970771, 'Std': 79.78357033209755}","{'Mean': -1948.3742803748773, 'Std': 98.89140391359884}","{'Mean': -1943.4537422465194, 'Std': 117.5103061242352}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -1963.3189604956315, 'Std': 100.23378477637577}","{'Mean': -1964.054799510982, 'Std': 71.44649123805408}","{'Mean': -1997.658561108141, 'Std': 135.54582337364448}","{'Mean': -1981.5844622736467, 'Std': 109.03817094573239}"
"measuring CO,measuring O3 1,temperature,","{'Mean': -1902.4363487089395, 'Std': 154.84748759504666}","{'Mean': -1944.9446841388346, 'Std': 80.36252696316117}","{'Mean': -1967.5466126199601, 'Std': 90.31309448836731}","{'Mean': -1937.8499305758153, 'Std': 141.18630587469812}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -1925.5667758306781, 'Std': 111.47366045538291}","{'Mean': -1954.7629068129188, 'Std': 95.16881404699335}","{'Mean': -1926.547806991052, 'Std': 103.20246315345919}","{'Mean': -1950.9293717280796, 'Std': 94.83090601925369}"
"measuring CO,measuring O3 2,temperature,","{'Mean': -1910.1866791401028, 'Std': 99.12098302724985}","{'Mean': -1957.8432551264766, 'Std': 113.36445540895036}","{'Mean': -1900.6244635296546, 'Std': 91.05213508384315}","{'Mean': -1945.1736169178432, 'Std': 79.52592391185577}"
"measuring CO,measuring PM10,temperature,","{'Mean': -1884.5048712540847, 'Std': 130.0334684399774}","{'Mean': -1942.218411857896, 'Std': 95.33725049331628}","{'Mean': -1920.2316048548703, 'Std': 104.15531062229559}","{'Mean': -1938.6806867035796, 'Std': 108.5905748845659}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -1934.5330265060857, 'Std': 138.6511754308752}","{'Mean': -1959.5503792050306, 'Std': 79.82705889581275}","{'Mean': -1941.5462567836223, 'Std': 98.38788635130109}","{'Mean': -1943.8189167041103, 'Std': 106.97703635306009}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -1970.8247915508375, 'Std': 134.08227541243525}","{'Mean': -1959.587242621498, 'Std': 72.17800266064262}","{'Mean': -1990.308106785803, 'Std': 141.87706933374128}","{'Mean': -1980.290164218447, 'Std': 111.55218037162184}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': -1944.2848104509774, 'Std': 117.36830824076824}","{'Mean': -1940.2342544668409, 'Std': 80.29487322169813}","{'Mean': -1950.5557461018914, 'Std': 92.94658335041248}","{'Mean': -1932.8644818748573, 'Std': 129.75421109697226}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -1934.3570763291907, 'Std': 105.38291433392575}","{'Mean': -1950.5638047037482, 'Std': 94.64880133093797}","{'Mean': -1921.2385120567244, 'Std': 96.45794275548782}","{'Mean': -1954.5183586104447, 'Std': 91.3552837489762}"
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -1914.53842317659, 'Std': 92.93480279415988}","{'Mean': -1956.8788598241172, 'Std': 113.521239864629}","{'Mean': -1882.5365990055388, 'Std': 85.29545099910695}","{'Mean': -1953.5158520244634, 'Std': 74.60857130354248}"
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -1904.0125714125916, 'Std': 133.35484925722756}","{'Mean': -1937.8239245537577, 'Std': 94.79985956516869}","{'Mean': -1916.0817486924304, 'Std': 101.60044631165853}","{'Mean': -1957.0856815594943, 'Std': 93.98901581598957}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -1949.3901853648779, 'Std': 103.9204114339687}","{'Mean': -1953.8117223769048, 'Std': 83.25198654140019}","{'Mean': -1953.250648186674, 'Std': 100.62191941942272}","{'Mean': -1960.9063556328317, 'Std': 107.41720688144906}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -1917.1664394948693, 'Std': 108.90287272311085}","{'Mean': -1954.6333854160694, 'Std': 98.14155522927872}","{'Mean': -1944.747503252083, 'Std': 102.3324638438419}","{'Mean': -1883.8324077550294, 'Std': 179.91876663093643}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -1883.8972289713217, 'Std': 68.98597529253057}","{'Mean': -1936.0946090759073, 'Std': 84.39681232362766}","{'Mean': -1956.7845548784996, 'Std': 108.55833534767334}","{'Mean': -1931.2380283419434, 'Std': 139.88179253958077}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -1868.8102649192635, 'Std': 116.31038562176975}","{'Mean': -1952.178829831232, 'Std': 115.71605314879122}","{'Mean': -1906.9186905046508, 'Std': 101.61948319790467}","{'Mean': -1940.2659829360553, 'Std': 88.1383386013089}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -1912.0904621213958, 'Std': 73.32883289549002}","{'Mean': -1950.1567072083462, 'Std': 82.76779419439812}","{'Mean': -1943.0882977306228, 'Std': 97.69152631627645}","{'Mean': -1957.1823785539063, 'Std': 105.75234292538553}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -1877.480325913988, 'Std': 135.85875194827193}","{'Mean': -1954.204216831291, 'Std': 98.71954472983248}","{'Mean': -1926.5753320854822, 'Std': 92.04280987439878}","{'Mean': -1874.9031030211638, 'Std': 186.62790708458033}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -1859.545717703384, 'Std': 150.2010797647192}","{'Mean': -1932.4325142504103, 'Std': 83.82372126187113}","{'Mean': -1945.9900597656663, 'Std': 118.38119425873214}","{'Mean': -1960.192620367812, 'Std': 113.74131717600177}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -1861.4670480271309, 'Std': 112.24612374115853}","{'Mean': -1951.4485394908781, 'Std': 115.52299478143995}","{'Mean': -1903.008022370325, 'Std': 90.66220682865222}","{'Mean': -1944.359513856228, 'Std': 88.80475356865173}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -1859.6950880444201, 'Std': 115.6503950536349}","{'Mean': -1947.250384293853, 'Std': 99.10998088447018}","{'Mean': -1942.2295678099065, 'Std': 108.87865629980126}","{'Mean': -1883.7883388406735, 'Std': 172.36352077040243}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -1869.777764110039, 'Std': 120.47988626820657}","{'Mean': -1947.0635629970736, 'Std': 99.35900298029362}","{'Mean': -1928.0542137266132, 'Std': 98.51586640164959}","{'Mean': -1855.9179613106471, 'Std': 218.69242907686353}"
