,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,","{'Mean': -1949.1535962135167, 'Std': 118.50533693627203}","{'Mean': -1969.1574887646657, 'Std': 77.13178776301027}","{'Mean': -1932.6987955414895, 'Std': 145.53147428377395}","{'Mean': -1941.334809196913, 'Std': 114.59136584424476}"
"measuring CO,measuring NO2,","{'Mean': -1891.8321149614821, 'Std': 165.50902250066542}","{'Mean': -1959.283877633654, 'Std': 77.51837996609689}","{'Mean': -1903.8477636639461, 'Std': 116.6736692471093}","{'Mean': -1944.1007454328112, 'Std': 115.51260585467497}"
"measuring CO,measuring O3 1,","{'Mean': -1989.098872471199, 'Std': 113.42745428212935}","{'Mean': -1968.3937432525975, 'Std': 79.62650867785845}","{'Mean': -1988.9264948745833, 'Std': 134.92621988072878}","{'Mean': -1956.402413431105, 'Std': 119.09886246306826}"
"measuring CO,measuring O3 2,","{'Mean': -1928.8533341948305, 'Std': 91.39542311811826}","{'Mean': -1947.400631943586, 'Std': 89.55909191227859}","{'Mean': -1901.8262848244367, 'Std': 95.5888563242878}","{'Mean': -1912.5187182479146, 'Std': 98.00756472978694}"
"measuring CO,measuring PM10,","{'Mean': -1931.4591470702223, 'Std': 117.77041576980005}","{'Mean': -1958.0530087851246, 'Std': 80.15225742616035}","{'Mean': -1936.6343925162153, 'Std': 123.22650536426137}","{'Mean': -1934.368958005139, 'Std': 112.49002474130431}"
"measuring CO,temperature,","{'Mean': -1865.7519833790248, 'Std': 105.78079334397408}","{'Mean': -1932.418840227075, 'Std': 91.0146301860946}","{'Mean': -1899.2898763510384, 'Std': 96.92773110391806}","{'Mean': -1937.1518189052438, 'Std': 96.43757396358251}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -1973.6151760711507, 'Std': 109.83691210349676}","{'Mean': -1960.0313934706849, 'Std': 78.98883636927509}","{'Mean': -1973.7685417298653, 'Std': 135.53016438417686}","{'Mean': -1952.4123190326798, 'Std': 115.52619641321067}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -1901.18088031546, 'Std': 112.87444805242012}","{'Mean': -1938.6348679175055, 'Std': 88.7139829709692}","{'Mean': -1894.3921823878409, 'Std': 91.06022364344156}","{'Mean': -1910.3341701049394, 'Std': 98.69526735645007}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -1934.2231301071358, 'Std': 115.38153938353167}","{'Mean': -1948.712902542267, 'Std': 79.6848658528758}","{'Mean': -1939.157809942394, 'Std': 138.58568985070517}","{'Mean': -1941.8560923680172, 'Std': 110.77609220464457}"
"measuring CO,measuring NO2,temperature,","{'Mean': -1907.709441726721, 'Std': 92.28059426801693}","{'Mean': -1923.6008980502675, 'Std': 89.81897972130119}","{'Mean': -1889.7279886682607, 'Std': 96.43810957105283}","{'Mean': -1939.147273259052, 'Std': 90.81713681291707}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -1936.4758066933616, 'Std': 117.27590796506385}","{'Mean': -1956.3746461556686, 'Std': 88.58173728329128}","{'Mean': -1924.5136590929042, 'Std': 95.35607901940982}","{'Mean': -1937.0563522811024, 'Std': 87.25125269196327}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -1972.7763099617462, 'Std': 116.63858582499553}","{'Mean': -1953.8980798429268, 'Std': 78.1931398806653}","{'Mean': -1988.330007816846, 'Std': 132.4076387805677}","{'Mean': -1957.7548174493932, 'Std': 122.33766804983799}"
"measuring CO,measuring O3 1,temperature,","{'Mean': -1899.490411587575, 'Std': 139.79213040533202}","{'Mean': -1934.4805543797, 'Std': 91.20606841486381}","{'Mean': -1945.6175495081095, 'Std': 87.69703540741942}","{'Mean': -1947.004155901096, 'Std': 110.9324362701942}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -1904.4828405858225, 'Std': 105.20203768174811}","{'Mean': -1934.4397006530132, 'Std': 95.48281277969811}","{'Mean': -1901.632411396683, 'Std': 104.06723682093721}","{'Mean': -1917.4034843305071, 'Std': 96.40715542417524}"
