,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,","{'Mean': -0.04814142591152476, 'Std': 0.004055048807825286}","{'Mean': -0.047562796742153725, 'Std': 0.0016284942831948385}","{'Mean': -0.05019956217078026, 'Std': 0.010440860714199423}","{'Mean': -0.04953332119263548, 'Std': 0.004225806621344286}"
"measuring CO,measuring NO2,","{'Mean': -0.05500489361271683, 'Std': 0.01124376577609994}","{'Mean': -0.04787886927559667, 'Std': 0.001735189964253101}","{'Mean': -0.04900396364415788, 'Std': 0.009818153399586103}","{'Mean': -0.04879776485779152, 'Std': 0.004218051794789258}"
"measuring CO,measuring O3 1,","{'Mean': -0.04563350938434832, 'Std': 0.003595851726135956}","{'Mean': -0.04683547050984277, 'Std': 0.0015362967740261294}","{'Mean': -0.047166979898877796, 'Std': 0.008629313882495358}","{'Mean': -0.04725078430635768, 'Std': 0.003751663846651724}"
"measuring CO,measuring O3 2,","{'Mean': -0.050742459008365264, 'Std': 0.004111578307097313}","{'Mean': -0.04964869869404831, 'Std': 0.0028783454002505376}","{'Mean': -0.050811688387094885, 'Std': 0.003811279595742954}","{'Mean': -0.05036714751286689, 'Std': 0.003820236485964519}"
"measuring CO,measuring PM10,","{'Mean': -0.04896339471585561, 'Std': 0.0050138253872783}","{'Mean': -0.04759881289817557, 'Std': 0.0018919025366764969}","{'Mean': -0.04838322297595817, 'Std': 0.004837575826340412}","{'Mean': -0.04887398842848103, 'Std': 0.004141028577378742}"
"measuring CO,temperature,","{'Mean': -0.050756392971652665, 'Std': 0.00388276223161392}","{'Mean': -0.050520525911784055, 'Std': 0.003757054347036008}","{'Mean': -0.0509308352045866, 'Std': 0.0039709116579216015}","{'Mean': -0.049436585589255753, 'Std': 0.00430563828843231}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -0.045585507259131484, 'Std': 0.003481762848699975}","{'Mean': -0.047083746062301784, 'Std': 0.0013862402257374632}","{'Mean': -0.04625983608013436, 'Std': 0.006724259943124631}","{'Mean': -0.04722803384296851, 'Std': 0.0040008216653615175}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -0.05092314302263138, 'Std': 0.006050084393590709}","{'Mean': -0.04988218628826524, 'Std': 0.0028985847263406244}","{'Mean': -0.05076261142087862, 'Std': 0.002817598186571738}","{'Mean': -0.050134229264496545, 'Std': 0.004163663531194124}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -0.0508405439566241, 'Std': 0.006155566087510084}","{'Mean': -0.04781071028518102, 'Std': 0.0018839666286124073}","{'Mean': -0.04893819793548201, 'Std': 0.0044548011833482155}","{'Mean': -0.048071163540639894, 'Std': 0.004084821079586552}"
"measuring CO,measuring NO2,temperature,","{'Mean': -0.052181815222621754, 'Std': 0.004736443876969792}","{'Mean': -0.05076163955291538, 'Std': 0.0035610025902200453}","{'Mean': -0.05080767738961412, 'Std': 0.004153963062293316}","{'Mean': -0.04845139954081715, 'Std': 0.0039616597190172504}"
