,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,","{'Mean': -0.004395094650893833, 'Std': 0.0012657264199398238}","{'Mean': -0.004041312543623683, 'Std': 0.000807552765640474}","{'Mean': -0.0047221403314381735, 'Std': 0.0016870142561889983}","{'Mean': -0.00448259007385191, 'Std': 0.0012489066566758198}"
"measuring CO,measuring NO2,","{'Mean': -0.005346881222117593, 'Std': 0.0023234959286627783}","{'Mean': -0.0040879730771056395, 'Std': 0.0008271625640631318}","{'Mean': -0.004905217857917643, 'Std': 0.001449936169534202}","{'Mean': -0.004384833908940175, 'Std': 0.0011992261788486556}"
"measuring CO,measuring O3 1,","{'Mean': -0.003851307608275662, 'Std': 0.0010664379750993454}","{'Mean': -0.003989491601128919, 'Std': 0.0008192989592111433}","{'Mean': -0.003922670946841949, 'Std': 0.0012522739308766793}","{'Mean': -0.004251830677005759, 'Std': 0.0012191901634282622}"
"measuring CO,measuring O3 2,","{'Mean': -0.00448713637398272, 'Std': 0.0010383513703882234}","{'Mean': -0.004255189603098376, 'Std': 0.0009620368490039035}","{'Mean': -0.004851992021155763, 'Std': 0.001163338281169624}","{'Mean': -0.004857342519894479, 'Std': 0.0013668493003113377}"
"measuring CO,measuring PM10,","{'Mean': -0.004539797770345292, 'Std': 0.00129981640187473}","{'Mean': -0.004107395603603902, 'Std': 0.0008449717227713476}","{'Mean': -0.004494026844726738, 'Std': 0.0013309494970073082}","{'Mean': -0.004483708770907033, 'Std': 0.0012513380813764033}"
"measuring CO,temperature,","{'Mean': -0.005408767216401667, 'Std': 0.0014589544218700614}","{'Mean': -0.004441823473858093, 'Std': 0.0010271641052701126}","{'Mean': -0.0048902386819185155, 'Std': 0.001178942079897067}","{'Mean': -0.00442069938029651, 'Std': 0.0010620721019744012}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -0.003950266584247036, 'Std': 0.0011173986956354185}","{'Mean': -0.004016054991963306, 'Std': 0.0008226636022566216}","{'Mean': -0.004027461472268797, 'Std': 0.0012871325732457483}","{'Mean': -0.004258886004231687, 'Std': 0.0012374403021070972}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -0.004849565011298947, 'Std': 0.0014229392321805402}","{'Mean': -0.004287588047785093, 'Std': 0.0009644425623420577}","{'Mean': -0.004858199300069699, 'Std': 0.0011103789018017942}","{'Mean': -0.004652010373394034, 'Std': 0.0011375782157128814}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -0.0044224696277710375, 'Std': 0.0012380557964355057}","{'Mean': -0.004146512368592983, 'Std': 0.000853413442568963}","{'Mean': -0.004448516265148586, 'Std': 0.001447418100103421}","{'Mean': -0.004289092879372499, 'Std': 0.001147496937283724}"
"measuring CO,measuring NO2,temperature,","{'Mean': -0.004684375224894455, 'Std': 0.0010820396573690855}","{'Mean': -0.004474504193682299, 'Std': 0.0010164217841678038}","{'Mean': -0.0049401655812062505, 'Std': 0.001197891139348965}","{'Mean': -0.0042935501876884075, 'Std': 0.0009622373769788236}"
