,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,","{'Mean': -0.4173034078829591, 'Std': 0.31520167538573945}","{'Mean': -0.3366050080875837, 'Std': 0.259664202663266}","{'Mean': -0.5588699533475487, 'Std': 0.6193029977144506}","{'Mean': -0.4619383871121118, 'Std': 0.32699552525367176}"
"measuring CO,measuring O3 1,","{'Mean': -0.24805140961913577, 'Std': 0.2806355223865268}","{'Mean': -0.31755061719118227, 'Std': 0.2566330600157125}","{'Mean': -0.27331772435147916, 'Std': 0.3927008158178192}","{'Mean': -0.38600195870587833, 'Std': 0.3182951290599025}"
"measuring CO,measuring O3 2,","{'Mean': -0.4710129049062686, 'Std': 0.2911100240902028}","{'Mean': -0.40026518090103186, 'Std': 0.29285856350844386}","{'Mean': -0.5886495163447502, 'Std': 0.32815571727536186}","{'Mean': -0.5186045761749819, 'Std': 0.19034044889957685}"
"measuring CO,measuring PM10,","{'Mean': -0.48944026221006603, 'Std': 0.43153511336650124}","{'Mean': -0.35790665487097945, 'Std': 0.27294042899825305}","{'Mean': -0.4658718524204269, 'Std': 0.4199098241589523}","{'Mean': -0.444454937737341, 'Std': 0.36785354900191036}"
"measuring CO,temperature,","{'Mean': -0.7422651567041333, 'Std': 0.2856809177800512}","{'Mean': -0.48434845449069114, 'Std': 0.4061904492521074}","{'Mean': -0.6112578886204568, 'Std': 0.38376437691247206}","{'Mean': -0.45090374932631416, 'Std': 0.33274740614711573}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -0.39338435465634203, 'Std': 0.12293025623869208}","{'Mean': -0.34745871256269956, 'Std': 0.2994808553825395}","{'Mean': -0.4499124227501381, 'Std': 0.202845052736941}","{'Mean': -0.40576140671400135, 'Std': 0.2307098407273064}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -0.29160150989167805, 'Std': 0.3209587993341884}","{'Mean': -0.3520303105797145, 'Std': 0.2738103645089716}","{'Mean': -0.24960082592586597, 'Std': 0.36666684937586425}","{'Mean': -0.38280493534333654, 'Std': 0.35661271933005934}"
"measuring CO,measuring O3 1,temperature,","{'Mean': -0.5497162911892471, 'Std': 0.1839623848236079}","{'Mean': -0.4525003821316546, 'Std': 0.3999916447817146}","{'Mean': -0.3844353919861517, 'Std': 0.2889655865871082}","{'Mean': -0.3898000917019364, 'Std': 0.24557505060704082}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -0.5463663183101897, 'Std': 0.30071648284543584}","{'Mean': -0.43488194173901634, 'Std': 0.33298289912183315}","{'Mean': -0.5599798686204635, 'Std': 0.3092811801979269}","{'Mean': -0.4873113894945811, 'Std': 0.24344328339864751}"
"measuring CO,measuring O3 2,temperature,","{'Mean': -0.6869092230290638, 'Std': 0.4229011004436977}","{'Mean': -0.40370996178468294, 'Std': 0.308970829739188}","{'Mean': -0.7300543364316235, 'Std': 0.4850039126974251}","{'Mean': -0.583132188288859, 'Std': 0.31283503719109085}"
"measuring CO,measuring PM10,temperature,","{'Mean': -0.7343631964206301, 'Std': 0.5182680120897502}","{'Mean': -0.5214179554479231, 'Std': 0.44337068719238215}","{'Mean': -0.596013975579799, 'Std': 0.3955960370036925}","{'Mean': -0.4792931750839866, 'Std': 0.4136540315335155}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.43755780565417557, 'Std': 0.15727909110924992}","{'Mean': -0.3943898296202672, 'Std': 0.3347320071927249}","{'Mean': -0.3809738154183157, 'Std': 0.25838414668929427}","{'Mean': -0.3821626326028285, 'Std': 0.2710624092035159}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.6730299172101226, 'Std': 0.19000954662647765}","{'Mean': -0.3710500944401645, 'Std': 0.3113655015429175}","{'Mean': -0.46958532736401404, 'Std': 0.2749865604358212}","{'Mean': -0.5175165639493127, 'Std': 0.20210232058598246}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.5606301544877934, 'Std': 0.3656546335731811}","{'Mean': -0.49758444300691806, 'Std': 0.4353750765590894}","{'Mean': -0.38230093943613647, 'Std': 0.3762631472469994}","{'Mean': -0.42080134230940053, 'Std': 0.36792507933223023}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.881218547050802, 'Std': 0.6137451869031587}","{'Mean': -0.43482639676698814, 'Std': 0.352874027446484}","{'Mean': -0.6227485377620433, 'Std': 0.33149597598029784}","{'Mean': -0.5791081797108001, 'Std': 0.33454917650739857}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.6945031682375973, 'Std': 0.5028183113248853}","{'Mean': -0.4073209048068603, 'Std': 0.3499762160054607}","{'Mean': -0.4304497098251174, 'Std': 0.33278539198674023}","{'Mean': -0.4900503612058278, 'Std': 0.33206566718890745}"
