,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(200, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.01, 'mlp_regressor__hidden_layer_sizes': (200, 50)}, 'Test R2': array([-0.12207584, -0.27567913, -0.85415525]), 'Test RMSE': array([-0.07421267, -0.05122886, -0.07108704]), 'Test MAE': array([-0.05208845, -0.04227853, -0.05535776]), 'Test MSE': array([-0.00550752, -0.0026244 , -0.00505337]), 'AIC': array([-1858.18738373, -2123.55986727, -1888.99673555]), 'BIC': array([-1850.42631776, -2115.7988013 , -1881.23566958])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([ 0.01621488, -0.42482854, -0.60120136]), 'Test RMSE': array([-0.06948916, -0.05414087, -0.06606028]), 'Test MAE': array([-0.04903953, -0.04530842, -0.04874078]), 'Test MSE': array([-0.00482874, -0.00293123, -0.00436396]), 'AIC': array([-1905.27446933, -2083.97480829, -1941.5063866 ]), 'BIC': array([-1897.51340335, -2076.21374231, -1933.74532063])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.0254638 , -0.22398122, -1.42716484]), 'Test RMSE': array([-0.07094587, -0.05018007, -0.08133305]), 'Test MAE': array([-0.0484489 , -0.03837608, -0.06579866]), 'Test MSE': array([-0.00503332, -0.00251804, -0.00661506]), 'AIC': array([-1890.42005701, -2138.37027387, -1792.58925366]), 'BIC': array([-1882.65899104, -2130.6092079 , -1784.82818769])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.12100367, -0.32400427, -0.91591866]), 'Test RMSE': array([-0.07417721, -0.05219016, -0.07226133]), 'Test MAE': array([-0.05108949, -0.04305   , -0.05675253]), 'Test MSE': array([-0.00550226, -0.00272381, -0.0052217 ]), 'AIC': array([-1858.52962445, -2110.24871415, -1877.26578278]), 'BIC': array([-1850.76855848, -2102.48764818, -1869.50471681])}"
"measuring CO,measuring NO2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.01, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.70197981, -0.31050028, -0.83117267]), 'Test RMSE': array([-0.09139957, -0.05192332, -0.0706451 ]), 'Test MAE': array([-0.06404249, -0.04282968, -0.05386963]), 'Test MSE': array([-0.00835388, -0.00269603, -0.00499073]), 'AIC': array([-1707.04036885, -2111.91883334, -1891.46193958]), 'BIC': array([-1695.39876989, -2100.27723438, -1879.82034062])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.0073648 , -0.44353829, -0.5959743 ]), 'Test RMSE': array([-0.070317  , -0.05449518, -0.06595236]), 'Test MAE': array([-0.04955283, -0.04559143, -0.04864645]), 'Test MSE': array([-0.00494448, -0.00296972, -0.00434971]), 'AIC': array([-1894.79502727, -2077.30442508, -1940.67697743]), 'BIC': array([-1883.15342831, -2065.66282612, -1929.03537847])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.06059512, -0.45744075, -1.38919316]), 'Test RMSE': array([-0.0721509 , -0.05475697, -0.08069433]), 'Test MAE': array([-0.04796382, -0.04384601, -0.06451586]), 'Test MSE': array([-0.00520575, -0.00299833, -0.00651158]), 'AIC': array([-1876.36075876, -2073.87308651, -1796.2342426 ]), 'BIC': array([-1864.7191598 , -2062.23148756, -1784.59264364])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': None, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.09566924, -0.31130169, -0.86352826]), 'Test RMSE': array([-0.07333422, -0.0519392 , -0.07126649]), 'Test MAE': array([-0.05013174, -0.04318153, -0.05562282]), 'Test MSE': array([-0.00537791, -0.00269768, -0.00507891]), 'AIC': array([-1864.71316756, -2111.69997037, -1885.19155562]), 'BIC': array([-1853.0715686 , -2100.05837141, -1873.54995666])}"
"measuring CO,measuring O3 1,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.01, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([ 0.03161297, -0.14400797, -0.63175923]), 'Test RMSE': array([-0.0689432 , -0.04851304, -0.06668765]), 'Test MAE': array([-0.04636518, -0.03983009, -0.05105142]), 'Test MSE': array([-0.00475316, -0.00235351, -0.00444724]), 'AIC': array([-1908.92215747, -2160.56068579, -1932.73857103]), 'BIC': array([-1897.28055851, -2148.91908683, -1921.09697207])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([ 0.02669188, -0.3901047 , -0.58923903]), 'Test RMSE': array([-0.06911815, -0.05347708, -0.06581305]), 'Test MAE': array([-0.04653129, -0.04451353, -0.04852898]), 'Test MSE': array([-0.00477732, -0.0028598 , -0.00433136]), 'AIC': array([-1907.10750268, -2090.80753199, -1942.19099197]), 'BIC': array([-1895.46590372, -2079.16593303, -1930.54939301])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([ 0.05654565, -0.0513211 , -0.82517772]), 'Test RMSE': array([-0.06804989, -0.04650628, -0.07052937]), 'Test MAE': array([-0.04759327, -0.03506854, -0.05583264]), 'Test MSE': array([-0.00463079, -0.00216283, -0.00497439]), 'AIC': array([-1918.26017659, -2190.80820971, -1892.63589519]), 'BIC': array([-1906.61857763, -2179.16661076, -1880.99429623])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': None, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.07000375, -0.23243885, -0.82287628]), 'Test RMSE': array([-0.07247023, -0.05035315, -0.07048489]), 'Test MAE': array([-0.04983252, -0.0412225 , -0.0545919 ]), 'Test MSE': array([-0.00525193, -0.00253544, -0.00496812]), 'AIC': array([-1873.19891547, -2133.90502375, -1893.08759491]), 'BIC': array([-1861.55731651, -2122.26342479, -1881.44599596])}"
"measuring CO,measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(10, 10),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.01, 'mlp_regressor__hidden_layer_sizes': (10, 10)}, 'Test R2': array([-0.10998853, -0.48016693, -0.82288326]), 'Test RMSE': array([-0.07381187, -0.05518223, -0.07048502]), 'Test MAE': array([-0.05147897, -0.0443167 , -0.05152375]), 'Test MSE': array([-0.00544819, -0.00304508, -0.00496814]), 'AIC': array([-1860.06477834, -2068.33379556, -1893.08622556]), 'BIC': array([-1848.42317939, -2056.6921966 , -1881.4446266 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.03555027, -0.4126624 , -0.75258287]), 'Test RMSE': array([-0.07129393, -0.05390923, -0.06911251]), 'Test MAE': array([-0.05187143, -0.04558138, -0.05199847]), 'Test MSE': array([-0.00508282, -0.0029062 , -0.00477654]), 'AIC': array([-1884.9159707 , -2085.04477621, -1907.1659458 ]), 'BIC': array([-1873.27437174, -2073.40317725, -1895.52434684])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.19760287, -0.56774466, -1.00060101]), 'Test RMSE': array([-0.07666963, -0.05679127, -0.07384101]), 'Test MAE': array([-0.05472874, -0.04653654, -0.05509157]), 'Test MSE': array([-0.00587823, -0.00322525, -0.0054525 ]), 'AIC': array([-1832.86670575, -2047.75481093, -1859.78213467]), 'BIC': array([-1821.22510679, -2036.11321197, -1848.14053571])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.33211597, -0.55084181, -0.7769995 ]), 'Test RMSE': array([-0.08086079, -0.05648429, -0.06959228]), 'Test MAE': array([-0.05724337, -0.04668926, -0.05197847]), 'Test MSE': array([-0.00653847, -0.00319048, -0.00484309]), 'AIC': array([-1794.75879516, -2051.63559644, -1902.21278583]), 'BIC': array([-1783.1171962 , -2039.99399748, -1890.57118687])}"
"measuring CO,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.1, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.1, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.064925  , -0.32199548, -1.08140031]), 'Test RMSE': array([-0.07229803, -0.05215055, -0.07531738]), 'Test MAE': array([-0.04979075, -0.0426649 , -0.05744411]), 'Test MSE': array([-0.00522701, -0.00271968, -0.00567271]), 'AIC': array([-1874.9022004 , -2108.79228695, -1845.60775073]), 'BIC': array([-1863.26060144, -2097.150688  , -1833.96615177])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([ 0.00499156, -0.42545501, -0.65325652]), 'Test RMSE': array([-0.06988442, -0.05415277, -0.0671255 ]), 'Test MAE': array([-0.04900411, -0.04531963, -0.04979399]), 'Test MSE': array([-0.00488383, -0.00293252, -0.00450583]), 'AIC': array([-1899.21341784, -2081.81743704, -1928.05296835]), 'BIC': array([-1887.57181888, -2070.17583808, -1916.41136939])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.07546951, -0.27354767, -1.04859838]), 'Test RMSE': array([-0.07265508, -0.05118604, -0.07472154]), 'Test MAE': array([-0.04991295, -0.04236162, -0.05621828]), 'Test MSE': array([-0.00527876, -0.00262001, -0.00558331]), 'AIC': array([-1871.37484335, -2122.15853185, -1851.29459923]), 'BIC': array([-1859.73324439, -2110.51693289, -1839.65300027])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.09487753, -0.31926405, -0.96777974]), 'Test RMSE': array([-0.07330772, -0.05209665, -0.0732328 ]), 'Test MAE': array([-0.05012752, -0.04213334, -0.05697561]), 'Test MSE': array([-0.00537402, -0.00271406, -0.00536304]), 'AIC': array([-1864.97194515, -2109.53272995, -1865.70408816]), 'BIC': array([-1853.33034619, -2097.891131  , -1854.0624892 ])}"
"measuring CO,temperature,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.01, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.42370769, -0.68634344, -1.11674434]), 'Test RMSE': array([-0.08359444, -0.05890022, -0.07595417]), 'Test MAE': array([-0.06078858, -0.04804879, -0.05763255]), 'Test MSE': array([-0.00698803, -0.00346924, -0.00576904]), 'AIC': array([-1770.95326889, -2021.64784869, -1839.57962943]), 'BIC': array([-1759.31166993, -2010.00624973, -1827.93803047])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([ 0.00551536, -0.46945137, -0.98910935]), 'Test RMSE': array([-0.06986602, -0.05498213, -0.07362863]), 'Test MAE': array([-0.04973258, -0.04652042, -0.05682975]), 'Test MSE': array([-0.00488126, -0.00302303, -0.00542118]), 'AIC': array([-1899.40192937, -2070.93493544, -1861.84445275]), 'BIC': array([-1887.76033041, -2059.29333648, -1850.20285379])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.16514531, -0.56663839, -1.10198996]), 'Test RMSE': array([-0.07562354, -0.05677123, -0.07568899]), 'Test MAE': array([-0.05351297, -0.04551585, -0.0564834 ]), 'Test MSE': array([-0.00571892, -0.00322297, -0.00572882]), 'AIC': array([-1842.70316407, -2048.0075207 , -1842.08374116]), 'BIC': array([-1831.06156511, -2036.36592174, -1830.4421422 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.08067288, -0.42278416, -0.84586345]), 'Test RMSE': array([-0.07283063, -0.05410201, -0.07092791]), 'Test MAE': array([-0.05050513, -0.04349949, -0.05363406]), 'Test MSE': array([-0.0053043 , -0.00292703, -0.00503077]), 'AIC': array([-1869.64693358, -2082.488845  , -1888.60130653]), 'BIC': array([-1858.00533462, -2070.84724604, -1876.95970757])}"
"measuring CO,measuring NO2,measuring O3 1,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.1, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.1, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.06388766, -0.21618709, -0.51421346]), 'Test RMSE': array([-0.07226281, -0.05002005, -0.0642408 ]), 'Test MAE': array([-0.05054433, -0.04118901, -0.04894465]), 'Test MSE': array([-0.00522191, -0.00250201, -0.00412688]), 'AIC': array([-1873.25109613, -2136.65725422, -1957.5035737 ]), 'BIC': array([-1857.72896419, -2121.13512228, -1941.98144175])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([ 0.01399982, -0.40605167, -0.58358355]), 'Test RMSE': array([-0.06956735, -0.05378294, -0.06569584]), 'Test MAE': array([-0.04685413, -0.04479641, -0.04842659]), 'Test MSE': array([-0.00483962, -0.0028926 , -0.00431594]), 'AIC': array([-1900.4693163 , -2084.72401515, -1941.4672448 ]), 'BIC': array([-1884.94718435, -2069.2018832 , -1925.94511286])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.02969404, -0.07540544, -0.76703308]), 'Test RMSE': array([-0.07109205, -0.04703596, -0.06939685]), 'Test MAE': array([-0.04816826, -0.03572738, -0.05477873]), 'Test MSE': array([-0.00505408, -0.00221238, -0.00481592]), 'AIC': array([-1884.94627193, -2180.69944501, -1902.22630408]), 'BIC': array([-1869.42413998, -2165.17731307, -1886.70417214])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.08675603, -0.22762542, -0.8041059 ]), 'Test RMSE': array([-0.07303533, -0.05025472, -0.07012105]), 'Test MAE': array([-0.05017151, -0.04126698, -0.05405115]), 'Test MSE': array([-0.00533416, -0.00252554, -0.00491696]), 'AIC': array([-1865.63738783, -2133.30597333, -1894.79307639]), 'BIC': array([-1850.11525588, -2117.78384138, -1879.27094445])}"
"measuring CO,measuring NO2,measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.1, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.1, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.32923721, -0.48061829, -0.82663021]), 'Test RMSE': array([-0.08077337, -0.05519065, -0.07055742]), 'Test MAE': array([-0.05744988, -0.04509252, -0.05189197]), 'Test MSE': array([-0.00652434, -0.00304601, -0.00497835]), 'AIC': array([-1793.53328395, -2066.22464379, -1890.35110905]), 'BIC': array([-1778.011152  , -2050.70251184, -1874.8289771 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.05112308, -0.43067245, -0.74660495]), 'Test RMSE': array([-0.071828  , -0.05425178, -0.06899454]), 'Test MAE': array([-0.05232594, -0.04587502, -0.05188267]), 'Test MSE': array([-0.00515926, -0.00294326, -0.00476025]), 'AIC': array([-1877.57237498, -2078.50948071, -1906.3891439 ]), 'BIC': array([-1862.05024304, -2062.98734876, -1890.86701195])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.16640286, -0.59962211, -1.03956071]), 'Test RMSE': array([-0.07566434, -0.05736574, -0.07455654]), 'Test MAE': array([-0.05161764, -0.04698267, -0.05585358]), 'Test MSE': array([-0.00572509, -0.00329083, -0.00555868]), 'AIC': array([-1840.31698307, -2038.54850152, -1850.87745841]), 'BIC': array([-1824.79485112, -2023.02636958, -1835.35532647])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.21980747, -0.55897489, -0.74710296]), 'Test RMSE': array([-0.07737713, -0.05663221, -0.06900438]), 'Test MAE': array([-0.05451502, -0.04699186, -0.0514716 ]), 'Test MSE': array([-0.00598722, -0.00320721, -0.0047616 ]), 'AIC': array([-1824.28985846, -2047.76304081, -1906.28708058]), 'BIC': array([-1808.76772651, -2032.24090886, -1890.76494864])}"
"measuring CO,measuring NO2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.1, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.1, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.06082567, -0.30010546, -0.97615805]), 'Test RMSE': array([-0.07215875, -0.05171699, -0.07338854]), 'Test MAE': array([-0.05046775, -0.0420846 , -0.05558667]), 'Test MSE': array([-0.00520688, -0.00267465, -0.00538588]), 'AIC': array([-1874.28294482, -2112.76979022, -1862.18305111]), 'BIC': array([-1858.76081287, -2097.24765828, -1846.66091917])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.01432843, -0.44532111, -0.64652429]), 'Test RMSE': array([-0.07055962, -0.05452882, -0.06698869]), 'Test MAE': array([-0.04939713, -0.0456227 , -0.04966463]), 'Test MSE': array([-0.00497866, -0.00297339, -0.00448748]), 'AIC': array([-1890.3287906 , -2074.86255568, -1927.51375718]), 'BIC': array([-1874.80665866, -2059.34042374, -1911.99162523])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.14252069, -0.17042579, -0.95558795]), 'Test RMSE': array([-0.07488572, -0.04906998, -0.07300558]), 'Test MAE': array([-0.0505179 , -0.04050055, -0.05432414]), 'Test MSE': array([-0.00560787, -0.00240786, -0.00532982]), 'AIC': array([-1847.72313717, -2150.38763656, -1865.92905194]), 'BIC': array([-1832.20100522, -2134.86550461, -1850.40691999])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.05444013, -0.29720358, -0.84303477]), 'Test RMSE': array([-0.07194124, -0.05165924, -0.07087355]), 'Test MAE': array([-0.04897306, -0.04182039, -0.05513583]), 'Test MSE': array([-0.00517554, -0.00266868, -0.00502306]), 'AIC': array([-1876.44440469, -2113.56975326, -1887.15034046]), 'BIC': array([-1860.92227275, -2098.04762131, -1871.62820851])}"
"measuring CO,measuring NO2,temperature,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.1, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.1, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.109959  , -0.53318038, -1.00002948]), 'Test RMSE': array([-0.07381089, -0.05616174, -0.07383046]), 'Test MAE': array([-0.0518764 , -0.04516105, -0.0556563 ]), 'Test MSE': array([-0.00544805, -0.00315414, -0.00545094]), 'AIC': array([-1858.07430228, -2053.73599559, -1857.88442315]), 'BIC': array([-1842.55217034, -2038.21386364, -1842.3622912 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.01648256, -0.48490748, -0.97379871]), 'Test RMSE': array([-0.07063451, -0.05527053, -0.07334472]), 'Test MAE': array([-0.05032438, -0.04672819, -0.05651234]), 'Test MSE': array([-0.00498923, -0.00305483, -0.00537945]), 'AIC': array([-1889.56931116, -2065.1890566 , -1862.61072222]), 'BIC': array([-1874.04717922, -2049.66692465, -1847.08859028])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.12081443, -0.59207487, -1.21758356]), 'Test RMSE': array([-0.07417095, -0.05723025, -0.0777423 ]), 'Test MAE': array([-0.05035877, -0.04574963, -0.05729467]), 'Test MSE': array([-0.00550133, -0.0032753 , -0.00604387]), 'AIC': array([-1854.59006297, -2040.24159383, -1820.91870504]), 'BIC': array([-1839.06793103, -2024.71946188, -1805.3965731 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(min_samples_leaf=4, min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': None, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([ 3.74089345e-04, -4.26611298e-01, -8.48976521e-01]), 'Test RMSE': array([-0.07004638, -0.05417473, -0.0709877 ]), 'Test MAE': array([-0.04791959, -0.04360438, -0.05375521]), 'Test MSE': array([-0.0049065 , -0.0029349 , -0.00503925]), 'AIC': array([-1895.55591416, -2079.52715488, -1885.99804332]), 'BIC': array([-1880.03378221, -2064.00502293, -1870.47591137])}"
