,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,","{'Mean': -0.06012620415003476, 'Std': 0.012085835226328945}","{'Mean': -0.06003826488427459, 'Std': 0.012008597584391352}","{'Mean': -0.06725799878603969, 'Std': 0.013053624928448262}","{'Mean': -0.059674998680870894, 'Std': 0.012201713216144746}"
"measuring CO,measuring NO2,","{'Mean': -0.06290576486047667, 'Std': 0.013627082446147805}","{'Mean': -0.060416240585875094, 'Std': 0.011750432542996686}","{'Mean': -0.06066305433118478, 'Std': 0.011169425365162989}","{'Mean': -0.05891333365937771, 'Std': 0.01161099330313698}"
"measuring CO,measuring O3 1,","{'Mean': -0.06360727789154567, 'Std': 0.012341344301077669}","{'Mean': -0.06075288664378401, 'Std': 0.010922211776423437}","{'Mean': -0.0657329123129959, 'Std': 0.011221081519193437}","{'Mean': -0.058771423088461686, 'Std': 0.011404213962958735}"
"measuring CO,measuring O3 2,","{'Mean': -0.06359330387807346, 'Std': 0.014255616842161771}","{'Mean': -0.06044504962005655, 'Std': 0.012896967390078461}","{'Mean': -0.07052495833360702, 'Std': 0.019278931854270254}","{'Mean': -0.06063532593179323, 'Std': 0.012563883692075674}"
"measuring CO,measuring SO2 1,","{'Mean': -0.0648107256566065, 'Std': 0.012729005770875563}","{'Mean': -0.06020167557314162, 'Std': 0.011576688715065344}","{'Mean': -0.06329838771200899, 'Std': 0.012000911902299903}","{'Mean': -0.05994298624737722, 'Std': 0.011969060475865866}"
"measuring CO,measuring SO2 2,","{'Mean': -0.06515496231130408, 'Std': 0.01289183099377954}","{'Mean': -0.06117069913870501, 'Std': 0.011601912613782591}","{'Mean': -0.06443151541883614, 'Std': 0.008460962409101403}","{'Mean': -0.06018118459920324, 'Std': 0.012147406239127419}"
"measuring CO,measuring PM10,","{'Mean': -0.06137214350739049, 'Std': 0.013343050669183317}","{'Mean': -0.06037192063954078, 'Std': 0.012419428310316324}","{'Mean': -0.06532135595866471, 'Std': 0.012426928713880942}","{'Mean': -0.06002324819174078, 'Std': 0.012324429310187098}"
"measuring CO,temperature,","{'Mean': -0.06277901743705563, 'Std': 0.012745568435599684}","{'Mean': -0.06065096395982979, 'Std': 0.012456852349158793}","{'Mean': -0.06692602713484556, 'Std': 0.013400759384668259}","{'Mean': -0.06056190847380951, 'Std': 0.012660396628010542}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -0.10643946767595991, 'Std': 0.08700269192822171}","{'Mean': -0.06120659921627063, 'Std': 0.010612504809778496}","{'Mean': -0.06273157693491553, 'Std': 0.011645595458389002}","{'Mean': -0.058177739740110146, 'Std': 0.0108644315844319}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -0.06224889285313404, 'Std': 0.011118351727119603}","{'Mean': -0.060825427914748466, 'Std': 0.012573165322656992}","{'Mean': -0.0664933786045866, 'Std': 0.010047070912208068}","{'Mean': -0.0597854871544101, 'Std': 0.012025173800661104}"
"measuring CO,measuring NO2,measuring SO2 1,","{'Mean': -0.11872809376434726, 'Std': 0.09589849675663883}","{'Mean': -0.06060980318313034, 'Std': 0.01130041987157718}","{'Mean': -0.06199030361216297, 'Std': 0.011130661358053252}","{'Mean': -0.05921195022872855, 'Std': 0.011422255516600588}"
"measuring CO,measuring NO2,measuring SO2 2,","{'Mean': -0.07411272026633753, 'Std': 0.01610002926244835}","{'Mean': -0.06126828400919719, 'Std': 0.011674370854790358}","{'Mean': -0.0649895646636673, 'Std': 0.009200467352929531}","{'Mean': -0.05978908561612288, 'Std': 0.011444395565435535}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -0.06224647619549747, 'Std': 0.01229658695440445}","{'Mean': -0.060767773887571944, 'Std': 0.012165452029515205}","{'Mean': -0.06444911031020822, 'Std': 0.012162646557043534}","{'Mean': -0.05911127390165279, 'Std': 0.011533429388198362}"
"measuring CO,measuring NO2,temperature,","{'Mean': -0.06610326227250066, 'Std': 0.01439452749319968}","{'Mean': -0.06103285013917785, 'Std': 0.012165511534587376}","{'Mean': -0.06704388071176508, 'Std': 0.012356484668883326}","{'Mean': -0.0596782978310753, 'Std': 0.012117233933080037}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -0.06421868137965463, 'Std': 0.009505622822279632}","{'Mean': -0.06084555510766491, 'Std': 0.011454921760906147}","{'Mean': -0.068469733585562, 'Std': 0.01903318367756639}","{'Mean': -0.059453076258469184, 'Std': 0.011742185359168327}"
"measuring CO,measuring O3 1,measuring SO2 1,","{'Mean': -0.09432498579602375, 'Std': 0.047177270630998046}","{'Mean': -0.060831457710109484, 'Std': 0.010767598252120671}","{'Mean': -0.06258560519097157, 'Std': 0.01042438940601439}","{'Mean': -0.058731506564953885, 'Std': 0.011410741017180552}"
"measuring CO,measuring O3 1,measuring SO2 2,","{'Mean': -0.07506802943045839, 'Std': 0.019042412893126495}","{'Mean': -0.06184263771778524, 'Std': 0.010450416705899763}","{'Mean': -0.06283675376928224, 'Std': 0.010071206874373323}","{'Mean': -0.05996313075815244, 'Std': 0.011450397165095598}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -0.061132474225529435, 'Std': 0.011299836517648596}","{'Mean': -0.061016058374310914, 'Std': 0.011386735577512724}","{'Mean': -0.061592176153643395, 'Std': 0.011585332335755006}","{'Mean': -0.05896222773263402, 'Std': 0.011590637911015528}"
"measuring CO,measuring O3 1,temperature,","{'Mean': -0.06127137836048361, 'Std': 0.010722223103981316}","{'Mean': -0.06136833199951256, 'Std': 0.011038078293300899}","{'Mean': -0.06392729667819515, 'Std': 0.011323767583501213}","{'Mean': -0.059718705213444426, 'Std': 0.01163932656311554}"
"measuring CO,measuring O3 2,measuring SO2 1,","{'Mean': -0.06983360480523049, 'Std': 0.019944967397227897}","{'Mean': -0.060506435473613195, 'Std': 0.01249246815172577}","{'Mean': -0.06966765816755531, 'Std': 0.0202069758257412}","{'Mean': -0.06067112770410186, 'Std': 0.01246951638080493}"
"measuring CO,measuring O3 2,measuring SO2 2,","{'Mean': -0.06645886391316966, 'Std': 0.007929693616671623}","{'Mean': -0.06094377590441532, 'Std': 0.011827737319170114}","{'Mean': -0.0639326750376584, 'Std': 0.018200291602534325}","{'Mean': -0.06034330067752823, 'Std': 0.012365386100728123}"
