,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,","{'Mean': 1645.8271935026414, 'Std': 199.3413591924389}","{'Mean': 1629.6447590382425, 'Std': 193.34295969092656}","{'Mean': 1596.7314239894301, 'Std': 194.22928570117472}","{'Mean': 1622.587401107442, 'Std': 209.48519375086963}"
"measuring CO,measuring NO2,","{'Mean': 1552.8713391077144, 'Std': 175.70953110134977}","{'Mean': 1505.2377024706936, 'Std': 190.8764002584231}","{'Mean': 1541.3703197124298, 'Std': 186.98047640071906}","{'Mean': 1564.1317994946069, 'Std': 180.2601172607244}"
"measuring NO2,measuring O3 1,","{'Mean': 1641.0927481169485, 'Std': 193.31224367792709}","{'Mean': 1631.3392894756937, 'Std': 196.00917183147067}","{'Mean': 1590.5005016041716, 'Std': 205.3152741024695}","{'Mean': 1630.6371794087554, 'Std': 197.86245845852685}"
"measuring NO2,measuring O3 2,","{'Mean': 1684.5049863137203, 'Std': 172.74474297898848}","{'Mean': 1638.4100530648163, 'Std': 186.2642795466808}","{'Mean': 1655.5580106666202, 'Std': 184.33848951497802}","{'Mean': 1698.578988828881, 'Std': 150.99703039327338}"
"measuring NO2,measuring PM10,","{'Mean': 1642.9466681311967, 'Std': 206.89215548388563}","{'Mean': 1632.4339440783654, 'Std': 199.6162609414739}","{'Mean': 1623.9301239931908, 'Std': 183.3989729803975}","{'Mean': 1654.4108734638519, 'Std': 199.20545494101884}"
"measuring NO2,temperature,","{'Mean': 1678.3287959384852, 'Std': 167.96212859210382}","{'Mean': 1651.4094121037294, 'Std': 177.509122457276}","{'Mean': 1683.7344322046283, 'Std': 167.7587014524743}","{'Mean': 1710.0027469724098, 'Std': 151.06586738774192}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': 1760.4464371391357, 'Std': 245.01444068981738}","{'Mean': 1525.5564813938727, 'Std': 176.5412785498011}","{'Mean': 1563.3563961125399, 'Std': 213.31322456194977}","{'Mean': 1579.0799510732752, 'Std': 195.1531868487547}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': 1595.66696509966, 'Std': 158.42287138024022}","{'Mean': 1510.7995027475006, 'Std': 187.84787145993374}","{'Mean': 1578.8360550240766, 'Std': 159.2327524669349}","{'Mean': 1590.832181516311, 'Std': 138.7136200782167}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': 1573.9276977237848, 'Std': 152.34491989680444}","{'Mean': 1507.7864790910473, 'Std': 197.44842808959393}","{'Mean': 1595.1832571282102, 'Std': 162.18675164466362}","{'Mean': 1584.081092588618, 'Std': 159.87383938373924}"
"measuring CO,measuring NO2,temperature,","{'Mean': 1577.7231419262846, 'Std': 125.48764592295151}","{'Mean': 1511.0340067376358, 'Std': 189.23257575397975}","{'Mean': 1591.5793697920963, 'Std': 155.23305613013218}","{'Mean': 1612.8653223304063, 'Std': 136.82069239426164}"
"measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': 1726.1206863242821, 'Std': 143.91565604578426}","{'Mean': 1642.8057016466798, 'Std': 186.66444821096556}","{'Mean': 1678.6330505713659, 'Std': 185.32279287136183}","{'Mean': 1722.9794234051667, 'Std': 155.38130556215714}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 1658.509921507078, 'Std': 206.9713809729635}","{'Mean': 1635.9063756395844, 'Std': 199.98556251946272}","{'Mean': 1680.5572493122163, 'Std': 143.6201791913535}","{'Mean': 1654.5711775685365, 'Std': 196.32813674637742}"
"measuring NO2,measuring O3 1,temperature,","{'Mean': 1751.7739544098604, 'Std': 164.8739248817834}","{'Mean': 1658.704710381272, 'Std': 175.09723523821683}","{'Mean': 1725.6947544678953, 'Std': 169.69672704387682}","{'Mean': 1747.8658750840866, 'Std': 149.0839498056907}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 1766.2285846427283, 'Std': 126.98206267474654}","{'Mean': 1642.9951878979634, 'Std': 191.34049953860077}","{'Mean': 1699.7766554251275, 'Std': 164.95332924205525}","{'Mean': 1713.0140523169546, 'Std': 160.4228639930453}"
"measuring NO2,measuring O3 2,temperature,","{'Mean': 1758.756889052445, 'Std': 125.40840093362517}","{'Mean': 1667.503920866584, 'Std': 166.6234185842752}","{'Mean': 1698.7145524738146, 'Std': 180.10271568702225}","{'Mean': 1753.198907789221, 'Std': 145.87635389165214}"
"measuring NO2,measuring PM10,temperature,","{'Mean': 1776.409167276772, 'Std': 146.04278864584577}","{'Mean': 1657.4393965499746, 'Std': 181.56681423706928}","{'Mean': 1691.648231583212, 'Std': 170.67474205034225}","{'Mean': 1719.72457611484, 'Std': 155.10921636400084}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': 1596.933990032172, 'Std': 133.10101727036346}","{'Mean': 1530.9762789300012, 'Std': 173.93531120671594}","{'Mean': 1571.3552104373503, 'Std': 198.14669920538384}","{'Mean': 1603.2751312695425, 'Std': 188.69218584807442}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 1617.9539531268329, 'Std': 189.6878869150154}","{'Mean': 1526.7779182054437, 'Std': 182.9419339492208}","{'Mean': 1611.5936027728178, 'Std': 192.96146571581258}","{'Mean': 1589.2137326195061, 'Std': 173.94824514844126}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': 1643.728037294175, 'Std': 125.53346904330532}","{'Mean': 1530.3620053422355, 'Std': 175.2857149926948}","{'Mean': 1584.6061263974982, 'Std': 200.63221242530943}","{'Mean': 1622.3176327832325, 'Std': 180.96330750342918}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 1711.672049715242, 'Std': 146.01969883678592}","{'Mean': 1512.9575288688477, 'Std': 194.5160683552943}","{'Mean': 1598.6039582794672, 'Std': 158.6542197522259}","{'Mean': 1598.549538434403, 'Std': 150.03141355468742}"
