,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,","{'Mean': 1653.5882594754428, 'Std': 199.3413591924389}","{'Mean': 1637.405825011044, 'Std': 193.3429596909266}","{'Mean': 1604.4924899622313, 'Std': 194.22928570117472}","{'Mean': 1630.3484670802434, 'Std': 209.48519375086963}"
"measuring CO,measuring NO2,","{'Mean': 1564.5129380669168, 'Std': 175.70953110134977}","{'Mean': 1516.8793014298953, 'Std': 190.8764002584231}","{'Mean': 1553.011918671632, 'Std': 186.98047640071906}","{'Mean': 1575.7733984538092, 'Std': 180.2601172607244}"
"measuring NO2,measuring O3 1,","{'Mean': 1652.734347076151, 'Std': 193.31224367792706}","{'Mean': 1642.980888434896, 'Std': 196.00917183147067}","{'Mean': 1602.1421005633738, 'Std': 205.3152741024695}","{'Mean': 1642.278778367957, 'Std': 197.86245845852682}"
"measuring NO2,measuring O3 2,","{'Mean': 1696.1465852729227, 'Std': 172.74474297898848}","{'Mean': 1650.051652024018, 'Std': 186.2642795466808}","{'Mean': 1667.1996096258224, 'Std': 184.33848951497802}","{'Mean': 1710.220587788083, 'Std': 150.99703039327338}"
"measuring NO2,measuring PM10,","{'Mean': 1654.5882670903986, 'Std': 206.8921554838856}","{'Mean': 1644.0755430375675, 'Std': 199.6162609414739}","{'Mean': 1635.5717229523932, 'Std': 183.3989729803975}","{'Mean': 1666.0524724230538, 'Std': 199.20545494101887}"
"measuring NO2,temperature,","{'Mean': 1689.9703948976876, 'Std': 167.9621285921038}","{'Mean': 1663.0510110629314, 'Std': 177.509122457276}","{'Mean': 1695.3760311638307, 'Std': 167.7587014524743}","{'Mean': 1721.6443459316117, 'Std': 151.06586738774192}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': 1775.9685690847382, 'Std': 245.01444068981738}","{'Mean': 1541.0786133394756, 'Std': 176.5412785498011}","{'Mean': 1578.8785280581426, 'Std': 213.31322456194977}","{'Mean': 1594.602083018878, 'Std': 195.1531868487547}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': 1611.189097045263, 'Std': 158.42287138024022}","{'Mean': 1526.321634693103, 'Std': 187.84787145993374}","{'Mean': 1594.358186969679, 'Std': 159.2327524669349}","{'Mean': 1606.354313461914, 'Std': 138.7136200782167}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': 1589.4498296693873, 'Std': 152.34491989680444}","{'Mean': 1523.3086110366503, 'Std': 197.44842808959393}","{'Mean': 1610.7053890738127, 'Std': 162.18675164466362}","{'Mean': 1599.603224534221, 'Std': 159.87383938373924}"
"measuring CO,measuring NO2,temperature,","{'Mean': 1593.2452738718875, 'Std': 125.48764592295151}","{'Mean': 1526.5561386832385, 'Std': 189.23257575397975}","{'Mean': 1607.1015017376992, 'Std': 155.23305613013218}","{'Mean': 1628.3874542760093, 'Std': 136.82069239426164}"
"measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': 1741.6428182698849, 'Std': 143.91565604578426}","{'Mean': 1658.3278335922823, 'Std': 186.66444821096556}","{'Mean': 1694.1551825169684, 'Std': 185.3227928713618}","{'Mean': 1738.5015553507692, 'Std': 155.38130556215714}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 1674.0320534526807, 'Std': 206.9713809729635}","{'Mean': 1651.428507585187, 'Std': 199.98556251946272}","{'Mean': 1696.0793812578188, 'Std': 143.6201791913535}","{'Mean': 1670.093309514139, 'Std': 196.3281367463774}"
"measuring NO2,measuring O3 1,temperature,","{'Mean': 1767.2960863554629, 'Std': 164.8739248817834}","{'Mean': 1674.226842326875, 'Std': 175.09723523821685}","{'Mean': 1741.2168864134983, 'Std': 169.6967270438768}","{'Mean': 1763.388007029689, 'Std': 149.0839498056907}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 1781.7507165883308, 'Std': 126.98206267474654}","{'Mean': 1658.5173198435662, 'Std': 191.34049953860077}","{'Mean': 1715.29878737073, 'Std': 164.95332924205525}","{'Mean': 1728.5361842625573, 'Std': 160.4228639930453}"
"measuring NO2,measuring O3 2,temperature,","{'Mean': 1774.2790209980476, 'Std': 125.40840093362519}","{'Mean': 1683.0260528121864, 'Std': 166.6234185842752}","{'Mean': 1714.2366844194173, 'Std': 180.10271568702225}","{'Mean': 1768.7210397348238, 'Std': 145.87635389165214}"
"measuring NO2,measuring PM10,temperature,","{'Mean': 1791.9312992223747, 'Std': 146.04278864584577}","{'Mean': 1672.961528495577, 'Std': 181.56681423706928}","{'Mean': 1707.170363528815, 'Std': 170.67474205034227}","{'Mean': 1735.2467080604426, 'Std': 155.10921636400084}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': 1616.3366549641753, 'Std': 133.10101727036346}","{'Mean': 1550.3789438620045, 'Std': 173.9353112067159}","{'Mean': 1590.757875369354, 'Std': 198.14669920538387}","{'Mean': 1622.6777962015458, 'Std': 188.69218584807442}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 1637.3566180588361, 'Std': 189.6878869150154}","{'Mean': 1546.180583137447, 'Std': 182.9419339492208}","{'Mean': 1630.9962677048213, 'Std': 192.96146571581258}","{'Mean': 1608.6163975515099, 'Std': 173.94824514844126}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': 1663.1307022261788, 'Std': 125.53346904330533}","{'Mean': 1549.7646702742393, 'Std': 175.28571499269478}","{'Mean': 1604.008791329502, 'Std': 200.63221242530943}","{'Mean': 1641.7202977152363, 'Std': 180.96330750342918}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 1731.0747146472459, 'Std': 146.01969883678592}","{'Mean': 1532.3601938008512, 'Std': 194.5160683552943}","{'Mean': 1618.0066232114707, 'Std': 158.6542197522259}","{'Mean': 1617.9522033664064, 'Std': 150.03141355468742}"
