,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,","{'Mean': -7.349040201948938, 'Std': 1.6886200137733303}","{'Mean': -7.26933740575659, 'Std': 1.707185977302484}","{'Mean': -8.360394405594404, 'Std': 3.828270915431465}","{'Mean': -7.302214563781692, 'Std': 1.6803505120095334}"
"measuring CO,measuring NO2,","{'Mean': -7.409667486368015, 'Std': 1.712290641085977}","{'Mean': -7.590332499396226, 'Std': 2.427460495360058}","{'Mean': -7.896166433566433, 'Std': 2.2930824276098742}","{'Mean': -7.191886726361872, 'Std': 1.7103192414307942}"
"measuring NO2,measuring O3 1,","{'Mean': -7.3175187372805555, 'Std': 1.5941332256324336}","{'Mean': -7.278086898045731, 'Std': 1.791212017540104}","{'Mean': -8.454285314685313, 'Std': 3.630943337605767}","{'Mean': -7.3793467171517815, 'Std': 1.7541782518720235}"
"measuring NO2,measuring O3 2,","{'Mean': -7.713786942954829, 'Std': 1.4755971499752965}","{'Mean': -7.407445030692483, 'Std': 1.591376627405653}","{'Mean': -8.69149230769231, 'Std': 1.4570007089775805}","{'Mean': -7.399235524338967, 'Std': 1.5344188030916364}"
"measuring NO2,measuring SO2 1,","{'Mean': -7.947798683910006, 'Std': 1.1963574514950117}","{'Mean': -7.271765940556932, 'Std': 1.699393797419723}","{'Mean': -8.606805594405595, 'Std': 3.583869987664395}","{'Mean': -7.337819662810079, 'Std': 1.7169970435828514}"
"measuring NO2,measuring SO2 2,","{'Mean': -7.530869651005133, 'Std': 1.3445365074232156}","{'Mean': -7.44875674615122, 'Std': 1.676600366942926}","{'Mean': -9.016173426573427, 'Std': 2.4910252366658394}","{'Mean': -7.4797279590562145, 'Std': 1.535789667685812}"
"measuring NO2,measuring PM10,","{'Mean': -7.290196306117406, 'Std': 1.6844438195936546}","{'Mean': -7.290667461253328, 'Std': 1.7712952989697774}","{'Mean': -8.180876923076925, 'Std': 1.6768290669659782}","{'Mean': -7.425246928640267, 'Std': 1.8001850896010703}"
"measuring NO2,temperature,","{'Mean': -7.794875459813781, 'Std': 1.7332999309176322}","{'Mean': -7.4650542915673315, 'Std': 1.5708035394322593}","{'Mean': -8.294460139860139, 'Std': 1.1925112246057878}","{'Mean': -7.682925188887985, 'Std': 1.494627780425447}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -7.264985963210059, 'Std': 1.9642946547649194}","{'Mean': -7.758630109259596, 'Std': 2.585827247361207}","{'Mean': -8.302611188811188, 'Std': 3.1147802373602107}","{'Mean': -7.246996557008496, 'Std': 1.7459814563936515}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -7.980080490116149, 'Std': 1.9421170883539864}","{'Mean': -7.784268122737927, 'Std': 2.4086284672394482}","{'Mean': -8.688497902097902, 'Std': 1.434293456407835}","{'Mean': -7.190603580014674, 'Std': 1.6882415739189578}"
"measuring CO,measuring NO2,measuring SO2 1,","{'Mean': -7.948837094691586, 'Std': 1.2244397623841043}","{'Mean': -7.605700029515634, 'Std': 2.4354889540723828}","{'Mean': -8.264344055944056, 'Std': 2.3380505503866122}","{'Mean': -7.19205439525763, 'Std': 1.7079207282234554}"
