,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,","{'Mean': -114.96166793845022, 'Std': 65.44148207049228}","{'Mean': -109.6812683988689, 'Std': 64.30456354295862}","{'Mean': -100.20402162541473, 'Std': 59.059462323578614}","{'Mean': -110.30991347533099, 'Std': 69.0190773963973}"
"measuring CO,measuring NO2,","{'Mean': -85.67542997089542, 'Std': 45.94455290645529}","{'Mean': -76.76297147958861, 'Std': 44.52510871185359}","{'Mean': -84.41891770110698, 'Std': 48.12766657725173}","{'Mean': -89.01191451852975, 'Std': 48.901804348139414}"
"measuring NO2,measuring O3 1,","{'Mean': -111.9297028252084, 'Std': 62.62643040698685}","{'Mean': -110.02979587228113, 'Std': 65.20780133565513}","{'Mean': -99.66038958950122, 'Std': 61.520016519850614}","{'Mean': -110.06879285183918, 'Std': 65.48039192655395}"
"measuring NO2,measuring O3 2,","{'Mean': -122.27715640718712, 'Std': 59.68152610065151}","{'Mean': -110.58512253920713, 'Std': 62.84214445784308}","{'Mean': -115.59190340900211, 'Std': 64.71233147102036}","{'Mean': -123.9456629083523, 'Std': 54.54364027961198}"
"measuring NO2,measuring PM10,","{'Mean': -115.63053724353614, 'Std': 71.63593196196423}","{'Mean': -111.08952367100511, 'Std': 67.24546729237922}","{'Mean': -105.47429887468451, 'Std': 57.87689059208713}","{'Mean': -117.88269544346853, 'Std': 70.56238447079075}"
"measuring NO2,temperature,","{'Mean': -120.18611297136692, 'Std': 61.221335096705765}","{'Mean': -112.98618303123304, 'Std': 60.52903274654773}","{'Mean': -121.97189412401572, 'Std': 62.01676919678825}","{'Mean': -128.3626465750755, 'Std': 58.85018175737755}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -167.1024852477503, 'Std': 106.50656292190283}","{'Mean': -79.03439953362398, 'Std': 42.56587103310701}","{'Mean': -93.36526570892049, 'Std': 60.52601457330098}","{'Mean': -94.51032809599707, 'Std': 56.14396636672108}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -93.6154746957087, 'Std': 44.86023669407455}","{'Mean': -77.17099094452315, 'Std': 44.1380582479635}","{'Mean': -89.31764365235556, 'Std': 42.48956406465193}","{'Mean': -90.10375217078088, 'Std': 37.69127593963516}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -87.41027482995555, 'Std': 40.31518816501695}","{'Mean': -77.70839965325304, 'Std': 46.5534358118444}","{'Mean': -93.69508826480364, 'Std': 44.480533612839935}","{'Mean': -90.87617926167677, 'Std': 44.30712946100788}"
"measuring CO,measuring NO2,temperature,","{'Mean': -85.56643766841508, 'Std': 32.056456857652975}","{'Mean': -77.35331466515579, 'Std': 44.38837694450331}","{'Mean': -92.18240261476042, 'Std': 43.385437914504244}","{'Mean': -95.51198346333429, 'Std': 38.71141323732393}"
"measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -132.36920049764865, 'Std': 57.94584433922824}","{'Mean': -111.39042974633348, 'Std': 63.398447788661684}","{'Mean': -122.8509175587182, 'Std': 69.41312945960095}","{'Mean': -132.9479921319348, 'Std': 61.83541465665148}"
