,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,","{'Mean': -0.3520904427048744, 'Std': 0.250627852082379}","{'Mean': -0.28038955628085893, 'Std': 0.0847539534180358}","{'Mean': -0.14949461855807158, 'Std': 0.06494858852120909}","{'Mean': -0.2696282076494825, 'Std': 0.1632699970769375}"
"measuring CO,measuring NO2,","{'Mean': -0.034424836597457764, 'Std': 0.018987679961404266}","{'Mean': 0.09963858749649131, 'Std': 0.039509528911829066}","{'Mean': -7.51275259657606e-05, 'Std': 0.03195323899341277}","{'Mean': -0.06625299333752555, 'Std': 0.027947201825349748}"
"measuring NO2,measuring O3 1,","{'Mean': -0.273387281964439, 'Std': 0.1722228855651756}","{'Mean': -0.28149613646597643, 'Std': 0.1022171665329133}","{'Mean': -0.16235312745796562, 'Std': 0.12468838405843953}","{'Mean': -0.2834699106305712, 'Std': 0.1313034042547232}"
"measuring NO2,measuring O3 2,","{'Mean': -0.5032151516908971, 'Std': 0.3067280936308939}","{'Mean': -0.30196147014403224, 'Std': 0.020377813213240593}","{'Mean': -0.36698309914603516, 'Std': 0.07945441622253742}","{'Mean': -0.5569602797222774, 'Std': 0.30148503639542196}"
"measuring NO2,measuring PM10,","{'Mean': -0.3383018542661799, 'Std': 0.1534361418924824}","{'Mean': -0.28407012931965997, 'Std': 0.09434914615590204}","{'Mean': -0.5627171934318942, 'Std': 0.32588332791704544}","{'Mean': -0.35735314383744515, 'Std': 0.1333027271259846}"
"measuring NO2,temperature,","{'Mean': -0.46479029714820647, 'Std': 0.08585301556292595}","{'Mean': -0.3528335303572861, 'Std': 0.09317766708204876}","{'Mean': -0.4711786763133281, 'Std': 0.10050159701512383}","{'Mean': -0.6327247662264224, 'Std': 0.18036435827628125}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -0.07998878018132209, 'Std': 0.11364191182139531}","{'Mean': 0.052833165120771075, 'Std': 0.015232881560131894}","{'Mean': -0.06457964941946948, 'Std': 0.08739690898656065}","{'Mean': -0.11848929945921631, 'Std': 0.06549091526829087}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -0.1251072938278883, 'Std': 0.12498540023849793}","{'Mean': 0.0909424763000306, 'Std': 0.02682074728760267}","{'Mean': -0.10632955636425634, 'Std': 0.12139028767252626}","{'Mean': -0.16600014827688678, 'Std': 0.15041802494729606}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -0.11520971892620846, 'Std': 0.0977810542277885}","{'Mean': 0.09808173376661893, 'Std': 0.053563486024778485}","{'Mean': -0.13356586920551403, 'Std': 0.15597432447459467}","{'Mean': -0.1288013745129999, 'Std': 0.07820866748678244}"
"measuring CO,measuring NO2,temperature,","{'Mean': -0.12759870659806996, 'Std': 0.16946397404342756}","{'Mean': 0.08943829003311747, 'Std': 0.046982025295660604}","{'Mean': -0.1425621621714832, 'Std': 0.09945886421633597}","{'Mean': -0.20156772043970986, 'Std': 0.17516995720770628}"
"measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -0.6706786370490443, 'Std': 0.19478607874057693}","{'Mean': -0.3119262607249284, 'Std': 0.03597516374678058}","{'Mean': -0.4508701569433223, 'Std': 0.03139470079984165}","{'Mean': -0.6378019940916315, 'Std': 0.16647148703000325}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -0.3154310985446151, 'Std': 0.05951884815911846}","{'Mean': -0.29132580103921407, 'Std': 0.11144712020875783}","{'Mean': -0.5692743256336055, 'Std': 0.22971221470779976}","{'Mean': -0.3714344643800915, 'Std': 0.1062901854576008}"
"measuring NO2,measuring O3 1,temperature,","{'Mean': -0.8246957698884625, 'Std': 0.5004697150930322}","{'Mean': -0.3728003690356547, 'Std': 0.0782626895416571}","{'Mean': -0.7095139691273298, 'Std': 0.4216123573107755}","{'Mean': -0.933868354731194, 'Std': 0.5112108375606882}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -0.7395628641896357, 'Std': 0.22101603080754756}","{'Mean': -0.3118989949752256, 'Std': 0.03627410044838863}","{'Mean': -0.4964515421596087, 'Std': 0.052933181254074674}","{'Mean': -0.6560752146179151, 'Std': 0.2328993304280173}"
"measuring NO2,measuring O3 2,temperature,","{'Mean': -0.7946017553190009, 'Std': 0.2841050969330301}","{'Mean': -0.4076566715399297, 'Std': 0.09654855809897067}","{'Mean': -0.551322460601206, 'Std': 0.04389334831662293}","{'Mean': -0.8031397330887832, 'Std': 0.31253297021551457}"
"measuring NO2,measuring PM10,temperature,","{'Mean': -0.694478214371174, 'Std': 0.18781266335662325}","{'Mean': -0.36918487856399934, 'Std': 0.10163028173501477}","{'Mean': -0.5213969818047285, 'Std': 0.12243769092515398}","{'Mean': -0.6529605309598505, 'Std': 0.13567896912901836}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -0.24164491157824342, 'Std': 0.20494626543424124}","{'Mean': 0.04346498967814153, 'Std': 0.0206751250170227}","{'Mean': -0.06752851239395434, 'Std': 0.07277667781018225}","{'Mean': -0.21730716925119667, 'Std': 0.10135749904767605}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -0.1596260393242496, 'Std': 0.05665597849873019}","{'Mean': 0.055970783006911086, 'Std': 0.016890793822141845}","{'Mean': -0.2111267772213173, 'Std': 0.13031407225390482}","{'Mean': -0.1397960596265372, 'Std': 0.02501963220511289}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': -0.2627079697293567, 'Std': 0.22079832123109483}","{'Mean': 0.045040314385333846, 'Std': 0.02373499117430284}","{'Mean': -0.11179140735990978, 'Std': 0.0761537669313164}","{'Mean': -0.24499748687730571, 'Std': 0.08909997088037569}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -0.44790835803031664, 'Std': 0.3912862161346942}","{'Mean': 0.09057274682299395, 'Std': 0.042461647666106404}","{'Mean': -0.1690706279547888, 'Std': 0.13448236769809502}","{'Mean': -0.1429308491792809, 'Std': 0.09480700573780225}"
