,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.01, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.36971746, -0.64985229, -0.03670158]), 'Test RMSE': array([-14.35591702,  -9.14814173,  -7.31332598]), 'Test MAE': array([-9.19749807, -6.47756105, -5.65542643]), 'Test MSE': array([-206.09235352,  -83.68849717,  -53.48473685]), 'AIC': array([1911.54013033, 1588.90235089, 1428.6238828 ]), 'BIC': array([1919.30119631, 1596.66341686, 1436.38494878])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.33272178, -0.34760895, -0.16083794]), 'Test RMSE': array([-14.16071532,  -8.26784442,  -7.738804  ]), 'Test MAE': array([-9.0676087 , -6.6143924 , -6.21503772]), 'Test MSE': array([-200.52585844,  -68.35725141,  -59.8890873 ]), 'AIC': array([1901.73766854, 1516.45965865, 1469.11296176]), 'BIC': array([1909.49873451, 1524.22072462, 1476.87402773])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.22076409, -0.16403932, -0.06368045]), 'Test RMSE': array([-13.55287137,  -7.68412071,  -7.40787488]), 'Test MAE': array([-8.57676625, -5.40384277, -5.49878782]), 'Test MSE': array([-183.68032227,  -59.04571105,  -54.8766103 ]), 'AIC': array([1870.32447862, 1464.03566288, 1437.82122325]), 'BIC': array([1878.08554459, 1471.79672886, 1445.58228922])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.38741855, -0.38272058, -0.0387455 ]), 'Test RMSE': array([-14.44838124,  -8.37486019,  -7.32053173]), 'Test MAE': array([-9.2810821 , -6.24396944, -5.6665431 ]), 'Test MSE': array([-208.75572057,  -70.13828323,  -53.5901848 ]), 'AIC': array([1916.13698669, 1525.66781897, 1429.32900364]), 'BIC': array([1923.89805266, 1533.42888494, 1437.09006961])}"
"measuring CO,measuring NO2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.001, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.001, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.01726186, -0.06089129, -0.02512136]), 'Test RMSE': array([-12.37176964,  -7.33577151,  -7.27236539]), 'Test MAE': array([-9.06808918, -5.4110098 , -5.43983838]), 'Test MSE': array([-153.06068399,  -53.81354364,  -52.88729835]), 'AIC': array([1807.03874031, 1432.81801301, 1426.60242678]), 'BIC': array([1818.68033927, 1444.45961197, 1438.24402574])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([0.06872268, 0.1554036 , 0.07478948]), 'Test RMSE': array([-11.8373628 ,  -6.5453815 ,  -6.90889084]), 'Test MAE': array([-9.22109532, -5.01954716, -5.27713159]), 'Test MSE': array([-140.12315805,  -42.84201902,  -47.73277267]), 'AIC': array([1775.42278159, 1351.19193578, 1389.89132281]), 'BIC': array([1787.06438055, 1362.83353474, 1401.53292177])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=17))]), 'Best Parameters': {'knn_regressor__n_neighbors': 17}, 'Test R2': array([-0.01022288, -0.0331363 ,  0.04313379]), 'Test RMSE': array([-12.32889189,  -7.23917645,  -7.0260892 ]), 'Test MAE': array([-8.69853989, -5.42899988, -5.30926965]), 'Test MSE': array([-152.00157523,  -52.40567566,  -49.36592951]), 'AIC': array([1804.55293651, 1423.32733404, 1401.93525909]), 'BIC': array([1816.19453547, 1434.968933  , 1413.57685805])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.0758541 , -0.09465535, -0.02824953]), 'Test RMSE': array([-12.72307634,  -7.45159178,  -7.28345281]), 'Test MAE': array([-9.48651227, -5.58138704, -5.39568969]), 'Test MSE': array([-161.87667157,  -55.52622013,  -53.04868486]), 'AIC': array([1827.08684362, 1444.03421312, 1427.69320655]), 'BIC': array([1838.72844258, 1455.67581208, 1439.33480551])}"
"measuring NO2,measuring O3 1,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.39369591, -0.39663269, -0.02983324]), 'Test RMSE': array([-14.48103014,  -8.41688618,  -7.28905965]), 'Test MAE': array([-9.40823779, -6.15188019, -5.6385608 ]), 'Test MSE': array([-209.70023395,  -70.84397292,  -53.13039053]), 'AIC': array([1919.75310118, 1531.25180217, 1428.24417456]), 'BIC': array([1931.39470014, 1542.89340113, 1439.88577352])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.34483592, -0.36235881, -0.13729368]), 'Test RMSE': array([-14.22492855,  -8.31296793,  -7.6599223 ]), 'Test MAE': array([-9.18443439, -6.54369856, -6.18265881]), 'Test MSE': array([-202.34859227,  -69.10543586,  -58.67440958]), 'AIC': array([1906.97710534, 1522.35675512, 1463.77731713]), 'BIC': array([1918.6187043 , 1533.99835408, 1475.41891609])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.25389965, -0.24709889,  0.01393916]), 'Test RMSE': array([-13.73557468,  -7.95354604,  -7.13246924]), 'Test MAE': array([-8.77069666, -5.56101758, -5.39921138]), 'Test MSE': array([-188.66601165,  -63.25889462,  -50.87211743]), 'AIC': array([1881.91223775, 1490.71039639, 1412.69476369]), 'BIC': array([1893.55383671, 1502.35199535, 1424.33636265])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.33999779, -0.40838667, -0.10202528]), 'Test RMSE': array([-14.19931797,  -8.45222998,  -7.54021673]), 'Test MAE': array([-9.19125284, -6.25468291, -5.97647454]), 'Test MSE': array([-201.62063069,  -71.44019169,  -56.85486827]), 'AIC': array([1905.68685593, 1534.25210189, 1452.49966232]), 'BIC': array([1917.32845489, 1545.89370085, 1464.14126128])}"
"measuring NO2,measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.35101617, -0.93109552, -0.22753376]), 'Test RMSE': array([-14.25757675,  -9.89719737,  -7.95801536]), 'Test MAE': array([-9.20971235, -7.10064155, -6.39831321]), 'Test MSE': array([-203.27849483,  -97.95451584,  -63.33000851]), 'AIC': array([1908.61854257, 1647.25216238, 1491.112624  ]), 'BIC': array([1920.26014153, 1658.89376134, 1502.75422296])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.3257324 , -0.30418593, -0.27596608]), 'Test RMSE': array([-14.123534  ,  -8.13354939,  -8.11348832]), 'Test MAE': array([-9.07428686, -6.54998495, -6.59884433]), 'Test MSE': array([-199.47421257,  -66.15462562,  -65.82869266]), 'AIC': array([1901.85521844, 1506.73414355, 1504.96597708]), 'BIC': array([1913.4968174 , 1518.37574251, 1516.60757604])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.37648095, -0.45919731, -0.26527104]), 'Test RMSE': array([-14.39131726,  -8.60334547,  -8.07941347]), 'Test MAE': array([-9.31146855, -6.66333229, -6.51223424]), 'Test MSE': array([-207.11001236,  -74.01755329,  -65.27692206]), 'AIC': array([1915.30354037, 1546.94021325, 1501.95260441]), 'BIC': array([1926.94513933, 1558.58181221, 1513.59420337])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=2,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 2, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.32536647, -0.98277827, -0.36273611]), 'Test RMSE': array([-14.12158463, -10.02876437,  -8.38482364]), 'Test MAE': array([-9.23557266, -7.26903448, -6.66953213]), 'Test MSE': array([-199.41915247, -100.57611489,  -70.30526744]), 'AIC': array([1901.75638743, 1656.70749944, 1528.5191272 ]), 'BIC': array([1913.39798639, 1668.3490984 , 1540.16072616])}"
"measuring NO2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.43439321, -0.45874598, -0.12176638]), 'Test RMSE': array([-14.69093895,  -8.60201487,  -7.60745268]), 'Test MAE': array([-9.60546241, -6.24726004, -5.88633738]), 'Test MSE': array([-215.82368729,  -73.99465982,  -57.87333631]), 'AIC': array([1930.05732864, 1546.82946752, 1458.85592215]), 'BIC': array([1941.69892759, 1558.47106648, 1470.4975211 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.37046868, -0.32892828, -0.15281343]), 'Test RMSE': array([-14.35985322,  -8.21033968,  -7.71200965]), 'Test MAE': array([-9.24749404, -6.5498467 , -6.21754477]), 'Test MSE': array([-206.20538462,  -67.40967762,  -59.47509278]), 'AIC': array([1913.73642116, 1513.4623161 , 1468.6296266 ]), 'BIC': array([1925.37802012, 1525.10391506, 1480.27122556])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=15))]), 'Best Parameters': {'knn_regressor__n_neighbors': 15}, 'Test R2': array([-0.23905006, -0.44042121, -1.00868032]), 'Test RMSE': array([-13.65399911,  -8.54781484, -10.17989884]), 'Test MAE': array([-8.4327673 , -6.53325087, -7.93681793]), 'Test MSE': array([-186.4316917 ,  -73.06513858, -103.63034049]), 'AIC': array([1877.64723694, 1542.30378425, 1667.41719328]), 'BIC': array([1889.2888359 , 1553.94538321, 1679.05879224])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.44682105, -0.45632391, -0.16891447]), 'Test RMSE': array([-14.75444418,  -8.5948706 ,  -7.76567871]), 'Test MAE': array([-9.78024436, -6.31752536, -5.99942972]), 'Test MSE': array([-217.69362297,  -73.8718006 ,  -60.30576586]), 'AIC': array([1933.14574567, 1546.23455761, 1473.59512332]), 'BIC': array([1944.78734463, 1557.87615657, 1485.23672228])}"
"measuring NO2,temperature,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.38955965, -0.41987458, -0.58493666]), 'Test RMSE': array([-14.45952551,  -8.48663149,  -9.04261429]), 'Test MAE': array([-9.33579608, -6.56329339, -7.34688379]), 'Test MSE': array([-209.07787811,  -72.02291398,  -81.76887315]), 'AIC': array([1918.68903622, 1537.16038589, 1582.59499973]), 'BIC': array([1930.33063518, 1548.80198485, 1594.23659869])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.3183298 , -0.25994804, -0.48022275]), 'Test RMSE': array([-14.08404743,  -7.99441467,  -8.73879572]), 'Test MAE': array([-9.10344684, -6.35727143, -7.22044157]), 'Test MSE': array([-198.36039207,  -63.91066586,  -76.36655065]), 'AIC': array([1899.85062267, 1494.3800819 , 1558.1250318 ]), 'BIC': array([1911.49222163, 1506.02168086, 1569.76663076])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.38651031, -0.41464776, -0.61237796]), 'Test RMSE': array([-14.44365134,  -8.47099667,  -9.12055941]), 'Test MAE': array([-9.36971488, -6.62876205, -7.39742752]), 'Test MSE': array([-208.61906407,  -71.75778451,  -83.18460398]), 'AIC': array([1917.90255457, 1535.84009103, 1588.74029711]), 'BIC': array([1929.54415353, 1547.48168999, 1600.38189607])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=2,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 2, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.40476813, -0.6475881 , -0.84581807]), 'Test RMSE': array([-14.5384386 ,  -9.14186231,  -9.75848722]), 'Test MAE': array([-9.51431256, -7.07162682, -7.74047451]), 'Test MSE': array([-211.36619687,  -83.57364655,  -95.22807276]), 'AIC': array([1922.58599306, 1590.41070913, 1637.14637134]), 'BIC': array([1934.22759202, 1602.05230809, 1648.7879703 ])}"
"measuring CO,measuring NO2,measuring O3 1,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.2282705 , -0.05952403,  0.04782819]), 'Test RMSE': array([-13.59447545,  -7.33104285,  -7.00883297]), 'Test MAE': array([-11.04083816,  -5.32530464,  -5.23232807]), 'Test MSE': array([-184.80976289,  -53.74418934,  -49.12373966]), 'AIC': array([1876.51906145, 1434.35632897, 1402.17458421]), 'BIC': array([1892.0411934 , 1449.87846092, 1417.69671616])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([0.07183398, 0.05212411, 0.03454141]), 'Test RMSE': array([-11.81757255,  -6.93403599,  -7.05756484]), 'Test MAE': array([-9.25537945, -5.19208335, -5.34035409]), 'Test MSE': array([-139.65502088,  -48.08085509,  -49.80922142]), 'AIC': array([1776.22473774, 1394.49249881, 1407.13564865]), 'BIC': array([1791.74686969, 1410.01463075, 1422.6577806 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.188037  , -0.00795405,  0.00225211]), 'Test RMSE': array([-13.36996984,  -7.15040631,  -7.17461268]), 'Test MAE': array([-10.59150943,  -5.54268021,  -5.44799451]), 'Test MSE': array([-178.75609343,  -51.12831045,  -51.47506705]), 'AIC': array([1864.59597271, 1416.49313441, 1418.91292489]), 'BIC': array([1880.11810465, 1432.01526635, 1434.43505684])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.18782025, -0.13700751, -0.03064014]), 'Test RMSE': array([-13.36875014,  -7.59437467,  -7.29191465]), 'Test MAE': array([-10.99659876,  -5.5713817 ,  -5.39156804]), 'Test MSE': array([-178.72348039,  -57.67452667,  -53.17201925]), 'AIC': array([1864.53065167, 1459.62398382, 1430.52456485]), 'BIC': array([1880.05278362, 1475.14611576, 1446.0466968 ])}"
"measuring CO,measuring NO2,measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([ 0.03214713, -0.27362949, -0.13383952]), 'Test RMSE': array([-12.067578  ,  -8.03770211,  -7.64828118]), 'Test MAE': array([-8.54721388, -5.91266561, -6.05771187]), 'Test MSE': array([-145.62643873,  -64.60465528,  -58.496205  ]), 'AIC': array([1791.21400402, 1500.24655672, 1464.68835314]), 'BIC': array([1806.73613597, 1515.76868867, 1480.21048509])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([0.06936116, 0.12874635, 0.07471991]), 'Test RMSE': array([-11.83330422,  -6.64787214,  -6.90915059]), 'Test MAE': array([-9.24285602, -5.12731588, -5.27428407]), 'Test MSE': array([-140.02708886,  -44.19420398,  -47.73636184]), 'AIC': array([1777.17725067, 1364.31652628, 1391.91824082]), 'BIC': array([1792.69938262, 1379.83865823, 1407.44037277])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([ 0.00484714, -0.04863415, -0.27520166]), 'Test RMSE': array([-12.23658809,  -7.29327101,  -8.1110576 ]), 'Test MAE': array([-8.53795033, -5.85410095, -6.38241597]), 'Test MSE': array([-149.73408815,  -53.19180203,  -65.78925536]), 'AIC': array([1801.17222913, 1430.65773483, 1506.75143869]), 'BIC': array([1816.69436108, 1446.17986678, 1522.27357064])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=2))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 2, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([ 0.01936291, -0.1683004 , -0.34906296]), 'Test RMSE': array([-12.14701594,  -7.69817209,  -8.3426526 ]), 'Test MAE': array([-8.72223577, -6.00404811, -6.54257397]), 'Test MSE': array([-147.54999633,  -59.26185355,  -69.59985239]), 'AIC': array([1795.9118134 , 1469.34376356, 1526.90895584]), 'BIC': array([1811.43394535, 1484.8658955 , 1542.43108779])}"
"measuring CO,measuring NO2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([ 0.0108205 , -0.12894004, -0.22750961]), 'Test RMSE': array([-12.19980806,  -7.56738433,  -7.95793709]), 'Test MAE': array([-9.39806231, -5.49327788, -6.0555302 ]), 'Test MSE': array([-148.83531682,  -57.26530566,  -63.32876271]), 'AIC': array([1799.01687696, 1457.07479368, 1493.10558153]), 'BIC': array([1814.5390089 , 1472.59692563, 1508.62771347])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([0.04375141, 0.17096049, 0.0795333 ]), 'Test RMSE': array([-11.99501643,  -6.48482062,  -6.89115616]), 'Test MAE': array([-9.32289166, -4.93269075, -5.26940789]), 'Test MSE': array([-143.88041926,  -42.05289847,  -47.48803324]), 'AIC': array([1786.89574673, 1346.53633608, 1390.05103364]), 'BIC': array([1802.41787868, 1362.05846803, 1405.57316559])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=17))]), 'Best Parameters': {'knn_regressor__n_neighbors': 17}, 'Test R2': array([-0.04557674, -0.00238789, -0.35273298]), 'Test RMSE': array([-12.54276833,  -7.13063586,  -8.35399266]), 'Test MAE': array([-8.87402022, -5.3706351 , -6.50328843]), 'Test MSE': array([-157.32103739,  -50.84596773,  -69.78919334]), 'AIC': array([1818.86729793, 1414.51069426, 1527.88154451]), 'BIC': array([1834.38942988, 1430.03282621, 1543.40367646])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.01872801, -0.17446876, -0.19320736]), 'Test RMSE': array([-12.38068195,  -7.71846762,  -7.84595861]), 'Test MAE': array([-9.30219511, -5.62994916, -5.91641748]), 'Test MSE': array([-153.28128563,  -59.57474246,  -61.55906643]), 'AIC': array([1809.5543432 , 1471.22894861, 1482.95897744]), 'BIC': array([1825.07647514, 1486.75108055, 1498.48110938])}"
"measuring CO,measuring NO2,temperature,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([ 0.09887899, -0.30871942, -0.17295569]), 'Test RMSE': array([-11.64412884,  -8.14767367,  -7.77909103]), 'Test MAE': array([-8.47287443, -6.10643849, -6.28342347]), 'Test MSE': array([-135.58573642,  -66.38458622,  -60.51425726]), 'AIC': array([1765.63829691, 1509.97643216, 1476.83068004]), 'BIC': array([1781.16042886, 1525.4985641 , 1492.35281198])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([0.06639388, 0.15492977, 0.04699122]), 'Test RMSE': array([-11.85215407,  -6.54721729,  -7.01191272]), 'Test MAE': array([-9.21096114, -5.02105002, -5.2032549 ]), 'Test MSE': array([-140.47355599,  -42.86605429,  -49.16692004]), 'AIC': array([1778.31689417, 1353.39272503, 1402.48913251]), 'BIC': array([1793.83902611, 1368.91485697, 1418.01126445])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.02193325, -0.14023002, -0.26552322]), 'Test RMSE': array([-12.40014342,  -7.60512905,  -8.0802186 ]), 'Test MAE': array([-8.97025318, -6.03951459, -6.54332256]), 'Test MSE': array([-153.76355676,  -57.83798782,  -65.28993265]), 'AIC': array([1810.67895552, 1460.63719232, 1504.0239516 ]), 'BIC': array([1826.20108747, 1476.15932426, 1519.54608354])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=2))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 2, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.00342751, -0.17186627, -0.42940938]), 'Test RMSE': array([-12.28735612,  -7.70991128,  -8.58749238]), 'Test MAE': array([-9.03482776, -5.96684685, -6.82872147]), 'Test MSE': array([-150.97912036,  -59.44273196,  -73.7450253 ]), 'AIC': array([1804.13667543, 1470.43478322, 1547.61964711]), 'BIC': array([1819.65880737, 1485.95691517, 1563.14177906])}"
