,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,","{'Mean': -10.30552749678769, 'Std': 2.959353130568078}","{'Mean': -10.061716393108718, 'Std': 2.9057067339145215}","{'Mean': -9.613257523701135, 'Std': 2.790931996380111}","{'Mean': -10.028077248976025, 'Std': 3.1221114912668364}"
"measuring CO,measuring NO2,","{'Mean': -8.953318637237151, 'Std': 2.3480875944047077}","{'Mean': -8.425284469176907, 'Std': 2.4036541126033586}","{'Mean': -8.848240199356622, 'Std': 2.47539149945952}","{'Mean': -9.110427912069662, 'Std': 2.45194163419764}"
"measuring NO2,measuring O3 1,","{'Mean': -10.186831778887708, 'Std': 2.8562494873263247}","{'Mean': -10.06781639582256, 'Std': 2.944294294442655}","{'Mean': -9.54588992732162, 'Std': 2.921707563217251}","{'Mean': -10.06454703718446, 'Std': 2.9620408147324233}"
"measuring NO2,measuring O3 2,","{'Mean': -10.737912889640077, 'Std': 2.640905750247184}","{'Mean': -10.129778021811953, 'Std': 2.8236004972415336}","{'Mean': -10.366765148547724, 'Std': 2.8499269751799643}","{'Mean': -10.877530701584826, 'Std': 2.3717058722429876}"
"measuring NO2,measuring PM10,","{'Mean': -10.277472897292723, 'Std': 3.16292397773795}","{'Mean': -10.098933838875569, 'Std': 3.016796146414116}","{'Mean': -9.912832869304195, 'Std': 2.6851523941718667}","{'Mean': -10.410016040310191, 'Std': 3.08451965206141}"
"measuring NO2,temperature,","{'Mean': -10.637541762467006, 'Std': 2.6511918495531974}","{'Mean': -10.279387179222574, 'Std': 2.705620492764572}","{'Mean': -10.717310492150792, 'Std': 2.6666739468578275}","{'Mean': -11.05710952484668, 'Std': 2.47042011217127}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -12.249867838162103, 'Std': 4.128343880457638}","{'Mean': -8.596720926415104, 'Std': 2.265124466107899}","{'Mean': -9.199887788994685, 'Std': 2.9542055410595527}","{'Mean': -9.33099488523948, 'Std': 2.728161019373991}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -9.420614206130177, 'Std': 2.2062417535181815}","{'Mean': -8.457426267730165, 'Std': 2.3754856072876884}","{'Mean': -9.202886016985806, 'Std': 2.1504726482154255}","{'Mean': -9.300927722014642, 'Std': 1.8964429020248386}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -9.121232545512674, 'Std': 2.0526547884717274}","{'Mean': -8.454116272358922, 'Std': 2.4972620420550826}","{'Mean': -9.42236671468352, 'Std': 2.2167755318993687}","{'Mean': -9.27470465006491, 'Std': 2.2036408318374168}"
"measuring CO,measuring NO2,temperature,","{'Mean': -9.09912756594377, 'Std': 1.6650270889980376}","{'Mean': -8.46421718932715, 'Std': 2.3896321970241847}","{'Mean': -9.35758671317248, 'Std': 2.1489470724562514}","{'Mean': -9.585130706135606, 'Std': 1.907158307438229}"
