,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 1,","{'Mean': 2338.356853651709, 'Std': 336.9076076747862}","{'Mean': 2039.0435987439366, 'Std': 168.9475129539643}","{'Mean': 2005.460867749487, 'Std': 219.9970884826706}","{'Mean': 2050.067608618941, 'Std': 158.37962219126823}"
"measuring O3 2,","{'Mean': 1894.758276948135, 'Std': 109.56287544658856}","{'Mean': 1904.4177052413772, 'Std': 144.58535087517683}","{'Mean': 1908.1591260681882, 'Std': 109.62938232661709}","{'Mean': 1914.2577571876318, 'Std': 108.23966730279064}"
"measuring CO,measuring O3 1,","{'Mean': 2129.0852344715704, 'Std': 134.77995325620077}","{'Mean': 2132.697905411496, 'Std': 123.06895317051143}","{'Mean': 2046.9905323828182, 'Std': 192.64987369880146}","{'Mean': 2131.540603608463, 'Std': 96.16993961541009}"
"measuring CO,measuring O3 2,","{'Mean': 2019.1436508059066, 'Std': 139.1405088691086}","{'Mean': 1946.7924340159195, 'Std': 121.35750940671608}","{'Mean': 2088.452214168478, 'Std': 168.29518980544105}","{'Mean': 2004.1819111089742, 'Std': 122.14995022367043}"
"measuring NO2,measuring O3 1,","{'Mean': 2145.459682712179, 'Std': 188.11384822269542}","{'Mean': 2040.8247711380056, 'Std': 170.76474448165592}","{'Mean': 2039.9313495764036, 'Std': 191.93186950548647}","{'Mean': 2059.8354408017094, 'Std': 150.72682257056655}"
"measuring NO2,measuring O3 2,","{'Mean': 1870.542842964426, 'Std': 123.59707510443737}","{'Mean': 1907.3903314009933, 'Std': 146.36354990339166}","{'Mean': 1887.2586082593818, 'Std': 112.64918705946234}","{'Mean': 1906.5171081434426, 'Std': 104.27599566183692}"
"measuring O3 1,measuring O3 2,","{'Mean': 1827.0984066350172, 'Std': 133.76243547746577}","{'Mean': 1916.7298937744451, 'Std': 135.84620129331915}","{'Mean': 1872.8351235151233, 'Std': 136.80613445312392}","{'Mean': 1853.89613681912, 'Std': 120.12595099868405}"
"measuring O3 1,measuring PM10,","{'Mean': 2100.5681153142837, 'Std': 125.82787470743992}","{'Mean': 2033.9948122056592, 'Std': 176.9147407655709}","{'Mean': 2070.4294802201025, 'Std': 171.75032821303674}","{'Mean': 2098.6717481579276, 'Std': 135.33866493364823}"
"measuring O3 1,temperature,","{'Mean': 1735.890535568671, 'Std': 125.34386155744721}","{'Mean': 1833.9883434579071, 'Std': 113.23394194064446}","{'Mean': 1771.2380437894724, 'Std': 134.13057470756533}","{'Mean': 1770.5960346656186, 'Std': 113.71030848605264}"
"measuring O3 2,measuring PM10,","{'Mean': 1895.1134846746136, 'Std': 148.2006635667991}","{'Mean': 1892.181413800775, 'Std': 147.88337288460906}","{'Mean': 1885.678560531497, 'Std': 148.3713538740879}","{'Mean': 1887.2960805593227, 'Std': 107.2465179625441}"
"measuring O3 2,temperature,","{'Mean': 1910.0358457021791, 'Std': 197.17188700348925}","{'Mean': 1862.4131317661597, 'Std': 134.61967921284273}","{'Mean': 1826.9383078953686, 'Std': 153.76292851267806}","{'Mean': 1807.8029112197112, 'Std': 130.1858150977714}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': 2095.6404664070656, 'Std': 137.73134807784288}","{'Mean': 2134.8889584106196, 'Std': 123.98669693183108}","{'Mean': 2029.8169263528805, 'Std': 204.6470755518039}","{'Mean': 2126.8479608176763, 'Std': 97.47445687013867}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': 1991.2777839392354, 'Std': 110.97533985421938}","{'Mean': 1948.4133150415564, 'Std': 123.17979256960689}","{'Mean': 2044.9998065953014, 'Std': 138.26162929113252}","{'Mean': 1988.648943636649, 'Std': 131.1629278145257}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': 1940.3803629692031, 'Std': 74.415358114128}","{'Mean': 1909.4690347989138, 'Std': 153.1975849190575}","{'Mean': 1942.9201841474517, 'Std': 92.90527605472825}","{'Mean': 1880.1535533585682, 'Std': 101.37469712166927}"
