,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 1,","{'Mean': -15.448509466742683, 'Std': 1.9350919927301535}","{'Mean': -13.963635873112736, 'Std': 3.2117177843459284}","{'Mean': -12.856266006612287, 'Std': 4.667318763916166}","{'Mean': -14.362554129352892, 'Std': 2.731185663616256}"
"measuring O3 2,","{'Mean': -11.334221253349261, 'Std': 1.9228675936860204}","{'Mean': -11.50486561955677, 'Std': 2.7262090206347964}","{'Mean': -11.557411236192591, 'Std': 1.946284534414633}","{'Mean': -11.50432548408382, 'Std': 1.9368604751735983}"
"measuring CO,measuring O3 1,","{'Mean': -15.728973039465695, 'Std': 2.700482030153754}","{'Mean': -16.076098376669005, 'Std': 2.511517578178466}","{'Mean': -14.19665522504476, 'Std': 3.7890731964071507}","{'Mean': -15.875307971510848, 'Std': 1.6112897408155131}"
"measuring CO,measuring O3 2,","{'Mean': -13.530427070982773, 'Std': 2.781615850968248}","{'Mean': -12.325275382775901, 'Std': 2.268747515095583}","{'Mean': -15.468154014645691, 'Std': 4.068827416608762}","{'Mean': -13.382635505192303, 'Std': 2.6524438555630634}"
"measuring NO2,measuring O3 1,","{'Mean': -14.389893004430107, 'Std': 3.0752573333092212}","{'Mean': -13.966142608825685, 'Std': 3.258097771646706}","{'Mean': -13.607843838269062, 'Std': 3.9809588251636594}","{'Mean': -14.412189765735063, 'Std': 2.5841877927238235}"
"measuring NO2,measuring O3 2,","{'Mean': -10.73531039498792, 'Std': 2.126065159864486}","{'Mean': -11.54807930088937, 'Std': 2.760138281798576}","{'Mean': -11.028322939238587, 'Std': 1.9148636460615585}","{'Mean': -11.326524369393388, 'Std': 1.831548461706583}"
"measuring O3 1,measuring O3 2,","{'Mean': -10.170581360149379, 'Std': 2.1112263266591094}","{'Mean': -11.341966519423826, 'Std': 2.702713863539943}","{'Mean': -10.878825819636033, 'Std': 2.4670440596471988}","{'Mean': -10.478441880981896, 'Std': 2.0837061489871336}"
"measuring O3 1,measuring PM10,","{'Mean': -14.794824561503104, 'Std': 2.459608160182962}","{'Mean': -13.889480048631322, 'Std': 3.354230330295721}","{'Mean': -14.529299193576799, 'Std': 3.5377889734155534}","{'Mean': -15.007053399871856, 'Std': 2.4885759015203006}"
"measuring O3 1,temperature,","{'Mean': -8.845887219501703, 'Std': 1.8673289037756595}","{'Mean': -10.384082008787543, 'Std': 1.8451600914681416}","{'Mean': -9.318205739947972, 'Std': 2.0854845022120894}","{'Mean': -9.201841407890266, 'Std': 1.7356847402749147}"
"measuring O3 2,measuring PM10,","{'Mean': -11.397012838473453, 'Std': 2.3673388723608113}","{'Mean': -11.342571454333543, 'Std': 2.70813578055909}","{'Mean': -11.285358170521876, 'Std': 2.4409857392510754}","{'Mean': -11.130513509330603, 'Std': 1.7437447226683298}"
"measuring O3 2,temperature,","{'Mean': -11.762769691765442, 'Std': 3.3817211501725866}","{'Mean': -10.869966899736047, 'Std': 2.0995118246640563}","{'Mean': -10.246675074319358, 'Std': 2.406115737522543}","{'Mean': -9.943330508171401, 'Std': 2.0691873884233365}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -14.931758550445187, 'Std': 2.6908336490054285}","{'Mean': -16.0727242720947, 'Std': 2.545070294535684}","{'Mean': -13.76052018229909, 'Std': 4.049634550002046}","{'Mean': -15.610467675285605, 'Std': 1.5660701579564829}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -12.570878722972344, 'Std': 2.067801638549331}","{'Mean': -12.337676253205581, 'Std': 2.3004237028175734}","{'Mean': -14.113310083886802, 'Std': 2.973842589974911}","{'Mean': -13.02340487205467, 'Std': 2.80408073151178}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -11.8103339660129, 'Std': 1.7704244470907538}","{'Mean': -11.197642502890544, 'Std': 2.8650024957186075}","{'Mean': -12.146248725582799, 'Std': 1.6831001771574314}","{'Mean': -10.991415100888146, 'Std': 1.7028878988893261}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -16.430955959977222, 'Std': 1.6724105502657334}","{'Mean': -16.00604533250791, 'Std': 2.732563511118405}","{'Mean': -14.741872988468623, 'Std': 2.5591423251747125}","{'Mean': -15.850838087154917, 'Std': 1.41325121589002}"
"measuring CO,measuring O3 1,temperature,","{'Mean': -10.621868340169662, 'Std': 2.9285883306103675}","{'Mean': -9.066364398607584, 'Std': 1.6815821050191997}","{'Mean': -10.121943449077744, 'Std': 1.835257714153248}","{'Mean': -8.96901938630193, 'Std': 1.4400172412096994}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -13.78180211494304, 'Std': 2.5569135912981107}","{'Mean': -12.006821976578692, 'Std': 2.366686478025524}","{'Mean': -14.7879915998007, 'Std': 3.381999007665318}","{'Mean': -12.98793835346868, 'Std': 2.463892243260784}"
"measuring CO,measuring O3 2,temperature,","{'Mean': -12.344341136219853, 'Std': 3.977218205780798}","{'Mean': -9.86141054181086, 'Std': 1.8098582512597572}","{'Mean': -13.166339588386018, 'Std': 4.3169122865197975}","{'Mean': -10.845646445232688, 'Std': 2.9716752967014446}"
"measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -10.29255359875839, 'Std': 2.1846597257795928}","{'Mean': -11.369771148242181, 'Std': 2.744257338330698}","{'Mean': -10.892249291890062, 'Std': 2.4276499462477346}","{'Mean': -10.441143062666363, 'Std': 2.071146232488028}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -14.473087746163364, 'Std': 2.9214699974692464}","{'Mean': -13.921500809586973, 'Std': 3.4254873376997854}","{'Mean': -14.427401469707378, 'Std': 3.433047017016288}","{'Mean': -14.965881697093645, 'Std': 2.341606416831846}"
"measuring NO2,measuring O3 1,temperature,","{'Mean': -9.062047768554388, 'Std': 1.9820072459318088}","{'Mean': -10.419425705405258, 'Std': 1.8814643097078223}","{'Mean': -9.194026448175357, 'Std': 1.8088919589934793}","{'Mean': -9.173290828465587, 'Std': 1.720081668096498}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -13.985668015971205, 'Std': 3.785259222458853}","{'Mean': -11.381895249630437, 'Std': 2.7803557386809006}","{'Mean': -11.072599570549071, 'Std': 2.494145723852514}","{'Mean': -11.071940571961887, 'Std': 1.6443415841289701}"
"measuring NO2,measuring O3 2,temperature,","{'Mean': -9.793216516134883, 'Std': 2.6166480852201697}","{'Mean': -10.904838755971559, 'Std': 2.1354398065990137}","{'Mean': -9.872650509970155, 'Std': 2.2083675892328656}","{'Mean': -9.79206514070028, 'Std': 2.1649962946289554}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -10.782813661829513, 'Std': 2.4754101105948796}","{'Mean': -11.165145865218749, 'Std': 2.704430132076817}","{'Mean': -10.990279445756693, 'Std': 2.8532093307567004}","{'Mean': -10.32532187511278, 'Std': 1.8603798310635924}"
"measuring O3 1,measuring O3 2,temperature,","{'Mean': -9.881881382179555, 'Std': 2.058051428697537}","{'Mean': -10.89343310473206, 'Std': 2.001704351167374}","{'Mean': -10.027943403653234, 'Std': 2.33797308704709}","{'Mean': -9.568882831318843, 'Std': 1.9877774046765853}"
