,Sensores,MLP,MLR,KNN,RF
0,O3 1,-13.34 ± 2.95,-12.84 ± 3.18,-12.89 ± 4.47,-14.03 ± 3.2
1,O3 2,-11.01 ± 2.1,-10.85 ± 2.65,-10.9 ± 2.02,-12.61 ± 1.73
2,CO + O3 1,-16.47 ± 4.85,-14.27 ± 2.9,-14.93 ± 3.9,-14.79 ± 2.65
3,CO + O3 2,-14.26 ± 4.51,-11.63 ± 2.45,-12.75 ± 2.81,-13.29 ± 3.2
4,NO2 + O3 1,-13.19 ± 2.92,-12.85 ± 3.18,-12.99 ± 3.3,-13.83 ± 3.04
5,NO2 + O3 2,-11.12 ± 1.7,-10.85 ± 2.66,-10.64 ± 2.11,-11.74 ± 1.96
6,O3 1 + O3 2,-10.83 ± 1.9,-10.39 ± 2.27,-10.39 ± 2.09,-11.63 ± 1.47
7,O3 1 + SO2 1,-13.37 ± 2.73,-12.91 ± 3.02,-13.96 ± 2.56,-13.56 ± 2.63
8,O3 1 + SO2 2,-11.83 ± 2.96,-12.2 ± 3.46,-12.14 ± 2.21,-11.94 ± 2.64
9,O3 1 + PM10,-15.62 ± 3.56,-12.7 ± 2.98,-14.85 ± 3.47,-15.57 ± 3.07
10,O3 1 + T,-9.07 ± 1.97,-9.4 ± 2.17,-9.38 ± 1.97,-9.61 ± 1.77
11,O3 2 + SO2 1,-11.51 ± 1.81,-10.78 ± 2.46,-11.06 ± 1.72,-12.22 ± 1.42
12,O3 2 + SO2 2,-12.52 ± 5.02,-10.59 ± 2.57,-10.61 ± 2.1,-10.14 ± 1.47
13,O3 2 + PM10,-11.96 ± 2.48,-10.62 ± 2.44,-11.53 ± 2.1,-12.54 ± 3.0
14,O3 2 + T,-9.97 ± 2.47,-9.73 ± 2.49,-9.88 ± 2.46,-9.43 ± 2.03
15,CO + NO2 + O3 1,-20.38 ± 7.88,-14.29 ± 2.9,-13.69 ± 3.4,-14.34 ± 2.36
16,CO + NO2 + O3 2,-15.59 ± 4.78,-11.62 ± 2.46,-11.62 ± 1.83,-12.61 ± 2.79
17,CO + O3 1 + O3 2,-14.9 ± 4.42,-10.64 ± 1.97,-12.31 ± 2.44,-13.13 ± 3.78
18,CO + O3 1 + SO2 1,-19.48 ± 7.25,-14.27 ± 2.73,-14.72 ± 2.94,-14.67 ± 2.76
19,CO + O3 1 + SO2 2,-16.02 ± 3.91,-13.06 ± 2.7,-12.69 ± 1.73,-11.73 ± 2.23
20,CO + O3 1 + PM10,-17.82 ± 4.84,-14.12 ± 2.8,-15.01 ± 3.45,-15.66 ± 4.0
21,CO + O3 1 + T,-11.45 ± 2.09,-8.67 ± 1.87,-9.88 ± 1.74,-9.25 ± 1.74
22,CO + O3 2 + SO2 1,-15.6 ± 4.3,-11.52 ± 2.23,-12.88 ± 2.83,-13.18 ± 3.18
23,CO + O3 2 + SO2 2,-15.65 ± 5.1,-11.22 ± 2.19,-11.66 ± 1.96,-10.87 ± 1.8
24,CO + O3 2 + PM10,-16.2 ± 5.96,-11.33 ± 2.3,-13.13 ± 3.07,-13.44 ± 4.38
