,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 1,","{'Mean': -365.0648546079831, 'Std': 134.89304441685115}","{'Mean': -313.77834890539634, 'Std': 164.88831584920914}","{'Mean': -325.9174856780077, 'Std': 217.8862851919116}","{'Mean': -338.0958916291199, 'Std': 162.54426677850324}"
"measuring O3 2,","{'Mean': -209.81953274313193, 'Std': 69.79513093907381}","{'Mean': -224.5611759581606, 'Std': 100.17049020424913}","{'Mean': -207.41709758563343, 'Std': 73.50293183416126}","{'Mean': -223.75212146226514, 'Std': 71.38469363880921}"
"measuring CO,measuring O3 1,","{'Mean': -380.0995799760638, 'Std': 176.6955806382508}","{'Mean': -361.5233300983571, 'Std': 149.99235559311234}","{'Mean': -373.9102266993282, 'Std': 187.75094443818662}","{'Mean': -364.730157650217, 'Std': 120.66516492548381}"
"measuring CO,measuring O3 2,","{'Mean': -297.0896704464235, 'Std': 98.25623109364332}","{'Mean': -242.133922593655, 'Std': 91.0211545679707}","{'Mean': -363.62932664084514, 'Std': 148.68529580573934}","{'Mean': -281.48295205991957, 'Std': 87.3310674922412}"
"measuring NO2,measuring O3 1,","{'Mean': -357.3812791027256, 'Std': 144.20209939963286}","{'Mean': -315.21803532207826, 'Std': 165.9984378834926}","{'Mean': -341.4723284752119, 'Std': 195.49222296989183}","{'Mean': -338.03156306136276, 'Std': 155.98468439138833}"
"measuring NO2,measuring O3 2,","{'Mean': -203.86626778146373, 'Std': 70.97828285359658}","{'Mean': -225.60120936375992, 'Std': 101.43347079124884}","{'Mean': -198.24831909500745, 'Std': 74.36641517548799}","{'Mean': -212.92529512597784, 'Std': 63.42459084880662}"
"measuring O3 1,measuring O3 2,","{'Mean': -185.6646485376924, 'Std': 76.13068446755231}","{'Mean': -211.54725026408036, 'Std': 92.83383040254027}","{'Mean': -212.23456253976443, 'Std': 79.79203577558505}","{'Mean': -195.77899250244937, 'Std': 73.01713312438983}"
"measuring O3 1,measuring PM10,","{'Mean': -361.25292557313924, 'Std': 150.84599703902722}","{'Mean': -314.16515518019406, 'Std': 166.78543707397324}","{'Mean': -346.29470836681276, 'Std': 161.90972687778373}","{'Mean': -374.98234715127654, 'Std': 132.4259883818837}"
"measuring O3 1,temperature,","{'Mean': -131.0079199801432, 'Std': 48.209997237967656}","{'Mean': -166.56097753423765, 'Std': 60.2630735263066}","{'Mean': -150.24703753402596, 'Std': 58.241535461532656}","{'Mean': -147.85936372848394, 'Std': 48.62739815526735}"
"measuring O3 2,measuring PM10,","{'Mean': -226.507615671743, 'Std': 99.75658501497884}","{'Mean': -217.19223250953192, 'Std': 99.08348132748205}","{'Mean': -216.0292004492444, 'Std': 102.09489500232853}","{'Mean': -211.68034514078408, 'Std': 65.09141826603417}"
"measuring O3 2,temperature,","{'Mean': -220.11521672532845, 'Std': 111.01747269764718}","{'Mean': -185.55591707209828, 'Std': 61.333646040278545}","{'Mean': -171.80704144949922, 'Std': 62.055878926689914}","{'Mean': -158.79666982994772, 'Std': 50.19423307732425}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -462.1402657286579, 'Std': 136.87331473215272}","{'Mean': -362.8487505319575, 'Std': 150.48528303698373}","{'Mean': -339.931259412172, 'Std': 215.92595833252244}","{'Mean': -362.17144506463393, 'Std': 128.35852957552677}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -250.60532380497557, 'Std': 69.20079259381352}","{'Mean': -242.28375140287372, 'Std': 91.96800447931403}","{'Mean': -307.39176635637136, 'Std': 102.63102499423968}","{'Mean': -291.92697578367387, 'Std': 109.21137537950227}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -214.08321374506158, 'Std': 59.04485596358526}","{'Mean': -209.18894869559008, 'Std': 92.20188156507807}","{'Mean': -242.2095180390887, 'Std': 86.48157525129933}","{'Mean': -200.301842805775, 'Std': 63.969335372626524}"
