,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 1,","{'Mean': -0.6599659688417409, 'Std': 0.14155411080810298}","{'Mean': -0.36371899404788727, 'Std': 0.2514917573113584}","{'Mean': -0.3345195000891858, 'Std': 0.36847873646889245}","{'Mean': -0.5248267702102191, 'Std': 0.38408167409750643}"
"measuring O3 2,","{'Mean': 0.0019288162388761594, 'Std': 0.28113087688311955}","{'Mean': -0.0007762086093998644, 'Std': 0.1342389959509453}","{'Mean': 0.029012053414145145, 'Std': 0.22936085643196405}","{'Mean': -0.05516930635735769, 'Std': 0.2606657872662769}"
"measuring CO,measuring O3 1,","{'Mean': -0.6610952113837057, 'Std': 0.1006387525934022}","{'Mean': -0.6519016454411033, 'Std': 0.35112213973081774}","{'Mean': -0.6775519097058732, 'Std': 0.47489397179635}","{'Mean': -0.7070617181267701, 'Std': 0.14624154806606887}"
"measuring CO,measuring O3 2,","{'Mean': -0.604678190857451, 'Std': 1.0048047007428802}","{'Mean': -0.10494072785587501, 'Std': 0.13929778369096674}","{'Mean': -1.018777826121221, 'Std': 1.4548064944754555}","{'Mean': -0.6086753369172094, 'Std': 1.050588629462899}"
"measuring O3 1,measuring O3 2,","{'Mean': 0.15032490591953354, 'Std': 0.1800608685268308}","{'Mean': 0.049106641108634684, 'Std': 0.1609482447930034}","{'Mean': 0.006176722911448218, 'Std': 0.26853099805657876}","{'Mean': 0.09200371852609517, 'Std': 0.20859176015353567}"
"measuring O3 1,measuring PM10,","{'Mean': -0.6491425497152041, 'Std': 0.350614759249637}","{'Mean': -0.3596311946329079, 'Std': 0.24069416462723878}","{'Mean': -0.5672590107447669, 'Std': 0.40848473307316546}","{'Mean': -0.7673506429984739, 'Std': 0.5730413894404428}"
"measuring O3 1,temperature,","{'Mean': 0.3708693403054378, 'Std': 0.22928223534146847}","{'Mean': 0.20536742172006509, 'Std': 0.2634498173483804}","{'Mean': 0.28689004118603445, 'Std': 0.24515047496036896}","{'Mean': 0.2915941041745839, 'Std': 0.2560497514073856}"
"measuring O3 2,measuring PM10,","{'Mean': -0.03127527372106916, 'Std': 0.24821870967380635}","{'Mean': 0.03303957049607179, 'Std': 0.14727916411941447}","{'Mean': 0.03794143435470928, 'Std': 0.1833243912351841}","{'Mean': -0.029246364023721234, 'Std': 0.3097762701348241}"
"measuring O3 2,temperature,","{'Mean': -0.009820043357832672, 'Std': 0.37953305042477675}","{'Mean': 0.07673366031988697, 'Std': 0.4100371710537243}","{'Mean': 0.13489605411326233, 'Std': 0.43762573568404295}","{'Mean': 0.18844718728332252, 'Std': 0.3943675523102447}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -0.04977203699673113, 'Std': 0.3590118333826205}","{'Mean': 0.07474532549339415, 'Std': 0.06240640903917154}","{'Mean': -0.1479207130487131, 'Std': 0.34181546984591027}","{'Mean': 0.06732717841947777, 'Std': 0.1794165703759451}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -0.994943474832759, 'Std': 0.34601501873796253}","{'Mean': -0.6487701736779622, 'Std': 0.3568167739440643}","{'Mean': -0.7397132154895448, 'Std': 0.15747220499835798}","{'Mean': -1.0779438712545868, 'Std': 0.5940754767236931}"
"measuring CO,measuring O3 1,temperature,","{'Mean': 0.24207695749042493, 'Std': 0.42213968365441906}","{'Mean': 0.41938281306192726, 'Std': 0.11433006834530285}","{'Mean': 0.22858595370854884, 'Std': 0.24781810526365414}","{'Mean': 0.3454620199679317, 'Std': 0.14246176958886025}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -0.5884525391419323, 'Std': 0.8516740745247892}","{'Mean': -0.04987255191172265, 'Std': 0.13914293650788273}","{'Mean': -0.8645153469335992, 'Std': 1.175244347724637}","{'Mean': -0.4860365052590103, 'Std': 0.9380661870570445}"
"measuring CO,measuring O3 2,temperature,","{'Mean': 0.013693179845955639, 'Std': 0.5508338047892148}","{'Mean': 0.260933279958242, 'Std': 0.30614655436966504}","{'Mean': -0.50904658971303, 'Std': 1.2105349735485722}","{'Mean': 0.07204989962614572, 'Std': 0.5890580160082862}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 0.13232559801652607, 'Std': 0.17622645119102617}","{'Mean': 0.08059747836360398, 'Std': 0.17098315825085358}","{'Mean': 0.05674829903661557, 'Std': 0.16910338170380476}","{'Mean': 0.13914006116900202, 'Std': 0.21760785403239896}"
