,Sensores,MLP,MLR,KNN,RF
0,SO2 1,-0.13 ± 0.22,-0.13 ± 0.22,-0.37 ± 0.36,-0.23 ± 0.36
1,SO2 2,-0.1 ± 0.15,-0.16 ± 0.27,-1.12 ± 1.29,-0.29 ± 0.55
2,CO + SO2 1,-0.1 ± 0.24,-0.13 ± 0.25,-0.72 ± 0.63,-0.02 ± 0.13
3,CO + SO2 2,-0.24 ± 0.43,-0.14 ± 0.21,-1.36 ± 1.31,-0.12 ± 0.39
4,NO2 + SO2 1,-0.34 ± 0.54,-0.14 ± 0.23,-0.41 ± 0.44,-0.18 ± 0.28
5,NO2 + SO2 2,-0.27 ± 0.44,-0.17 ± 0.28,-1.19 ± 1.49,-0.36 ± 0.68
6,O3 1 + SO2 1,-0.1 ± 0.12,-0.14 ± 0.19,-0.47 ± 0.47,-0.1 ± 0.15
7,O3 1 + SO2 2,-0.56 ± 0.53,-0.19 ± 0.25,-0.94 ± 1.21,-0.27 ± 0.51
8,O3 2 + SO2 1,-0.51 ± 0.69,-0.2 ± 0.38,-1.08 ± 1.13,-0.31 ± 0.43
9,O3 2 + SO2 2,-0.26 ± 0.4,-0.2 ± 0.36,-1.29 ± 1.31,-0.34 ± 0.46
10,SO2 1 + SO2 2,-0.75 ± 0.86,-0.15 ± 0.27,-1.11 ± 1.47,-0.29 ± 0.54
11,SO2 1 + PM10,-0.14 ± 0.2,-0.13 ± 0.21,-0.63 ± 0.61,-0.2 ± 0.31
12,SO2 1 + T,-0.24 ± 0.36,-0.16 ± 0.32,-1.35 ± 1.58,-0.4 ± 0.64
13,SO2 2 + PM10,-0.11 ± 0.19,-0.17 ± 0.26,-0.98 ± 1.24,-0.31 ± 0.6
14,SO2 2 + T,-0.21 ± 0.31,-0.19 ± 0.35,-1.16 ± 1.35,-0.49 ± 0.67
15,CO + NO2 + SO2 1,-0.51 ± 0.54,-0.14 ± 0.25,-0.47 ± 0.47,-0.05 ± 0.19
16,CO + NO2 + SO2 2,-0.18 ± 0.3,-0.13 ± 0.21,-1.36 ± 1.47,-0.15 ± 0.44
17,CO + O3 1 + SO2 1,-0.13 ± 0.18,-0.18 ± 0.32,-0.5 ± 0.45,-0.02 ± 0.13
18,CO + O3 1 + SO2 2,-0.48 ± 0.66,-0.19 ± 0.28,-1.14 ± 1.15,-0.12 ± 0.39
19,CO + O3 2 + SO2 1,-0.54 ± 0.73,-0.13 ± 0.25,-1.15 ± 1.11,-0.15 ± 0.32
20,CO + O3 2 + SO2 2,-0.3 ± 0.46,-0.14 ± 0.23,-1.25 ± 1.33,-0.16 ± 0.33
21,CO + SO2 1 + SO2 2,-1.12 ± 1.51,-0.14 ± 0.23,-1.27 ± 1.39,-0.12 ± 0.39
22,CO + SO2 1 + PM10,-0.15 ± 0.22,-0.14 ± 0.24,-0.8 ± 0.8,-0.03 ± 0.13
23,CO + SO2 1 + T,-0.24 ± 0.38,-0.12 ± 0.21,-1.26 ± 1.51,-0.36 ± 0.49
24,CO + SO2 2 + PM10,-0.11 ± 0.24,-0.14 ± 0.2,-0.99 ± 1.18,-0.13 ± 0.41
25,CO + SO2 2 + T,-0.18 ± 0.28,-0.15 ± 0.22,-1.16 ± 1.35,-0.39 ± 0.48
26,NO2 + O3 1 + SO2 1,-0.38 ± 0.43,-0.15 ± 0.2,-0.56 ± 0.52,-0.13 ± 0.23
27,NO2 + O3 1 + SO2 2,-0.36 ± 0.43,-0.2 ± 0.26,-1.1 ± 1.64,-0.35 ± 0.66
28,NO2 + O3 2 + SO2 1,-0.64 ± 0.84,-0.21 ± 0.39,-1.01 ± 1.21,-0.31 ± 0.44
29,NO2 + O3 2 + SO2 2,-0.47 ± 0.67,-0.21 ± 0.37,-1.58 ± 1.88,-0.35 ± 0.5
30,NO2 + SO2 1 + SO2 2,-0.75 ± 0.89,-0.16 ± 0.29,-1.16 ± 1.44,-0.36 ± 0.67
31,NO2 + SO2 1 + PM10,-0.49 ± 0.52,-0.15 ± 0.23,-0.71 ± 0.7,-0.18 ± 0.28
32,NO2 + SO2 1 + T,-0.38 ± 0.59,-0.17 ± 0.33,-1.49 ± 1.74,-0.33 ± 0.56
33,NO2 + SO2 2 + PM10,-0.23 ± 0.25,-0.18 ± 0.27,-1.08 ± 1.52,-0.36 ± 0.67
34,NO2 + SO2 2 + T,-0.53 ± 0.57,-0.19 ± 0.35,-1.38 ± 1.72,-0.47 ± 0.62
35,O3 1 + O3 2 + SO2 1,-0.98 ± 1.47,-0.2 ± 0.38,-1.73 ± 1.49,-0.31 ± 0.42
