,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 1,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=1, hidden_layer_sizes=(200,), max_iter=1000,
                              random_state=42, solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 1, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([ -0.84713489, -11.11531083,  -0.57548457]), 'Test RMSE': array([-15.4927807, -48.4210729, -23.5827507]), 'Test MAE': array([-13.21085635, -15.20294865, -17.9317234 ]), 'Test MSE': array([ -240.02625378, -2344.60030123,  -556.14613052]), 'AIC': array([1966.1078943 , 2782.03353844, 2266.92912821]), 'BIC': array([1973.86896027, 2789.79460442, 2274.69019418])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.50718627, -0.1789844 , -0.61536201]), 'Test RMSE': array([-13.99469801, -15.1050149 , -23.87933984]), 'Test MAE': array([-11.92296045, -11.46979807, -18.4981491 ]), 'Test MSE': array([-195.85157248, -228.16147512, -570.22287133]), 'AIC': array([1893.29383789, 1947.95918969, 2275.87776866]), 'BIC': array([1901.05490386, 1955.72025566, 2283.63883463])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.2754544 ,  0.05998863, -0.80687398]), 'Test RMSE': array([-12.87397125, -13.48756903, -25.25522924]), 'Test MAE': array([ -9.04227463, -10.09786792, -19.42865546]), 'Test MSE': array([-165.73913587, -181.91451829, -637.82660419]), 'AIC': array([1833.52859924, 1866.86620914, 2315.98779488]), 'BIC': array([1841.28966521, 1874.62727511, 2323.74886085])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.90145777, -0.04173419, -0.58935664]), 'Test RMSE': array([-15.71894557, -14.19860207, -23.68634571]), 'Test MAE': array([-13.50670093, -11.52862555, -18.0523359 ]), 'Test MSE': array([-247.08524978, -201.60030075, -561.04297305]), 'AIC': array([1976.48456361, 1903.65075603, 2270.06750622]), 'BIC': array([1984.24562958, 1911.41182201, 2277.82857219])}"
"measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200, 50)}, 'Test R2': array([-0.3110586 ,  0.23342561,  0.14755727]), 'Test RMSE': array([-13.05242238, -12.17991563, -17.34682473]), 'Test MAE': array([-10.98420598,  -9.17379603, -13.84466175]), 'Test MSE': array([-170.36572992, -148.35034478, -300.91232805]), 'AIC': array([1843.38519738, 1793.84844816, 2047.04118531]), 'BIC': array([1851.14626335, 1801.60951414, 2054.80225128])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.11497298,  0.17544882, -0.01044714]), 'Test RMSE': array([-12.0368331 , -12.63211107, -18.88618257]), 'Test MAE': array([ -9.9430739 ,  -9.23306949, -15.33845347]), 'Test MSE': array([-144.88535099, -159.57022999, -356.68789196]), 'AIC': array([1785.38750337, 1819.94932166, 2107.91629069]), 'BIC': array([1793.14856934, 1827.71038764, 2115.67735667])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=15))]), 'Best Parameters': {'knn_regressor__n_neighbors': 15}, 'Test R2': array([-0.33081769,  0.1893722 ,  0.11147061]), 'Test RMSE': array([-13.15041171, -12.52500407, -17.71019251]), 'Test MAE': array([-10.97136408,  -9.52139064, -14.17947899]), 'Test MSE': array([-172.93332805, -156.87572708, -313.65091863]), 'AIC': array([1848.7403957 , 1813.85251218, 2061.88447032]), 'BIC': array([1856.50146167, 1821.61357815, 2069.6455363 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.37731212,  0.18318457,  0.10329303]), 'Test RMSE': array([-13.37815586, -12.57271565, -17.79150374]), 'Test MAE': array([-10.88583995,  -9.50267027, -14.12446623]), 'Test MSE': array([-178.97505427, -158.07317886, -316.53760541]), 'AIC': array([1861.03422355, 1816.57479376, 2065.16425425]), 'BIC': array([1868.79528952, 1824.33585973, 2072.92532023])}"
"measuring CO,measuring O3 1,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-1.1871335 , -0.5121781 , -0.81501408]), 'Test RMSE': array([-16.85845276, -17.10679299, -25.31205364]), 'Test MAE': array([-14.40930949, -13.28513426, -19.49247536]), 'Test MSE': array([-284.20742935, -292.64236634, -640.70005933]), 'AIC': array([2028.59415966, 2039.06455495, 2319.59698881]), 'BIC': array([2040.23575862, 2050.70615391, 2331.23858777])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-1.66308191, -0.36198982, -0.70587648]), 'Test RMSE': array([-18.60254355, -16.23506601, -24.53924373]), 'Test MAE': array([-16.26018529, -12.91222081, -19.05588904]), 'Test MSE': array([-346.05462641, -263.57736843, -602.17448282]), 'AIC': array([2099.08159798, 2001.61620566, 2297.39591259]), 'BIC': array([2110.72319694, 2013.25780462, 2309.03751155])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=17))]), 'Best Parameters': {'knn_regressor__n_neighbors': 17}, 'Test R2': array([-0.75039589,  0.04119369, -0.79771398]), 'Test RMSE': array([-15.08162747, -13.62173946, -25.19113189]), 'Test MAE': array([-12.66260698, -10.51726107, -19.41009763]), 'Test MSE': array([-227.45548719, -185.55178592, -634.59312578]), 'AIC': array([1948.84973195, 1875.95357647, 2316.16828873]), 'BIC': array([1960.49133091, 1887.59517543, 2327.80988769])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 1, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-1.46030807, -0.58805825, -0.56833283]), 'Test RMSE': array([-17.88030047, -17.53074379, -23.52916421]), 'Test MAE': array([-15.07210569, -14.43014667, -18.12367155]), 'Test MSE': array([-319.70514482, -307.32697785, -553.62156843]), 'AIC': array([2070.7288952 , 2056.59258737, 2267.30032826]), 'BIC': array([2082.37049416, 2068.23418633, 2278.94192722])}"
"measuring CO,measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-2.09496954,  0.16309494,  0.07761774]), 'Test RMSE': array([-20.05433459, -12.72638992, -18.04441695]), 'Test MAE': array([-16.33838175,  -9.74052789, -14.51237157]), 'Test MSE': array([-402.17633591, -161.96100051, -325.60098323]), 'AIC': array([2152.88684875, 1827.27329358, 2077.27081009]), 'BIC': array([2164.52844771, 1838.91489254, 2088.91240904])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.32335341,  0.04682034, -0.03295711]), 'Test RMSE': array([-13.11348087, -13.5817118 , -19.09538977]), 'Test MAE': array([-11.05110237, -10.41222752, -15.51249625]), 'Test MSE': array([-171.96338052, -184.46289531, -364.63391029]), 'AIC': array([1848.72679496, 1873.8465035 , 2117.80400358]), 'BIC': array([1860.36839392, 1885.48810246, 2129.44560254])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-3.24218847,  0.07707237, -0.09074512]), 'Test RMSE': array([-23.47875409, -13.36444575, -19.62225988]), 'Test MAE': array([-20.25681656, -10.31075052, -15.83689496]), 'Test MSE': array([-551.25189362, -178.60841015, -385.03308282]), 'AIC': array([2265.76468656, 1862.30008087, 2137.29187507]), 'BIC': array([2277.40628552, 1873.94167983, 2148.93347403])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=2,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 2, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-1.7825192 ,  0.147309  ,  0.11169354]), 'Test RMSE': array([-19.01512359, -12.84585355, -17.70797065]), 'Test MAE': array([-16.17957283,  -9.81943965, -14.14889403]), 'Test MSE': array([-361.5749251 , -165.01595355, -313.5722247 ]), 'AIC': array([2114.78800289, 1833.96309234, 2063.7946381 ]), 'BIC': array([2126.42960185, 1845.6046913 , 2075.43623706])}"
"measuring NO2,measuring O3 1,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.1, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.1, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.44184669, -1.95618432, -0.6154734 ]), 'Test RMSE': array([-13.68798782, -23.91844174, -23.8801631 ]), 'Test MAE': array([-10.90016526, -13.88705545, -18.3824583 ]), 'Test MSE': array([-187.36101062, -572.09185531, -570.26218959]), 'AIC': array([1879.4273512 , 2279.04924416, 2277.90245277]), 'BIC': array([1891.06895016, 2290.69084312, 2289.54405173])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.50114762, -0.17370844, -0.62616585]), 'Test RMSE': array([-13.96663452, -15.07117948, -23.95906145]), 'Test MAE': array([-11.91798054, -11.41579002, -18.56465727]), 'Test MSE': array([-195.0668798 , -227.14045095, -574.03662537]), 'AIC': array([1893.85660536, 1948.3535419 , 2280.26416615]), 'BIC': array([1905.49820432, 1959.99514086, 2291.90576511])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.75184766,  0.0732125 , -0.75154177]), 'Test RMSE': array([-15.08788051, -13.39236296, -24.86552498]), 'Test MAE': array([-11.70744549,  -9.96855346, -19.14753256]), 'Test MSE': array([-227.64413821, -179.35538555, -618.29433269]), 'AIC': array([1949.14653321, 1863.79418494, 2306.85333058]), 'BIC': array([1960.78813217, 1875.43578389, 2318.49492954])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 1, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.72383303, -0.22426423, -0.59207815]), 'Test RMSE': array([-14.96675557, -15.39234217, -23.70661652]), 'Test MAE': array([-12.35296408, -12.82708809, -18.05651713]), 'Test MSE': array([-224.0037724 , -236.92419734, -562.003667  ]), 'AIC': array([1943.37531562, 1963.45100862, 2272.67999817]), 'BIC': array([1955.01691458, 1975.09260758, 2284.32159713])}"
"measuring NO2,measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=1, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 1, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.01873568,  0.19211757,  0.16434871]), 'Test RMSE': array([-11.50564118, -12.50377667, -17.17512579]), 'Test MAE': array([ -9.20049736,  -9.26363421, -13.74179961]), 'Test MSE': array([-132.37977905, -156.34443107, -294.98494604]), 'AIC': array([1755.07161622, 1814.63800444, 2041.91890823]), 'BIC': array([1766.71321518, 1826.2796034 , 2053.56050719])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.12060781,  0.18145537, -0.0210318 ]), 'Test RMSE': array([-12.06721051, -12.58601689, -18.9848433 ]), 'Test MAE': array([-10.03060845,  -9.19225109, -15.42137837]), 'Test MSE': array([-145.61756949, -158.40782116, -360.42427497]), 'AIC': array([1789.19219971, 1819.33188178, 2113.64691272]), 'BIC': array([1800.83379866, 1830.97348074, 2125.28851167])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.11155313,  0.15427252,  0.15839474]), 'Test RMSE': array([-12.01835919, -12.79329306, -17.23620311]), 'Test MAE': array([ -9.69110789,  -9.65758104, -13.7362799 ]), 'Test MSE': array([-144.44095752, -163.66834729, -297.08669766]), 'AIC': array([1786.28775555, 1831.02747454, 2044.46059469]), 'BIC': array([1797.9293545 , 1842.6690735 , 2056.10219365])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 1, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.27584435,  0.15678101,  0.13579008]), 'Test RMSE': array([-12.87593914, -12.77430604, -17.46614279]), 'Test MAE': array([-10.55508717,  -9.57086067, -13.85362527]), 'Test MSE': array([-165.78980873, -163.18289477, -305.06614405]), 'AIC': array([1835.63803693, 1829.96404197, 2053.94924554]), 'BIC': array([1847.27963589, 1841.60564093, 2065.5908445 ])}"
"measuring O3 1,measuring O3 2,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([0.02477517, 0.36974678, 0.22249016]), 'Test RMSE': array([-11.25725344, -11.04395593, -16.56686493]), 'Test MAE': array([ -9.07463912,  -8.31332944, -13.12377552]), 'Test MSE': array([-126.72575491, -121.96896258, -274.46101369]), 'AIC': array([1739.44507221, 1725.74844542, 2016.10170227]), 'BIC': array([1751.08667117, 1737.39004438, 2027.74330123])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.095025  ,  0.06500416,  0.01078339]), 'Test RMSE': array([-11.92867165, -13.45153874, -18.6867202 ]), 'Test MAE': array([ -9.7599475 ,  -9.11968792, -15.14626413]), 'Test MSE': array([-142.29320728, -180.94389445, -349.19351191]), 'AIC': array([1780.9245372 , 1866.9509488 , 2102.31419532]), 'BIC': array([1792.56613616, 1878.59254776, 2113.95579428])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.04698232,  0.25049319,  0.10656653]), 'Test RMSE': array([-11.66405992, -12.04356111, -17.75899936]), 'Test MAE': array([ -9.18602621,  -9.08320335, -14.3672479 ]), 'Test MSE': array([-136.05029378, -145.04736411, -315.38205831]), 'AIC': array([1764.86281561, 1787.78760104, 2065.85495389]), 'BIC': array([1776.50441457, 1799.4292    , 2077.49655285])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.04732348,  0.28083766,  0.20577422]), 'Test RMSE': array([-11.66596011, -11.79724493, -16.74400605]), 'Test MAE': array([ -9.29265744,  -8.73505855, -13.40760965]), 'Test MSE': array([-136.09462522, -139.17498799, -280.36173846]), 'AIC': array([1764.97944946, 1772.99207311, 2023.71688789]), 'BIC': array([1776.62104842, 1784.63367207, 2035.35848685])}"
"measuring O3 1,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(10, 10),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (10, 10)}, 'Test R2': array([-1.06680182, -0.41345237, -0.61806047]), 'Test RMSE': array([-16.3881332 , -16.53894174, -23.89927671]), 'Test MAE': array([-13.76955863, -12.42889351, -18.18602154]), 'Test MSE': array([-268.57090964, -273.53659375, -571.17542743]), 'AIC': array([2008.3351609 , 2014.89387711, 2278.47530794]), 'BIC': array([2019.97675986, 2026.53547606, 2290.1169069 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.47065019, -0.12353145, -0.63756034]), 'Test RMSE': array([-13.8240329 , -14.7455082 , -24.04285511]), 'Test MAE': array([-11.71809261, -11.32276373, -18.62758381]), 'Test MSE': array([-191.10388563, -217.43001207, -578.05888206]), 'AIC': array([1886.50855187, 1932.71197142, 2282.76391333]), 'BIC': array([1898.15015083, 1944.35357038, 2294.40551229])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.90033808, -0.0900622 , -0.77258837]), 'Test RMSE': array([-15.71431675, -14.52421829, -25.01447148]), 'Test MAE': array([-12.89255765, -11.25319392, -19.44214601]), 'Test MSE': array([-246.93975077, -210.95291687, -625.72378336]), 'AIC': array([1978.27368906, 1921.88531775, 2311.12943385]), 'BIC': array([1989.91528802, 1933.52691671, 2322.77103281])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-1.46089179, -0.17455125, -0.60956587]), 'Test RMSE': array([-17.88242143, -15.07658959, -23.83646012]), 'Test MAE': array([-14.62730846, -12.1668499 , -18.22700183]), 'Test MSE': array([-319.78099624, -227.30355352, -568.17683097]), 'AIC': array([2070.81382216, 1948.61051844, 2276.59090388]), 'BIC': array([2082.45542112, 1960.2521174 , 2288.23250284])}"
"measuring O3 1,temperature,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([0.06166678, 0.57133513, 0.446759  ]), 'Test RMSE': array([-11.04227639,  -9.108064  , -13.97476654]), 'Test MAE': array([ -9.19223599,  -6.4054661 , -10.93995957]), 'Test MSE': array([-121.93186786,  -82.95682974, -195.29409985]), 'AIC': array([1725.63954943, 1587.75868491, 1894.27337237]), 'BIC': array([1737.28114839, 1599.40028387, 1905.91497133])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.17012758,  0.39297126,  0.28721579]), 'Test RMSE': array([-12.33095391, -10.8385642 , -15.86230951]), 'Test MAE': array([-10.3242176 ,  -8.15475862, -12.67326981]), 'Test MSE': array([-152.05242439, -117.47447388, -251.61286306]), 'AIC': array([1804.67267842, 1712.30714177, 1984.98521018]), 'BIC': array([1816.31427738, 1723.94874073, 1996.62680914])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.01371007,  0.53528495,  0.36477086]), 'Test RMSE': array([-11.47722635,  -9.48332203, -14.97450894]), 'Test MAE': array([ -9.34396751,  -6.75123585, -11.85941387]), 'Test MSE': array([-131.72672476,  -89.9333968 , -224.23591806]), 'AIC': array([1753.30116445, 1616.66683115, 1943.74613577]), 'BIC': array([1764.94276341, 1628.30843011, 1955.38773473])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 1, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.05401903,  0.51355468,  0.41948701]), 'Test RMSE': array([-11.70319102,  -9.702511  , -14.31506595]), 'Test MAE': array([ -9.45528922,  -6.9607085 , -11.1895265 ]), 'Test MSE': array([-136.96467994,  -94.13871972, -204.92111307]), 'AIC': array([1767.26086333, 1633.02745815, 1911.49978251]), 'BIC': array([1778.90246229, 1644.66905711, 1923.14138147])}"
"measuring O3 2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.13327951,  0.25120311,  0.00424018]), 'Test RMSE': array([-12.13524605, -12.03785596, -18.74842034]), 'Test MAE': array([-10.19065584,  -9.29557175, -14.70481092]), 'Test MSE': array([-147.26419678, -144.90997623, -351.50326528]), 'AIC': array([1793.21770657, 1787.44834518, 2104.67440228]), 'BIC': array([1804.85930553, 1799.08994414, 2116.31600124])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.0845407 ,  0.22862734,  0.01445883]), 'Test RMSE': array([-11.87142885, -12.21797547, -18.65197257]), 'Test MAE': array([ -9.72461904,  -9.14527562, -15.15781971]), 'Test MSE': array([-140.93082288, -149.27892452, -347.89608066]), 'AIC': array([1777.48035645, 1798.08231868, 2100.98156626]), 'BIC': array([1789.12195541, 1809.72391764, 2112.62316522])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=15))]), 'Best Parameters': {'knn_regressor__n_neighbors': 15}, 'Test R2': array([-0.09274344,  0.26384718,  0.02941721]), 'Test RMSE': array([-11.91623807, -11.93578858, -18.50988316]), 'Test MAE': array([ -9.7652942 ,  -9.36123829, -14.72954202]), 'Test MSE': array([-141.99672974, -142.46304903, -342.6157747 ]), 'AIC': array([1780.1778418 , 1781.35159265, 2095.50624715]), 'BIC': array([1791.81944076, 1792.99319161, 2107.14784611])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.25294817,  0.23513097,  0.17418019]), 'Test RMSE': array([-12.75988089, -12.16636012, -17.07379374]), 'Test MAE': array([-10.49460457,  -9.38505252, -13.51188344]), 'Test MSE': array([-162.8145602 , -148.02031859, -291.51443275]), 'AIC': array([1829.15505509, 1795.05113966, 2037.68204693]), 'BIC': array([1840.79665404, 1806.69273862, 2049.32364589])}"
