,Multilinear Regression
"measuring O3 1,","{'Mean': -17.157191665517463, 'Std': 4.4055786292034815}"
"measuring O3 2,","{'Mean': -14.644283078254778, 'Std': 3.1790169993413535}"
"measuring CO,measuring O3 1,","{'Mean': -18.63652663492209, 'Std': 3.7687139828058807}"
"measuring CO,measuring O3 2,","{'Mean': -15.306584359709914, 'Std': 2.8004281516830254}"
"measuring O3 1,measuring O3 2,","{'Mean': -14.224558586147353, 'Std': 3.034663621118822}"
"measuring O3 1,measuring PM10,","{'Mean': -17.15638995104109, 'Std': 4.452352078172883}"
"measuring O3 1,temperature,","{'Mean': -12.697618757721516, 'Std': 2.308994460321703}"
"measuring O3 2,measuring PM10,","{'Mean': -14.387358855403031, 'Std': 3.1931391569093703}"
"measuring O3 2,temperature,","{'Mean': -13.418108629054407, 'Std': 2.3473981108866115}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -14.135324541309481, 'Std': 3.0629314075643292}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -18.62727901274091, 'Std': 3.8681564185803814}"
"measuring CO,measuring O3 1,temperature,","{'Mean': -11.018933034402531, 'Std': 1.916476499570379}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -14.938870311079677, 'Std': 2.8884692303521455}"
"measuring CO,measuring O3 2,temperature,","{'Mean': -12.013143044185673, 'Std': 1.621059941349548}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -13.978492614843539, 'Std': 3.056458897422651}"
"measuring O3 1,measuring O3 2,temperature,","{'Mean': -13.145011026910147, 'Std': 2.355383544646983}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': -12.65683843004048, 'Std': 2.3385880027805483}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': -13.414454889979956, 'Std': 2.3485047088651685}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -13.899220170587542, 'Std': 3.0302245930995677}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -11.11009192074579, 'Std': 1.6827233361550722}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -10.983914397135903, 'Std': 1.8956211309819635}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -12.007357950332716, 'Std': 1.6121460040999618}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -13.13406662952893, 'Std': 2.364049486577238}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -11.111836779972739, 'Std': 1.666078217636014}"
