,Sensores,MLP,MLR,KNN,RF
0,O3 1,-18.8 ± 3.41,-17.16 ± 4.41,-17.13 ± 5.69,-17.92 ± 4.19
1,O3 2,-14.29 ± 2.34,-14.64 ± 3.18,-14.19 ± 2.45,-14.74 ± 2.32
2,CO + O3 1,-19.0 ± 4.37,-18.64 ± 3.77,-18.76 ± 4.68,-19.01 ± 3.11
3,CO + O3 2,-16.96 ± 3.05,-15.31 ± 2.8,-18.6 ± 4.18,-16.86 ± 3.09
4,O3 1 + O3 2,-13.36 ± 2.67,-14.22 ± 3.03,-14.32 ± 2.65,-13.75 ± 2.51
5,O3 1 + PM10,-18.62 ± 3.79,-17.16 ± 4.45,-18.13 ± 4.18,-18.95 ± 3.39
6,O3 1 + T,-11.25 ± 2.11,-12.7 ± 2.31,-12.03 ± 2.36,-11.91 ± 2.01
7,O3 2 + PM10,-14.71 ± 3.18,-14.39 ± 3.19,-14.32 ± 3.3,-14.45 ± 2.14
8,O3 2 + T,-14.36 ± 3.74,-13.42 ± 2.35,-12.86 ± 2.54,-12.47 ± 2.13
9,CO + O3 1 + O3 2,-14.49 ± 2.01,-14.14 ± 3.06,-15.32 ± 2.71,-13.95 ± 2.26
10,CO + O3 1 + PM10,-20.41 ± 3.14,-18.63 ± 3.87,-19.2 ± 3.21,-20.44 ± 2.0
11,CO + O3 1 + T,-11.86 ± 2.05,-11.02 ± 1.92,-12.52 ± 2.24,-11.66 ± 1.89
12,CO + O3 2 + PM10,-17.19 ± 2.46,-14.94 ± 2.89,-18.28 ± 3.42,-16.26 ± 2.7
13,CO + O3 2 + T,-13.61 ± 3.13,-12.01 ± 1.62,-15.72 ± 4.17,-12.86 ± 2.3
14,O3 1 + O3 2 + PM10,-13.52 ± 2.76,-13.98 ± 3.06,-14.21 ± 3.33,-13.34 ± 2.32
15,O3 1 + O3 2 + T,-12.64 ± 2.07,-13.15 ± 2.36,-12.6 ± 2.58,-12.14 ± 2.0
16,O3 1 + PM10 + T,-11.35 ± 2.01,-12.66 ± 2.34,-12.68 ± 2.99,-11.84 ± 1.92
17,O3 2 + PM10 + T,-13.16 ± 2.68,-13.41 ± 2.35,-12.79 ± 2.52,-12.35 ± 2.03
18,CO + O3 1 + O3 2 + PM10,-13.99 ± 2.29,-13.9 ± 3.03,-14.86 ± 3.37,-13.6 ± 1.96
19,CO + O3 1 + O3 2 + T,-12.03 ± 2.08,-11.11 ± 1.68,-13.25 ± 2.62,-11.17 ± 1.58
20,CO + O3 1 + PM10 + T,-13.34 ± 2.18,-10.98 ± 1.9,-13.0 ± 2.9,-11.53 ± 1.85
21,CO + O3 2 + PM10 + T,-14.81 ± 2.88,-12.01 ± 1.61,-15.56 ± 3.38,-12.74 ± 2.08
22,O3 1 + O3 2 + PM10 + T,-13.45 ± 1.81,-13.13 ± 2.36,-13.23 ± 2.81,-11.97 ± 1.78
23,CO + O3 1 + O3 2 + PM10 + T,-14.08 ± 2.58,-11.11 ± 1.67,-13.14 ± 2.84,-11.17 ± 1.59
