,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring PM10,","{'Mean': 1691.945516255167, 'Std': 72.29562278894691}","{'Mean': 1670.519561658544, 'Std': 93.6252947154487}","{'Mean': 1697.82929700151, 'Std': 112.76955760610817}","{'Mean': 1711.7529233736252, 'Std': 73.94861497201943}"
"measuring CO,measuring PM10,","{'Mean': 1732.340152872194, 'Std': 127.1566197632713}","{'Mean': 1682.11537122373, 'Std': 129.90642340734988}","{'Mean': 1757.3018530026575, 'Std': 117.68729645105756}","{'Mean': 1729.4723687576516, 'Std': 136.0844375462049}"
"measuring NO2,measuring PM10,","{'Mean': 1685.781764453249, 'Std': 76.96390124056241}","{'Mean': 1680.5373643502955, 'Std': 103.14925794840117}","{'Mean': 1700.7301191287258, 'Std': 87.82282342334136}","{'Mean': 1698.9833870685782, 'Std': 81.89968038869067}"
"measuring O3 1,measuring PM10,","{'Mean': 1685.5330777268211, 'Std': 96.6711853110102}","{'Mean': 1662.4595236206076, 'Std': 106.01302290689239}","{'Mean': 1681.2041408323678, 'Std': 113.79897552119634}","{'Mean': 1711.1809998739425, 'Std': 91.03052744993217}"
"measuring O3 2,measuring PM10,","{'Mean': 1790.8113359376919, 'Std': 86.26901114805135}","{'Mean': 1648.4109575531886, 'Std': 101.26357375083624}","{'Mean': 1729.13853981334, 'Std': 43.74607964651005}","{'Mean': 1739.5614672754473, 'Std': 42.22106817533446}"
"measuring PM10,temperature,","{'Mean': 1760.7383215509801, 'Std': 70.05033587914664}","{'Mean': 1652.8353195139982, 'Std': 87.63346279939753}","{'Mean': 1719.9742152569734, 'Std': 41.04993516491024}","{'Mean': 1742.7319443299557, 'Std': 23.807333571662166}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': 1737.766547788542, 'Std': 136.32853043592982}","{'Mean': 1694.8428444798255, 'Std': 142.0053922269157}","{'Mean': 1741.439472906919, 'Std': 92.4178888612249}","{'Mean': 1724.605395180728, 'Std': 138.60720125894247}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': 1763.3941975154587, 'Std': 213.0927050696523}","{'Mean': 1663.5438691575991, 'Std': 124.20717173807894}","{'Mean': 1748.8949042557276, 'Std': 164.5209665508703}","{'Mean': 1727.5670508999083, 'Std': 151.5613199725871}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': 1731.2126039118841, 'Std': 107.41261874415846}","{'Mean': 1653.1022657064914, 'Std': 125.79399705708177}","{'Mean': 1747.3221562938063, 'Std': 143.65846978563513}","{'Mean': 1745.8065391905795, 'Std': 112.94592166846978}"
"measuring CO,measuring PM10,temperature,","{'Mean': 1761.1119989693304, 'Std': 142.79699751675915}","{'Mean': 1666.6791371989277, 'Std': 111.60376275348708}","{'Mean': 1719.952516181127, 'Std': 144.7052051447969}","{'Mean': 1720.3964042627983, 'Std': 140.1940918955366}"
