,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring PM10,","{'Mean': 1699.7065822279683, 'Std': 72.29562278894691}","{'Mean': 1678.2806276313452, 'Std': 93.6252947154487}","{'Mean': 1705.5903629743113, 'Std': 112.76955760610817}","{'Mean': 1719.5139893464263, 'Std': 73.94861497201943}"
"measuring CO,measuring PM10,","{'Mean': 1743.981751831396, 'Std': 127.1566197632713}","{'Mean': 1693.7569701829325, 'Std': 129.90642340734988}","{'Mean': 1768.9434519618599, 'Std': 117.68729645105756}","{'Mean': 1741.113967716854, 'Std': 136.08443754620487}"
"measuring NO2,measuring PM10,","{'Mean': 1697.4233634124512, 'Std': 76.96390124056241}","{'Mean': 1692.1789633094977, 'Std': 103.14925794840117}","{'Mean': 1712.3717180879278, 'Std': 87.82282342334138}","{'Mean': 1710.6249860277803, 'Std': 81.89968038869067}"
"measuring O3 1,measuring PM10,","{'Mean': 1697.1746766860233, 'Std': 96.6711853110102}","{'Mean': 1674.1011225798095, 'Std': 106.01302290689239}","{'Mean': 1692.84573979157, 'Std': 113.79897552119634}","{'Mean': 1722.8225988331449, 'Std': 91.03052744993215}"
"measuring O3 2,measuring PM10,","{'Mean': 1802.4529348968938, 'Std': 86.26901114805135}","{'Mean': 1660.0525565123908, 'Std': 101.26357375083624}","{'Mean': 1740.7801387725422, 'Std': 43.74607964651005}","{'Mean': 1751.2030662346494, 'Std': 42.22106817533446}"
"measuring PM10,temperature,","{'Mean': 1772.3799205101823, 'Std': 70.05033587914664}","{'Mean': 1664.4769184732004, 'Std': 87.63346279939753}","{'Mean': 1731.6158142161757, 'Std': 41.04993516491024}","{'Mean': 1754.3735432891579, 'Std': 23.807333571662166}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': 1753.2886797341446, 'Std': 136.32853043592982}","{'Mean': 1710.3649764254285, 'Std': 142.0053922269157}","{'Mean': 1756.9616048525215, 'Std': 92.4178888612249}","{'Mean': 1740.1275271263305, 'Std': 138.60720125894247}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': 1778.9163294610614, 'Std': 213.0927050696523}","{'Mean': 1679.0660011032016, 'Std': 124.20717173807894}","{'Mean': 1764.4170362013303, 'Std': 164.5209665508703}","{'Mean': 1743.0891828455112, 'Std': 151.5613199725871}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': 1746.7347358574868, 'Std': 107.41261874415846}","{'Mean': 1668.6243976520939, 'Std': 125.79399705708177}","{'Mean': 1762.844288239409, 'Std': 143.65846978563513}","{'Mean': 1761.3286711361823, 'Std': 112.94592166846978}"
"measuring CO,measuring PM10,temperature,","{'Mean': 1776.634130914933, 'Std': 142.79699751675915}","{'Mean': 1682.2012691445307, 'Std': 111.60376275348708}","{'Mean': 1735.4746481267296, 'Std': 144.7052051447969}","{'Mean': 1735.918536208401, 'Std': 140.1940918955366}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 1744.5350728611659, 'Std': 64.59687154861425}","{'Mean': 1692.2967545464162, 'Std': 121.75837461971442}","{'Mean': 1694.6506650846313, 'Std': 122.5071426856498}","{'Mean': 1709.7517351932174, 'Std': 103.65510657176364}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 1811.5031069842187, 'Std': 82.24544417487978}","{'Mean': 1672.9418612794973, 'Std': 110.53229339804756}","{'Mean': 1731.6483383105497, 'Std': 49.59993313404998}","{'Mean': 1758.7658781689324, 'Std': 34.948982279707025}"
"measuring NO2,measuring PM10,temperature,","{'Mean': 1795.6353537148946, 'Std': 79.82893091289674}","{'Mean': 1677.8160454299032, 'Std': 98.53128378665002}","{'Mean': 1733.399470081589, 'Std': 51.97610861603678}","{'Mean': 1746.4706935438105, 'Std': 36.201014998278715}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1748.4996038525787, 'Std': 63.242180585719055}","{'Mean': 1660.0099521595375, 'Std': 111.52327555068261}","{'Mean': 1725.253556354143, 'Std': 81.64941841801276}","{'Mean': 1757.9017398932147, 'Std': 66.78075071981549}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': 1800.7833006628532, 'Std': 61.61945753143475}","{'Mean': 1667.2433574866784, 'Std': 96.02671591811956}","{'Mean': 1740.1849754411335, 'Std': 60.31401476583373}","{'Mean': 1771.3983646829292, 'Std': 44.92027543568377}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': 1844.7285077333233, 'Std': 109.46632750647584}","{'Mean': 1672.0070953180548, 'Std': 86.9720344932963}","{'Mean': 1752.6190282689506, 'Std': 48.194833524859526}","{'Mean': 1792.5188818114382, 'Std': 30.009663642109427}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 1812.0389812165283, 'Std': 221.01192124441428}","{'Mean': 1697.6292736921314, 'Std': 139.20403738194858}","{'Mean': 1762.143499117453, 'Std': 142.55848501151308}","{'Mean': 1753.68601989461, 'Std': 169.23998344237063}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 1778.0585461351031, 'Std': 91.00828408248054}","{'Mean': 1684.7053989044298, 'Std': 137.79070484368216}","{'Mean': 1751.6974435858192, 'Std': 114.93184266023339}","{'Mean': 1753.417579317329, 'Std': 101.7766878385018}"
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': 1810.9177395377171, 'Std': 143.67455147367045}","{'Mean': 1697.6360026802697, 'Std': 124.8390711579849}","{'Mean': 1739.131941324511, 'Std': 113.49568741466177}","{'Mean': 1733.1696618828043, 'Std': 130.94895452604317}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1924.697876936083, 'Std': 290.2653355563616}","{'Mean': 1660.6556504037026, 'Std': 121.07185390550168}","{'Mean': 1778.3627330106938, 'Std': 184.34254578455023}","{'Mean': 1779.0652807945978, 'Std': 144.2186624906558}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': 1967.433234003359, 'Std': 219.15573866919163}","{'Mean': 1677.6169604000513, 'Std': 105.51597235053585}","{'Mean': 1771.2096493253778, 'Std': 190.9700936410557}","{'Mean': 1751.282317186662, 'Std': 157.78696507251126}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': 1857.7415268227112, 'Std': 115.48697421732442}","{'Mean': 1688.3452630651245, 'Std': 109.460522586633}","{'Mean': 1777.16742794757, 'Std': 122.6245021746993}","{'Mean': 1780.0095769498614, 'Std': 91.63725553047}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1751.6013539844162, 'Std': 88.95402097500666}","{'Mean': 1676.666074810619, 'Std': 125.8512910587049}","{'Mean': 1713.3956459038388, 'Std': 100.09061323534739}","{'Mean': 1763.6262059476442, 'Std': 63.62461157721863}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1821.5221594759507, 'Std': 83.40794342107411}","{'Mean': 1683.8848885477867, 'Std': 111.57212785298576}","{'Mean': 1728.0858950741974, 'Std': 75.82629651888126}","{'Mean': 1749.5983801769114, 'Std': 52.49460424267323}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1832.1523859213237, 'Std': 63.7013620104538}","{'Mean': 1684.9497358955607, 'Std': 98.0167957342621}","{'Mean': 1746.294852662984, 'Std': 57.05767299513691}","{'Mean': 1788.1871315495528, 'Std': 38.097863579231415}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1858.7496868143546, 'Std': 100.85612115228686}","{'Mean': 1675.7523123115477, 'Std': 96.75268879263828}","{'Mean': 1737.4737247498824, 'Std': 76.99324822246646}","{'Mean': 1797.3958208914676, 'Std': 43.490838727773394}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1907.2884722588872, 'Std': 284.0336865537991}","{'Mean': 1678.603229413612, 'Std': 135.6442703918272}","{'Mean': 1764.1735820443803, 'Std': 156.62998660386302}","{'Mean': 1781.3458158932415, 'Std': 145.77183964308438}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1908.5773861466514, 'Std': 289.32765926490373}","{'Mean': 1694.6531400251463, 'Std': 121.20972177018949}","{'Mean': 1767.346233156757, 'Std': 157.02006978988675}","{'Mean': 1755.1122076718755, 'Std': 146.36817516124182}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1878.8624035021196, 'Std': 119.36596489682559}","{'Mean': 1703.0046899585384, 'Std': 123.48656990659468}","{'Mean': 1782.9055485380334, 'Std': 86.08449509355053}","{'Mean': 1801.649904177557, 'Std': 109.7807148550862}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 2001.1821218468442, 'Std': 257.4314572212764}","{'Mean': 1683.5301561834904, 'Std': 102.09131569698633}","{'Mean': 1792.0793543020106, 'Std': 166.50839821415573}","{'Mean': 1801.0192259585383, 'Std': 110.94081477362629}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1923.2807901080248, 'Std': 112.4665248296242}","{'Mean': 1691.7930728019812, 'Std': 112.40103227153827}","{'Mean': 1737.2798112131088, 'Std': 86.54161196507042}","{'Mean': 1796.6029265925663, 'Std': 47.301589577826995}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 2124.5804110195263, 'Std': 416.5841618681449}","{'Mean': 1699.7941990588406, 'Std': 118.86854106569872}","{'Mean': 1774.8126570609932, 'Std': 136.2651621745234}","{'Mean': 1809.1567670010309, 'Std': 129.33248271629634}"
