,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring PM10,","{'Mean': -7.956445634547514, 'Std': 0.8113951671046464}","{'Mean': -7.707673281985245, 'Std': 0.8920533974179593}","{'Mean': -7.974913162329922, 'Std': 1.3279560414663214}","{'Mean': -8.386989188669135, 'Std': 0.7329370003974714}"
"measuring CO,measuring PM10,","{'Mean': -8.778279535148124, 'Std': 1.9919115409903034}","{'Mean': -8.017237824786662, 'Std': 1.8271920012365122}","{'Mean': -9.225314543131349, 'Std': 1.9281851725991495}","{'Mean': -8.823827953562786, 'Std': 2.0881025627413368}"
"measuring NO2,measuring PM10,","{'Mean': -7.860018783293127, 'Std': 0.7877756745910085}","{'Mean': -7.816179379590821, 'Std': 1.031340213485374}","{'Mean': -8.097134063268912, 'Std': 0.9919860122131051}","{'Mean': -8.130025783042493, 'Std': 0.9074498776432536}"
"measuring O3 1,measuring PM10,","{'Mean': -7.879365045233268, 'Std': 1.032098798146314}","{'Mean': -7.563383985605129, 'Std': 1.0549836204418959}","{'Mean': -7.8370430900952535, 'Std': 1.2336461815632138}","{'Mean': -8.274384065443948, 'Std': 1.0229407871931169}"
"measuring O3 2,measuring PM10,","{'Mean': -9.226837527440663, 'Std': 1.5062575082422045}","{'Mean': -7.40828865594971, 'Std': 1.0136505428655982}","{'Mean': -8.516572415129573, 'Std': 0.6626458530222401}","{'Mean': -8.579160531338141, 'Std': 0.5473863185601598}"
"measuring PM10,temperature,","{'Mean': -8.802787346756277, 'Std': 1.287919969372632}","{'Mean': -7.38587901853404, 'Std': 1.0883839666982091}","{'Mean': -8.263347456382972, 'Std': 0.6919374143797722}","{'Mean': -8.542077405745328, 'Std': 0.6140433584176618}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -8.81273896132594, 'Std': 2.1877929250275554}","{'Mean': -8.203128740262727, 'Std': 2.050007871731229}","{'Mean': -8.832059616299349, 'Std': 1.5129411267168429}","{'Mean': -8.701927327648603, 'Std': 2.070286038405753}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -9.566867750617508, 'Std': 3.724127773690693}","{'Mean': -7.726437920968177, 'Std': 1.686015761676925}","{'Mean': -9.155825170739154, 'Std': 2.650477623845636}","{'Mean': -8.811269307270733, 'Std': 2.3694975526507953}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -8.607674844959325, 'Std': 1.605748671835044}","{'Mean': -7.625555088409222, 'Std': 1.6252540103180504}","{'Mean': -9.040511321065607, 'Std': 2.296102857206313}","{'Mean': -8.850989376799498, 'Std': 1.817149826657538}"
"measuring CO,measuring PM10,temperature,","{'Mean': -9.136224047456752, 'Std': 2.1464624465173214}","{'Mean': -7.688012043064909, 'Std': 1.6380635272991957}","{'Mean': -8.694850993130682, 'Std': 2.1713272733763676}","{'Mean': -8.660125727360775, 'Std': 2.122492294568839}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -8.349034578139475, 'Std': 0.8663814765109439}","{'Mean': -7.723204190453115, 'Std': 1.270819599346089}","{'Mean': -7.840805336809776, 'Std': 1.2813970238623}","{'Mean': -7.9734566991981835, 'Std': 1.1460898441479106}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -8.855080279704156, 'Std': 1.1686271358768034}","{'Mean': -7.507866993638121, 'Std': 1.1317082290326816}","{'Mean': -8.226479470194787, 'Std': 0.7491654441849755}","{'Mean': -8.538075249378164, 'Std': 0.6387689772448856}"
"measuring NO2,measuring PM10,temperature,","{'Mean': -8.784944843909047, 'Std': 1.28104187935044}","{'Mean': -7.496838282339289, 'Std': 1.2156915776502777}","{'Mean': -8.139148063676366, 'Std': 0.7896753750295681}","{'Mean': -8.343237211401322, 'Std': 0.6516659625116262}"
