,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring PM10,","{'Mean': -113.95154131118521, 'Std': 23.745268652518146}","{'Mean': -108.75633742144662, 'Std': 28.227914439794137}","{'Mean': -119.23304912898072, 'Std': 37.642944052612904}","{'Mean': -120.52546050277742, 'Std': 25.347397108982467}"
"measuring CO,measuring PM10,","{'Mean': -132.7905102129492, 'Std': 50.66718465334975}","{'Mean': -115.54006812005544, 'Std': 43.53561668306443}","{'Mean': -141.03261678838223, 'Std': 49.89750653525688}","{'Mean': -132.9396212269659, 'Std': 53.7393852629767}"
"measuring NO2,measuring PM10,","{'Mean': -111.65693383457837, 'Std': 24.294991673032214}","{'Mean': -112.06275956714086, 'Std': 32.35392050817549}","{'Mean': -117.28940808346398, 'Std': 29.685238989981652}","{'Mean': -116.21011836527008, 'Std': 26.916998189563095}"
"measuring O3 1,measuring PM10,","{'Mean': -113.15119764393471, 'Std': 31.53635646561859}","{'Mean': -106.81258692196572, 'Std': 31.87018879706096}","{'Mean': -113.28063338269943, 'Std': 35.9898791812894}","{'Mean': -121.07467117213109, 'Std': 32.134688288247546}"
"measuring O3 2,measuring PM10,","{'Mean': -150.66577723247065, 'Std': 37.238565686202705}","{'Mean': -102.27708156546055, 'Std': 28.856001154877728}","{'Mean': -124.07421068741964, 'Std': 15.689403319221833}","{'Mean': -127.67076135823226, 'Std': 15.53249387775658}"
"measuring PM10,temperature,","{'Mean': -137.0564383637891, 'Std': 26.285269952434653}","{'Mean': -102.57861668259727, 'Std': 25.790157570200414}","{'Mean': -120.8283735443863, 'Std': 14.347195849629854}","{'Mean': -128.18028879212213, 'Std': 8.63896698606522}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -135.44231142034457, 'Std': 55.57886620412467}","{'Mean': -120.68528466907044, 'Std': 49.984150597323726}","{'Mean': -131.2402825653905, 'Std': 36.285030384583855}","{'Mean': -130.73480006875505, 'Std': 53.483162343858126}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -163.08615860573914, 'Std': 105.25200642114417}","{'Mean': -108.42073807828938, 'Std': 38.80205043333776}","{'Mean': -144.8969850188503, 'Std': 72.51675062972843}","{'Mean': -133.99730067126356, 'Std': 60.72716153708082}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -129.1526228356513, 'Std': 41.739748266957974}","{'Mean': -105.39764768849044, 'Std': 37.6250466268004}","{'Mean': -140.39441987396108, 'Std': 61.305092057282764}","{'Mean': -135.2031971462666, 'Std': 45.9173751974181}"
"measuring CO,measuring PM10,temperature,","{'Mean': -145.76041867471744, 'Std': 63.29051465067162}","{'Mean': -108.14430705090801, 'Std': 35.32702544710105}","{'Mean': -130.17668988997855, 'Std': 56.950569531181316}","{'Mean': -129.6130840671386, 'Std': 54.76314634210654}"
