,Multilinear Regression
"measuring O3 1,","{'Mean': -0.21236268914917722, 'Std': 0.3082017372147665}"
"measuring O3 2,","{'Mean': -0.19384687593070776, 'Std': 0.28285386292958387}"
"measuring CO,measuring O3 1,","{'Mean': -0.31070866967335, 'Std': 0.4994224300932139}"
"measuring CO,measuring O3 2,","{'Mean': -0.2779008993251298, 'Std': 0.4492527327992939}"
"measuring NO2,measuring O3 1,","{'Mean': -0.22113293278251006, 'Std': 0.3022798281666152}"
"measuring NO2,measuring O3 2,","{'Mean': -0.1980076068150209, 'Std': 0.27229857685397735}"
"measuring O3 1,measuring O3 2,","{'Mean': -0.15497092038671456, 'Std': 0.2976942418291435}"
"measuring O3 1,measuring SO2 1,","{'Mean': -0.2156673945940013, 'Std': 0.30866233957600736}"
"measuring O3 1,measuring SO2 2,","{'Mean': -0.18030881957938477, 'Std': 0.2460662904627299}"
"measuring O3 1,measuring PM10,","{'Mean': -0.20481340612455146, 'Std': 0.3498597153224974}"
"measuring O3 1,temperature,","{'Mean': -0.1621567707041247, 'Std': 0.3274231731705082}"
"measuring O3 2,measuring SO2 1,","{'Mean': -0.1868999487932725, 'Std': 0.28022356101787393}"
"measuring O3 2,measuring SO2 2,","{'Mean': -0.1941097857642808, 'Std': 0.2487188501767466}"
"measuring O3 2,measuring PM10,","{'Mean': -0.16925155039000345, 'Std': 0.32873525806545506}"
"measuring O3 2,temperature,","{'Mean': -0.2011030314576348, 'Std': 0.3210684206549578}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': -0.3163051693713924, 'Std': 0.4928127526400205}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': -0.2789991594992963, 'Std': 0.4392165080260875}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': -0.2314162075568474, 'Std': 0.4303478198778555}"
"measuring CO,measuring O3 1,measuring SO2 1,","{'Mean': -0.30910761776827245, 'Std': 0.48744957030814373}"
"measuring CO,measuring O3 1,measuring SO2 2,","{'Mean': -0.2965280790395973, 'Std': 0.3619156319569022}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -0.3123093759034348, 'Std': 0.5775995394483788}"
"measuring CO,measuring O3 1,temperature,","{'Mean': -0.23149067995363012, 'Std': 0.43460014705075617}"
"measuring CO,measuring O3 2,measuring SO2 1,","{'Mean': -0.26184053113004824, 'Std': 0.4299959430611816}"
"measuring CO,measuring O3 2,measuring SO2 2,","{'Mean': -0.3023181192099543, 'Std': 0.4051483907926052}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -0.2587823893000354, 'Std': 0.520973403392759}"
"measuring CO,measuring O3 2,temperature,","{'Mean': -0.27538816961149953, 'Std': 0.44266288332832243}"
"measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -0.16122713890693202, 'Std': 0.2882258209969847}"
"measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -0.22577571287068254, 'Std': 0.3033838133067361}"
"measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -0.1900311872528589, 'Std': 0.2463103069637658}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -0.21385197720934043, 'Std': 0.34395176292457036}"
"measuring NO2,measuring O3 1,temperature,","{'Mean': -0.16796572259873896, 'Std': 0.3176533066853503}"
"measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -0.19238065782461217, 'Std': 0.26943787752154374}"
"measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -0.20110369863172886, 'Std': 0.24260485218007194}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -0.1741873541283734, 'Std': 0.3179653845320577}"
"measuring NO2,measuring O3 2,temperature,","{'Mean': -0.20481467673453344, 'Std': 0.31071381916131957}"
"measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.15556715961286016, 'Std': 0.28662022704324286}"
"measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.15396498785781357, 'Std': 0.25383886075636936}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.14108561889078108, 'Std': 0.334524440061809}"
"measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.17681544369385896, 'Std': 0.3351872821918569}"
"measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.18526717689603778, 'Std': 0.2594706185750007}"
"measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.21261313336766116, 'Std': 0.3458205893876789}"
"measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.16241717823897925, 'Std': 0.302589622178833}"
"measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.1794827841969214, 'Std': 0.2870913581328111}"
"measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.17526929776459743, 'Std': 0.29342268154328127}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': -0.15414495956113838, 'Std': 0.3477484780345587}"
"measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.18907888488361513, 'Std': 0.2571572732140176}"
"measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.16904717045804288, 'Std': 0.3183552643451717}"
"measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.1938413276298241, 'Std': 0.29893032833948807}"
"measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.17849861403056091, 'Std': 0.2992531896407106}"
"measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.22112420024596843, 'Std': 0.30183208034046244}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': -0.18792365195640437, 'Std': 0.3440608466072461}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -0.23554039220978265, 'Std': 0.4200775790160099}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -0.3155924452980196, 'Std': 0.4803050405724148}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -0.29938016248415983, 'Std': 0.3575792310164254}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -0.31839392295316066, 'Std': 0.5715063539220244}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': -0.23617143301041493, 'Std': 0.4242799744216616}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -0.2639188470020046, 'Std': 0.41851053090497076}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -0.3034299786106839, 'Std': 0.40120870330589464}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -0.2609509830791967, 'Std': 0.5112295438884463}"
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -0.2772404334565772, 'Std': 0.43229824229933467}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.22746407318455156, 'Std': 0.41383996215817626}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.24927027170127744, 'Std': 0.3675655811395549}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.2265483071444688, 'Std': 0.5004127745979486}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.24520833423181262, 'Std': 0.43681203057644863}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.29786022008795177, 'Std': 0.3601044641669196}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.31449029983305227, 'Std': 0.5605161075391026}"
"measuring CO,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.2286089189598531, 'Std': 0.41021098862797306}"
"measuring CO,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.3060530470625766, 'Std': 0.4340699238478835}"
"measuring CO,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.2575396133244715, 'Std': 0.39010988529761453}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.23363910281624295, 'Std': 0.48694288870211294}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.2890016604022717, 'Std': 0.3949678408400819}"
"measuring CO,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.24981109401273754, 'Std': 0.4957222073098576}"
"measuring CO,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.26155346876303676, 'Std': 0.41508777008142034}"
"measuring CO,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.2922098840581779, 'Std': 0.48362284981599246}"
"measuring CO,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.3112977268428464, 'Std': 0.4196060770730697}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.2703930921971323, 'Std': 0.5016148942022924}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.16299033869880458, 'Std': 0.27638466547197793}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.16256375924706504, 'Std': 0.24732962397948424}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.14758227889656925, 'Std': 0.3248873723524713}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.18218672215532605, 'Std': 0.32488356159530285}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.19586298384927592, 'Std': 0.2610662528384773}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.22302029806155893, 'Std': 0.3402288114060019}"
"measuring NO2,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.16932071425627965, 'Std': 0.29112999519517246}"
"measuring NO2,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.18964335287486375, 'Std': 0.28630618870503566}"
"measuring NO2,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.18394263939344052, 'Std': 0.2863144135344493}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.16028592132647373, 'Std': 0.3382467591668066}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.19702993363594717, 'Std': 0.25108632892632465}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.17534965949819065, 'Std': 0.30686432957491355}"
"measuring NO2,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.1987263869925608, 'Std': 0.28711919869215774}"
"measuring NO2,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.18674251893038338, 'Std': 0.2929266466204196}"
"measuring NO2,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.2280602191783636, 'Std': 0.2957671044662103}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.19194141393309475, 'Std': 0.3340135330547006}"
"measuring O3 1,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.15596911940758004, 'Std': 0.2525874510082629}"
