,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.1, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.1, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.08106727, -0.03031335, -0.12978993]), 'Test RMSE': array([-12.09907101, -10.25975834,  -9.49760304]), 'Test MAE': array([-9.00789087, -7.03274015, -7.82870589]), 'Test MSE': array([-146.38751919, -105.26264124,  -90.2044635 ]), 'AIC': array([1789.08013004, 1671.01216881, 1615.74424991]), 'BIC': array([1796.84119601, 1678.77323479, 1623.50531588])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.07311318, -0.02161774,  0.04079932]), 'Test RMSE': array([-12.05447858, -10.21637158,  -8.75124621]), 'Test MAE': array([-8.96642973, -7.00557602, -7.1510141 ]), 'Test MSE': array([-145.31045374, -104.37424835,  -76.58431018]), 'AIC': array([1786.43635996, 1667.97790744, 1557.14441757]), 'BIC': array([1794.19742594, 1675.73897341, 1564.90548355])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.24957091, -0.07806496,  0.01864309]), 'Test RMSE': array([-13.00786792, -10.49481853,  -8.85174014]), 'Test MAE': array([-9.85146751, -6.97253669, -7.10073529]), 'Test MSE': array([-169.20462788, -110.14121593,  -78.35330357]), 'AIC': array([1840.93694981, 1687.23126987, 1565.31967133]), 'BIC': array([1848.69801578, 1694.99233584, 1573.0807373 ])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 1, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.14044462, -0.11250049, -0.17093074]), 'Test RMSE': array([-12.42689892, -10.66111368,  -9.66898235]), 'Test MAE': array([-9.41604453, -7.76485666, -7.98006638]), 'Test MSE': array([-154.42781682, -113.65934494,  -93.48921975]), 'AIC': array([1808.22218799, 1698.48766655, 1628.54891557]), 'BIC': array([1815.98325397, 1706.24873253, 1636.30998155])}"
"measuring CO,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=1, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 1, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.50681635, -0.01567158, -0.13432429]), 'Test RMSE': array([-14.28419691, -10.18659682,  -9.51664302]), 'Test MAE': array([-11.58417639,  -7.15905693,  -7.59160528]), 'Test MSE': array([-204.03828147, -103.76675484,  -90.56649433]), 'AIC': array([1909.95413172, 1667.88813857, 1619.17818833]), 'BIC': array([1921.59573068, 1679.52973753, 1630.81978729])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.29584604,  0.04281031,  0.0812139 ]), 'Test RMSE': array([-13.24653737,  -9.88897946,  -8.56490148]), 'Test MAE': array([-10.59537869,  -6.57704439,  -6.87929039]), 'Test MSE': array([-175.47075232,  -97.79191467,  -73.35753737]), 'AIC': array([1855.95511046, 1646.65740073, 1543.73360248]), 'BIC': array([1867.59670941, 1658.29899969, 1555.37520144])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=17))]), 'Best Parameters': {'knn_regressor__n_neighbors': 17}, 'Test R2': array([-0.56088246, -0.0854361 , -0.26304984]), 'Test RMSE': array([-14.53820425, -10.53063594, -10.04212001]), 'Test MAE': array([-11.93550376,  -7.60944629,  -8.13099357]), 'Test MSE': array([-211.35938282, -110.8942932 , -100.84417435]), 'AIC': array([1922.57445162, 1691.67072138, 1657.660386  ]), 'BIC': array([1934.21605058, 1703.31232034, 1669.30198496])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.53647258, -0.03160835, -0.06923792]), 'Test RMSE': array([-14.42407835, -10.26620405,  -9.23958234]), 'Test MAE': array([-11.77423531,  -7.2410101 ,  -7.45623846]), 'Test MSE': array([-208.05403615, -105.39494567,  -85.36988185]), 'AIC': array([1916.93162499, 1673.46185586, 1598.02362542]), 'BIC': array([1928.57322395, 1685.10345482, 1609.66522438])}"
"measuring NO2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.06233198, -0.03708718, -0.06667855]), 'Test RMSE': array([-11.99377214, -10.29342968,  -9.22851759]), 'Test MAE': array([-8.939878  , -7.08278385, -7.5573945 ]), 'Test MSE': array([-143.85057007, -105.9546946 ,  -85.16553683]), 'AIC': array([1784.82146894, 1675.35815042, 1597.165674  ]), 'BIC': array([1796.4630679 , 1686.99974937, 1608.80727296])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.14312415, -0.02650023,  0.04154775]), 'Test RMSE': array([-12.44148917, -10.24075542,  -8.7478314 ]), 'Test MAE': array([-9.27329486, -7.03190083, -7.14334244]), 'Test MSE': array([-154.79065287, -104.87307158,  -76.52455425]), 'AIC': array([1811.0623407 , 1671.6847781 , 1558.86497425]), 'BIC': array([1822.70393966, 1683.32637706, 1570.50657321])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.16506438, -0.04451609, -0.0945766 ]), 'Test RMSE': array([-12.56031778, -10.33023107,  -9.34842059]), 'Test MAE': array([-9.46121593, -7.13134172, -7.69884454]), 'Test MSE': array([-157.76158281, -106.713674  ,  -87.39296744]), 'AIC': array([1817.86840273, 1677.91345077, 1606.40850388]), 'BIC': array([1829.51000169, 1689.55504973, 1618.05010284])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 1, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.12214958, -0.07361958, -0.08956488]), 'Test RMSE': array([-12.32681962, -10.47315858,  -9.32699429]), 'Test MAE': array([-9.40218397, -7.34763166, -7.64026172]), 'Test MSE': array([-151.95048189, -109.68705072,  -86.99282249]), 'AIC': array([1804.43257928, 1687.75201172, 1604.76557021]), 'BIC': array([1816.07417823, 1699.39361068, 1616.40716917])}"
"measuring O3 1,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=1, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 1, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-0.15336293,  0.00351594, -0.0203935 ]), 'Test RMSE': array([-12.49708319, -10.0899182 ,  -9.02607642]), 'Test MAE': array([-9.32747631, -6.99696732, -7.3136515 ]), 'Test MSE': array([-156.17708817, -101.80644923,  -81.47005553]), 'AIC': array([1814.25461474, 1661.06029657, 1581.28432186]), 'BIC': array([1825.8962137 , 1672.70189553, 1592.92592082])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.10215174,  0.03330238,  0.0928074 ]), 'Test RMSE': array([-12.21648766,  -9.93797258,  -8.51069275]), 'Test MAE': array([-9.04972048, -6.70801715, -6.93241433]), 'Test MSE': array([-149.24257069,  -98.76329894,  -72.43189114]), 'AIC': array([1797.99512447, 1650.19593217, 1539.18751421]), 'BIC': array([1809.63672343, 1661.83753113, 1550.82911317])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.18849949, -0.02711596,  0.0735306 ]), 'Test RMSE': array([-12.6860134 , -10.24382634,  -8.6006387 ]), 'Test MAE': array([-9.58168037, -6.96694082, -6.96250808]), 'Test MSE': array([-160.93493605, -104.93597807,  -73.97098603]), 'AIC': array([1824.99805707, 1671.89945448, 1546.71491095]), 'BIC': array([1836.63965603, 1683.54105344, 1558.35650991])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 1, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.22184304, -0.05100905, -0.13220129]), 'Test RMSE': array([-12.86273658, -10.36228889,  -9.50773318]), 'Test MAE': array([-9.68881953, -7.30421952, -7.83011315]), 'Test MSE': array([-165.44999225, -107.37703104,  -90.39699022]), 'AIC': array([1834.90349753, 1680.13197381, 1618.50752828]), 'BIC': array([1846.54509649, 1691.77357277, 1630.14912724])}"
"measuring O3 2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(10, 10),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 0.01, 'mlp_regressor__hidden_layer_sizes': (10, 10)}, 'Test R2': array([-0.02427894, -0.09856223, -1.51828233]), 'Test RMSE': array([-11.77700306, -10.59411784, -14.17971078]), 'Test MAE': array([ -8.76222629,  -7.65877657, -11.25950973]), 'Test MSE': array([-138.69780111, -112.2353327 , -201.06419788]), 'AIC': array([1771.76249557, 1695.97403092, 1904.69748132]), 'BIC': array([1783.40409453, 1707.61562988, 1916.33908028])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.03475659,  0.054564  ,  0.12171856]), 'Test RMSE': array([-11.837085  ,  -9.82807669,  -8.37398184]), 'Test MAE': array([-8.8302555 , -6.54001931, -6.85459116]), 'Test MSE': array([-140.11658133,  -96.59109143,  -70.12357193]), 'AIC': array([1775.40597835, 1642.23417265, 1527.59272165]), 'BIC': array([1787.04757731, 1653.87577161, 1539.23432061])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.07866218, -0.08160409, -0.44858948]), 'Test RMSE': array([-12.08560486, -10.51203089, -10.75444065]), 'Test MAE': array([-9.24360587, -7.64098532, -8.66512605]), 'Test MSE': array([-146.06184486, -110.5027935 , -115.6579937 ]), 'AIC': array([1790.28278546, 1690.40460683, 1706.72822716]), 'BIC': array([1801.92438442, 1702.04620579, 1718.36982612])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.10277419, -0.17483957, -0.42352963]), 'Test RMSE': array([-12.21993687, -10.95574084, -10.66101167]), 'Test MAE': array([-9.25671646, -7.91613552, -8.56462962]), 'Test MSE': array([-149.32685703, -120.0282573 , -113.65716974]), 'AIC': array([1798.19725175, 1720.00633494, 1700.48081514]), 'BIC': array([1809.83885071, 1731.6479339 , 1712.12241409])}"
"measuring PM10,temperature,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.01068657, -0.02738772, -1.1210483 ]), 'Test RMSE': array([-11.69860056, -10.24518143, -13.01338993]), 'Test MAE': array([ -8.76834545,  -7.24291696, -10.39709963]), 'Test MSE': array([-136.85725512, -104.96374257, -169.3483174 ]), 'AIC': array([1766.97996483, 1671.99416342, 1843.24083641]), 'BIC': array([1778.62156378, 1683.63576238, 1854.88243537])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.01578487,  0.07923579,  0.04664285]), 'Test RMSE': array([-11.72806961,  -9.69899381,  -8.72454883]), 'Test MAE': array([-8.82554427, -6.19446135, -7.13763143]), 'Test MSE': array([-137.54761676,  -94.07048098,  -76.11775231]), 'AIC': array([1768.78131758, 1632.76785903, 1556.95678193]), 'BIC': array([1780.42291654, 1644.40945799, 1568.59838089])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.04168531, -0.07007854, -0.40408959]), 'Test RMSE': array([-11.87664939, -10.45587288, -10.58796685]), 'Test MAE': array([-8.89056604, -7.29926625, -8.60021008]), 'Test MSE': array([-141.05480084, -109.32527778, -112.10504202]), 'AIC': array([1777.79515344, 1686.56929445, 1695.55819788]), 'BIC': array([1789.4367524 , 1698.21089341, 1707.19979683])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.03319987, -0.16815811, -0.56922109]), 'Test RMSE': array([-11.82817759, -10.92454312, -11.1932765 ]), 'Test MAE': array([-8.84592885, -7.68564505, -9.09465832]), 'Test MSE': array([-139.90578506, -119.34564247, -125.28943885]), 'AIC': array([1774.86698513, 1717.9645353 , 1735.36431256]), 'BIC': array([1786.50858409, 1729.60613425, 1747.00591152])}"
"measuring CO,measuring NO2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.57797316, -0.00733742, -0.12394766]), 'Test RMSE': array([-14.61757976, -10.14471735,  -9.47301462]), 'Test MAE': array([-11.89479502,  -7.0364352 ,  -7.50698666]), 'Test MSE': array([-213.67363804, -102.91529021,  -89.73800602]), 'AIC': array([1928.47302662, 1666.93842843, 1617.88818831]), 'BIC': array([1943.99515857, 1682.46056037, 1633.41032026])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.40205978,  0.03363131,  0.07976792]), 'Test RMSE': array([-13.77872177,  -9.93628167,  -8.57163851]), 'Test MAE': array([-11.09846493,  -6.62673739,  -6.8841839 ]), 'Test MSE': array([-189.85317374,  -98.72969345,  -73.47298682]), 'AIC': array([1886.1578593 , 1652.07409732, 1546.29657682]), 'BIC': array([1901.67999125, 1667.59622926, 1561.81870877])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=15))]), 'Best Parameters': {'knn_regressor__n_neighbors': 15}, 'Test R2': array([-0.34812429, -0.03972819, -0.31443143]), 'Test RMSE': array([-13.51109766, -10.30652775, -10.24434348]), 'Test MAE': array([-10.91586303,  -7.36967156,  -8.21064426]), 'Test MSE': array([-182.54976007, -106.22451433, -104.9465733 ]), 'AIC': array([1872.11416018, 1678.26865916, 1673.93559938]), 'BIC': array([1887.63629213, 1693.79079111, 1689.45773132])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       min_samples_split=10))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.51561241, -0.02605356, -0.02887967]), 'Test RMSE': array([-14.32582833, -10.23852708,  -9.06353166]), 'Test MAE': array([-11.62862216,  -7.16808571,  -7.30907411]), 'Test MSE': array([-205.22935739, -104.82743671,  -82.14760611]), 'AIC': array([1914.03788495, 1673.52896269, 1586.2493379 ]), 'BIC': array([1929.5600169 , 1689.05109464, 1601.77146984])}"
"measuring CO,measuring O3 1,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(4, 50),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (4, 50)}, 'Test R2': array([-1.30274216,  0.08088491, -0.04634083]), 'Test RMSE': array([-17.65827686,  -9.6903043 ,  -9.14011689]), 'Test MAE': array([-14.81306967,  -6.54162805,  -7.34590553]), 'Test MSE': array([-311.81474153,  -93.90199745,  -83.54173684]), 'AIC': array([2063.78250588, 1634.12609359, 1592.27399307]), 'BIC': array([2079.30463782, 1649.64822554, 1607.79612502])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.1928589 ,  0.08148557,  0.1245646 ]), 'Test RMSE': array([-12.7092582 ,  -9.68713738,  -8.36040308]), 'Test MAE': array([-10.10177276,  -6.35901509,  -6.71852591]), 'Test MSE': array([-161.52524395,  -93.84063067,  -69.89633961]), 'AIC': array([1828.30879543, 1633.89205715, 1528.43075489]), 'BIC': array([1843.83092738, 1649.4141891 , 1543.95288683])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=20))]), 'Best Parameters': {'knn_regressor__n_neighbors': 20}, 'Test R2': array([-0.82661004,  0.04293878, -0.12185046]), 'Test RMSE': array([-15.72709775,  -9.8883158 ,  -9.46417255]), 'Test MAE': array([-12.8769392 ,  -6.90471698,  -7.68581933]), 'Test MSE': array([-247.34160377,  -97.77878931,  -89.57056197]), 'AIC': array([1980.85580047, 1648.60934775, 1617.21956455]), 'BIC': array([1996.37793242, 1664.1314797 , 1632.74169649])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.6186777 ,  0.01304597, -0.02670086]), 'Test RMSE': array([-14.80491294, -10.04155408,  -9.0539299 ]), 'Test MAE': array([-12.15662875,  -6.97064424,  -7.30653493]), 'Test MSE': array([-219.18544717, -100.83280828,  -81.97364657]), 'AIC': array([1937.59070207, 1659.62003382, 1585.49041681]), 'BIC': array([1953.11283401, 1675.14216577, 1601.01254875])}"
"measuring CO,measuring O3 2,measuring PM10,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.38941791,  0.0060778 , -0.22456928]), 'Test RMSE': array([-13.71646222, -10.07693977,  -9.88796327]), 'Test MAE': array([-10.80897643,  -7.02396434,  -7.99008376]), 'Test MSE': array([-188.14133576, -101.54471512,  -97.77181762]), 'AIC': array([1882.91526095, 1662.13872956, 1648.58382123]), 'BIC': array([1898.43739289, 1677.6608615 , 1664.10595318])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.15411448,  0.08540583,  0.16742895]), 'Test RMSE': array([-12.50115417,  -9.66644274,  -8.1531572 ]), 'Test MAE': array([-9.91205954, -6.27957413, -6.6850316 ]), 'Test MSE': array([-156.27885554,  -93.44011522,  -66.4739723 ]), 'AIC': array([1816.48781704, 1632.36082928, 1510.4581508 ]), 'BIC': array([1832.00994899, 1647.88296122, 1525.98028275])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=17))]), 'Best Parameters': {'knn_regressor__n_neighbors': 17}, 'Test R2': array([-0.67671241,  0.0251813 , -0.18417077]), 'Test RMSE': array([-15.06797724,  -9.97962895,  -9.72349359]), 'Test MAE': array([-12.24146011,  -6.96719694,  -7.91287692]), 'Test MSE': array([-227.04393811,  -99.59299399,  -94.54632753]), 'AIC': array([1950.20139401, 1655.19087178, 1636.57420309]), 'BIC': array([1965.72352596, 1670.71300373, 1652.09633503])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=4))]), 'Best Parameters': {'random_forest_regressor__max_depth': 10, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 2, 'random_forest_regressor__n_estimators': 100}, 'Test R2': array([-0.4768856 , -0.0443151 , -0.23908903]), 'Test RMSE': array([-14.14161773, -10.32923711,  -9.94641141]), 'Test MAE': array([-11.37681147,  -7.17793529,  -7.99822137]), 'Test MSE': array([-199.98535214, -106.69313928,  -98.93110002]), 'AIC': array([1904.77139659, 1679.84455484, 1652.80366613]), 'BIC': array([1920.29352854, 1695.36668679, 1668.32579808])}"
"measuring CO,measuring PM10,temperature,","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('mlp_regressor',
                 MLPRegressor(alpha=10, hidden_layer_sizes=(200,),
                              max_iter=1000, random_state=42,
                              solver='lbfgs'))]), 'Best Parameters': {'mlp_regressor__alpha': 10, 'mlp_regressor__hidden_layer_sizes': (200,)}, 'Test R2': array([-0.73721893, -0.00831273, -0.24031752]), 'Test RMSE': array([-15.33744232, -10.14962728,  -9.95134088]), 'Test MAE': array([-12.13419468,  -7.2248304 ,  -8.04964706]), 'Test MSE': array([-235.23713683, -103.01493385,  -99.02918535]), 'AIC': array([1962.89268718, 1667.28488001, 1653.15842972]), 'BIC': array([1978.41481912, 1682.80701196, 1668.68056167])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('linear_regressor', LinearRegression())]), 'Best Parameters': {}, 'Test R2': array([-0.15970518,  0.0936447 ,  0.06316439]), 'Test RMSE': array([-12.53139629,  -9.62280547,  -8.64862087]), 'Test MAE': array([-9.92932876, -6.06015282, -7.07455456]), 'Test MSE': array([-157.03589303,  -92.59838517,  -74.79864295]), 'AIC': array([1818.21783421, 1629.12126958, 1552.69830781]), 'BIC': array([1833.73996616, 1644.64340152, 1568.22043975])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('knn_regressor', KNeighborsRegressor(n_neighbors=13))]), 'Best Parameters': {'knn_regressor__n_neighbors': 13}, 'Test R2': array([-0.55433436,  0.06566708, -0.05960321]), 'Test RMSE': array([-14.50767738,  -9.7701964 ,  -9.19786002]), 'Test MAE': array([-11.74391227,  -6.85502338,  -7.48561732]), 'Test MSE': array([-210.47270291,  -95.45673775,  -84.60062901]), 'AIC': array([1923.06943631, 1640.00498303, 1596.7831292 ]), 'BIC': array([1938.59156826, 1655.52711498, 1612.30526115])}","{'Best Model': Pipeline(steps=[('scaler', StandardScaler()),
                ('random_forest_regressor',
                 RandomForestRegressor(min_samples_leaf=4, min_samples_split=10,
                                       n_estimators=150))]), 'Best Parameters': {'random_forest_regressor__max_depth': None, 'random_forest_regressor__min_samples_leaf': 4, 'random_forest_regressor__min_samples_split': 10, 'random_forest_regressor__n_estimators': 150}, 'Test R2': array([-0.52667625,  0.04798863, -0.06271237]), 'Test RMSE': array([-14.3780219 ,  -9.86219387,  -9.21134466]), 'Test MAE': array([-11.64026009,  -6.85931795,  -7.48079914]), 'Test MSE': array([-206.72751386,  -97.26286793,  -84.8488704 ]), 'AIC': array([1916.64176133, 1646.71539047, 1597.83206098]), 'BIC': array([1932.16389328, 1662.23752242, 1613.35419293])}"
