,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring PM10,","{'Mean': -10.61881079576717, 'Std': 1.0919700521918172}","{'Mean': -10.340698789144673, 'Std': 1.3514014849882792}","{'Mean': -10.784808864602184, 'Std': 1.709077787281465}","{'Mean': -10.918998319132976, 'Std': 1.1405859062554686}"
"measuring CO,measuring PM10,","{'Mean': -11.329145584954562, 'Std': 2.1073610340550895}","{'Mean': -10.566806102293041, 'Std': 1.9704509424489611}","{'Mean': -11.70365339929167, 'Std': 2.014227866362382}","{'Mean': -11.309954914157606, 'Std': 2.2415488097938296}"
"measuring NO2,measuring PM10,","{'Mean': -10.505239801293271, 'Std': 1.138802244422657}","{'Mean': -10.476691999086881, 'Std': 1.5171302921666858}","{'Mean': -10.7463231467621, 'Std': 1.343855241024538}","{'Mean': -10.708990830524646, 'Std': 1.235974820540106}"
"measuring O3 1,measuring PM10,","{'Mean': -10.537692601154584, 'Std': 1.4519753054052402}","{'Mean': -10.22171766255125, 'Std': 1.5261307116540004}","{'Mean': -10.51015948023119, 'Std': 1.6784460321398107}","{'Mean': -10.91091954908636, 'Std': 1.423553920824986}"
"measuring O3 2,measuring PM10,","{'Mean': -12.183610559788335, 'Std': 1.4917811367237555}","{'Mean': -10.013047845461395, 'Std': 1.419843093430212}","{'Mean': -11.11735880157474, 'Std': 0.6917687218053985}","{'Mean': -11.278896456835296, 'Std': 0.6762071237575643}"
"measuring PM10,temperature,","{'Mean': -11.6523906405193, 'Std': 1.1305886628333588}","{'Mean': -10.050537417762554, 'Std': 1.2511252122597885}","{'Mean': -10.973496376331978, 'Std': 0.6408984498462037}","{'Mean': -11.315332404732972, 'Std': 0.3788685293370428}"
"measuring CO,measuring NO2,measuring PM10,","{'Mean': -11.411770578667422, 'Std': 2.28337550135872}","{'Mean': -10.762213986633308, 'Std': 2.204548655617482}","{'Mean': -11.353989631572587, 'Std': 1.5255169653375529}","{'Mean': -11.209295688823628, 'Std': 2.2553248611397545}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': -12.16289935050777, 'Std': 3.8923049720129614}","{'Mean': -10.252266219374528, 'Std': 1.8198284109666176}","{'Mean': -11.693195365787332, 'Std': 2.857650635816067}","{'Mean': -11.300132304481814, 'Std': 2.51083861936009}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -11.227121752289008, 'Std': 1.7619194064798367}","{'Mean': -10.10691803518278, 'Std': 1.8021807674557804}","{'Mean': -11.59036659232379, 'Std': 2.4612643355612365}","{'Mean': -11.47242208619131, 'Std': 1.89386605189923}"
"measuring CO,measuring PM10,temperature,","{'Mean': -11.812803491719066, 'Std': 2.4936103025026326}","{'Mean': -10.267607545012302, 'Std': 1.6494066668091452}","{'Mean': -11.158577934787822, 'Std': 2.3796698013054027}","{'Mean': -11.150520143889418, 'Std': 2.297604097283715}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -11.109397327015953, 'Std': 1.0285129985668877}","{'Mean': -10.436606600074605, 'Std': 1.8051844691138363}","{'Mean': -10.472250292368809, 'Std': 1.8120261935832302}","{'Mean': -10.650978436085914, 'Std': 1.5642998172798321}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -12.229383435512593, 'Std': 1.4249328571627922}","{'Mean': -10.131322808309262, 'Std': 1.5750627201227343}","{'Mean': -10.892649481320639, 'Std': 0.7720892403228752}","{'Mean': -11.299169086837018, 'Std': 0.5605601956901172}"
"measuring NO2,measuring PM10,temperature,","{'Mean': -11.956205734753512, 'Std': 1.3383308578572233}","{'Mean': -10.176369136582643, 'Std': 1.4293345898645273}","{'Mean': -10.921780217549966, 'Std': 0.8050387718824712}","{'Mean': -11.107775701745666, 'Std': 0.5710590515942159}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -11.168294189807263, 'Std': 0.9832943078777041}","{'Mean': -9.952216954145946, 'Std': 1.5627981775170348}","{'Mean': -10.841392691162099, 'Std': 1.2779564892187945}","{'Mean': -11.322112900243974, 'Std': 1.0882266565957632}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': -12.0119149803597, 'Std': 1.028527898563737}","{'Mean': -10.022440753703584, 'Std': 1.3733914217928158}","{'Mean': -11.036180988944793, 'Std': 0.9518235224579752}","{'Mean': -11.508965896897033, 'Std': 0.716773834566722}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': -12.879118667488347, 'Std': 2.051119969359638}","{'Mean': -10.072524848536927, 'Std': 1.2432523291189832}","{'Mean': -11.214858416105223, 'Std': 0.7718214920539237}","{'Mean': -11.840615962904431, 'Std': 0.48898395003002226}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -12.675959273962684, 'Std': 4.176717375682615}","{'Mean': -10.477352772400723, 'Std': 2.0979195627161533}","{'Mean': -11.477501372027804, 'Std': 2.3744445577772315}","{'Mean': -11.441093489899957, 'Std': 2.849249226747832}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -11.594637839966614, 'Std': 1.5291045403644288}","{'Mean': -10.28466928605957, 'Std': 2.0197705506530554}","{'Mean': -11.231698006224539, 'Std': 1.8872360178065741}","{'Mean': -11.225735533134866, 'Std': 1.6564215865300385}"
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -12.294010593091782, 'Std': 2.6117528209059153}","{'Mean': -10.438488075631142, 'Std': 1.8833120739242994}","{'Mean': -11.031185348553509, 'Std': 1.803899089457753}","{'Mean': -10.988615490507662, 'Std': 2.108546098506138}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -15.408113728307711, 'Std': 6.8001271045439795}","{'Mean': -9.901502687676945, 'Std': 1.6920630334608873}","{'Mean': -11.910406152069433, 'Std': 3.271384153390263}","{'Mean': -11.759951983069309, 'Std': 2.4939842286527427}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -15.737438187227445, 'Std': 5.161476327019188}","{'Mean': -10.10513608953746, 'Std': 1.5312153773269785}","{'Mean': -11.822953781724514, 'Std': 3.3728399286864215}","{'Mean': -11.360404928613727, 'Std': 2.648473839450943}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -13.01602555931875, 'Std': 2.0082814992730396}","{'Mean': -10.266503530213615, 'Std': 1.6168722483895643}","{'Mean': -11.66050380875631, 'Std': 2.1007286414584674}","{'Mean': -11.627088982487912, 'Std': 1.5322288692626032}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -11.168057830449015, 'Std': 1.396754909752961}","{'Mean': -10.13765821594832, 'Std': 1.8092094698288543}","{'Mean': -10.611042419518903, 'Std': 1.5230889869568323}","{'Mean': -11.31496970724533, 'Std': 1.0349030712282707}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -12.301511712163688, 'Std': 1.4256948198658161}","{'Mean': -10.207270800927224, 'Std': 1.6345158523071985}","{'Mean': -10.785353729177691, 'Std': 1.177717394928217}","{'Mean': -11.081090665056616, 'Std': 0.8322933205849722}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -12.45018988494433, 'Std': 1.0956075764011262}","{'Mean': -10.193078707131226, 'Std': 1.4221366264213582}","{'Mean': -11.0355787839288, 'Std': 0.9019714909279165}","{'Mean': -11.679094225706955, 'Std': 0.6094339735877813}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -13.000093722915167, 'Std': 1.8534330434390929}","{'Mean': -10.060724569131873, 'Std': 1.3897120699993561}","{'Mean': -10.929535850666662, 'Std': 1.209070041560344}","{'Mean': -11.835288744949523, 'Std': 0.7051635898690016}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -14.859319859120257, 'Std': 6.419145865401742}","{'Mean': -10.107775902402391, 'Std': 1.949020730880867}","{'Mean': -11.466646420814499, 'Std': 2.6371800285981735}","{'Mean': -11.705668086748313, 'Std': 2.500425248441581}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -14.933985579869011, 'Std': 6.573673132724863}","{'Mean': -10.30075953327325, 'Std': 1.8025496111924215}","{'Mean': -11.51907583951678, 'Std': 2.656867977454106}","{'Mean': -11.286990491370405, 'Std': 2.427143495404077}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -13.309768827156452, 'Std': 2.1638789575863386}","{'Mean': -10.427408328889603, 'Std': 1.8589376831614168}","{'Mean': -11.567767102748055, 'Std': 1.4418591455395837}","{'Mean': -11.929407064753567, 'Std': 1.887936067515744}"
