,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring SO2 1,","{'Mean': -8.874295043551312, 'Std': 2.64188055031228}","{'Mean': -9.011808356295793, 'Std': 2.5849634521404496}","{'Mean': -7.6437048951048965, 'Std': 2.6477039175079673}","{'Mean': -9.203294737483425, 'Std': 2.606354080085642}"
"measuring SO2 2,","{'Mean': -8.732906643064767, 'Std': 2.8584091502801994}","{'Mean': -9.153459229220408, 'Std': 2.722030307451551}","{'Mean': -10.913586013986011, 'Std': 2.391457576156722}","{'Mean': -8.801750978074512, 'Std': 2.2419352693322856}"
"measuring CO,measuring SO2 1,","{'Mean': -8.48426532312914, 'Std': 2.1703773276548923}","{'Mean': -9.362059652896754, 'Std': 4.27792472336666}","{'Mean': -9.728057342657342, 'Std': 4.418513932951201}","{'Mean': -8.362584877335628, 'Std': 2.422978564347156}"
"measuring CO,measuring SO2 2,","{'Mean': -9.260818664245821, 'Std': 2.6742353276068154}","{'Mean': -9.664964719821647, 'Std': 3.7311106145084256}","{'Mean': -11.721162237762238, 'Std': 3.8792983194423103}","{'Mean': -8.410515639102673, 'Std': 1.9712919124647437}"
"measuring NO2,measuring SO2 1,","{'Mean': -9.405491575606202, 'Std': 2.3152567909004387}","{'Mean': -9.147679522793949, 'Std': 2.5711566510199972}","{'Mean': -8.388390209790211, 'Std': 2.6167779241195874}","{'Mean': -9.12332656617743, 'Std': 2.4457307766797562}"
"measuring NO2,measuring SO2 2,","{'Mean': -8.96783106243405, 'Std': 1.9543658347616704}","{'Mean': -9.248371024543689, 'Std': 2.7158972558285335}","{'Mean': -10.712521678321679, 'Std': 2.6002345992505966}","{'Mean': -9.055872450390074, 'Std': 2.22449251897501}"
"measuring O3 1,measuring SO2 1,","{'Mean': -9.007594190563134, 'Std': 2.6739681810679725}","{'Mean': -9.095207589569842, 'Std': 2.3979653538503256}","{'Mean': -7.897285314685314, 'Std': 2.5980261247823497}","{'Mean': -9.061031801956393, 'Std': 2.387153960230055}"
"measuring O3 1,measuring SO2 2,","{'Mean': -10.439952942882268, 'Std': 2.736203019591378}","{'Mean': -9.317154909413961, 'Std': 2.5765717050005885}","{'Mean': -9.956895104895105, 'Std': 1.5914615455627383}","{'Mean': -8.679236620040665, 'Std': 2.343771924399574}"
"measuring O3 2,measuring SO2 1,","{'Mean': -9.023964509189678, 'Std': 2.5317425300810883}","{'Mean': -8.832321332028062, 'Std': 2.1290082578081524}","{'Mean': -11.070008391608393, 'Std': 2.230456836167812}","{'Mean': -8.56387271819833, 'Std': 2.4799431070870948}"
"measuring O3 2,measuring SO2 2,","{'Mean': -8.828773411891905, 'Std': 2.0870865095946813}","{'Mean': -9.046877313122861, 'Std': 2.0558128010606556}","{'Mean': -11.16690909090909, 'Std': 2.745629901413912}","{'Mean': -8.738545915712793, 'Std': 2.393664413229703}"
"measuring SO2 1,measuring SO2 2,","{'Mean': -8.923838388068944, 'Std': 1.8996391756441402}","{'Mean': -9.074745104898204, 'Std': 2.7097768343940074}","{'Mean': -10.046820979020978, 'Std': 1.318872162600384}","{'Mean': -8.795800862378574, 'Std': 2.2217606370985967}"
"measuring SO2 1,measuring PM10,","{'Mean': -8.720485033647405, 'Std': 2.403463393913501}","{'Mean': -9.011117078464016, 'Std': 2.4981949517615294}","{'Mean': -10.06531048951049, 'Std': 2.3774711229412606}","{'Mean': -9.177184465954584, 'Std': 2.5844525830525105}"
"measuring SO2 1,temperature,","{'Mean': -9.00321731256555, 'Std': 2.4370078017668098}","{'Mean': -9.29716564807664, 'Std': 2.682874583914603}","{'Mean': -10.793251748251748, 'Std': 2.991240900646097}","{'Mean': -8.963142593000336, 'Std': 3.193814310665319}"
"measuring SO2 2,measuring PM10,","{'Mean': -8.607799563226582, 'Std': 2.2694268221204457}","{'Mean': -9.19241500047996, 'Std': 2.6564199399424937}","{'Mean': -9.61878181818182, 'Std': 1.470833364471099}","{'Mean': -8.859745596264156, 'Std': 2.22606889040835}"
"measuring SO2 2,temperature,","{'Mean': -8.838735560329933, 'Std': 2.0160602368765708}","{'Mean': -9.612938812695024, 'Std': 2.7447247333119265}","{'Mean': -9.93521958041958, 'Std': 2.3784529229535827}","{'Mean': -9.546412778367415, 'Std': 2.796067762273416}"
"measuring CO,measuring NO2,measuring SO2 1,","{'Mean': -9.670854252604354, 'Std': 1.9770504690250028}","{'Mean': -9.449518135930607, 'Std': 4.20391175202902}","{'Mean': -8.579737062937063, 'Std': 2.5675423121923497}","{'Mean': -8.385902138653556, 'Std': 2.284276604489742}"
"measuring CO,measuring NO2,measuring SO2 2,","{'Mean': -8.595211417447, 'Std': 1.9006322382009064}","{'Mean': -9.648839523872839, 'Std': 3.670437827979366}","{'Mean': -11.187545454545454, 'Std': 3.4550193366997304}","{'Mean': -8.470014215473244, 'Std': 2.2809816776459892}"
"measuring CO,measuring O3 1,measuring SO2 1,","{'Mean': -9.125070247080206, 'Std': 2.7878152854274543}","{'Mean': -9.763328351974739, 'Std': 4.635651502248743}","{'Mean': -8.949970629370629, 'Std': 2.8357830052390436}","{'Mean': -8.380326008202596, 'Std': 2.402815261164061}"
"measuring CO,measuring O3 1,measuring SO2 2,","{'Mean': -9.654987870398376, 'Std': 2.2044074858750458}","{'Mean': -10.147390886992762, 'Std': 4.0946585750517235}","{'Mean': -11.03318181818182, 'Std': 3.191604045975603}","{'Mean': -8.370759160626575, 'Std': 1.9980321265690826}"
