,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring SO2 1,","{'Mean': -0.13479849438233046, 'Std': 0.21926756361793792}","{'Mean': -0.13183083809144075, 'Std': 0.22121494313442297}","{'Mean': -0.3696986807573873, 'Std': 0.3612050769493335}","{'Mean': -0.2254201655259563, 'Std': 0.3602788886978428}"
"measuring SO2 2,","{'Mean': -0.09521050429014803, 'Std': 0.15288162818881706}","{'Mean': -0.16402093529015985, 'Std': 0.27072095069949037}","{'Mean': -1.1209725259244074, 'Std': 1.2939747093633573}","{'Mean': -0.2924902016173953, 'Std': 0.5501078781962063}"
"measuring CO,measuring SO2 1,","{'Mean': -0.10186390799942782, 'Std': 0.235537926784389}","{'Mean': -0.13171479220413224, 'Std': 0.24846750348801971}","{'Mean': -0.7240265685591962, 'Std': 0.6346542225281717}","{'Mean': -0.024369637569278835, 'Std': 0.12834485859716946}"
"measuring CO,measuring SO2 2,","{'Mean': -0.2388222626459527, 'Std': 0.43313309553321977}","{'Mean': -0.13503561388390803, 'Std': 0.21032753621656933}","{'Mean': -1.3596770764542117, 'Std': 1.3129673608581212}","{'Mean': -0.12104914567698591, 'Std': 0.385055652725574}"
"measuring NO2,measuring SO2 1,","{'Mean': -0.3402763276947089, 'Std': 0.5352631284051138}","{'Mean': -0.14244595091782256, 'Std': 0.2335514595048169}","{'Mean': -0.40659289170281215, 'Std': 0.4408563721821905}","{'Mean': -0.18156936467320475, 'Std': 0.2838255250295284}"
"measuring NO2,measuring SO2 2,","{'Mean': -0.2726995156222521, 'Std': 0.43685259728411424}","{'Mean': -0.1718464084056874, 'Std': 0.27958723219714365}","{'Mean': -1.1905834419568382, 'Std': 1.492989507498886}","{'Mean': -0.3633343339806542, 'Std': 0.6760722731928753}"
"measuring O3 1,measuring SO2 1,","{'Mean': -0.10390006767254385, 'Std': 0.12308795213267663}","{'Mean': -0.14480188667265004, 'Std': 0.19281522790588737}","{'Mean': -0.46520807955638704, 'Std': 0.4692224045539992}","{'Mean': -0.1007978107483416, 'Std': 0.15140279877286436}"
"measuring O3 1,measuring SO2 2,","{'Mean': -0.5596912452701519, 'Std': 0.530984369984256}","{'Mean': -0.18923734690911764, 'Std': 0.24783150561316594}","{'Mean': -0.9398044189811436, 'Std': 1.2086537508620512}","{'Mean': -0.2680538539934089, 'Std': 0.5149790584276902}"
"measuring O3 2,measuring SO2 1,","{'Mean': -0.5109753055917594, 'Std': 0.6861295785167173}","{'Mean': -0.195597532449541, 'Std': 0.37850481551177895}","{'Mean': -1.077378366383509, 'Std': 1.1317820008471768}","{'Mean': -0.3078772888057345, 'Std': 0.4250050758786934}"
"measuring O3 2,measuring SO2 2,","{'Mean': -0.26498229749398633, 'Std': 0.40124971655565506}","{'Mean': -0.20248241882836204, 'Std': 0.36304615860699835}","{'Mean': -1.2940922220128726, 'Std': 1.310919583504888}","{'Mean': -0.3390981384885081, 'Std': 0.4631869846152808}"
"measuring SO2 1,measuring SO2 2,","{'Mean': -0.7547141393008497, 'Std': 0.863048530115714}","{'Mean': -0.154921874869123, 'Std': 0.2744340001354539}","{'Mean': -1.1073799293835271, 'Std': 1.4732761116170603}","{'Mean': -0.29199040623410777, 'Std': 0.5407231700674192}"
"measuring SO2 1,measuring PM10,","{'Mean': -0.13859157259278468, 'Std': 0.20459152984157164}","{'Mean': -0.13480953544189936, 'Std': 0.21404538798666348}","{'Mean': -0.6298256618847488, 'Std': 0.6082630718715472}","{'Mean': -0.19769882851777165, 'Std': 0.3147131883504603}"
"measuring SO2 1,temperature,","{'Mean': -0.236804547385766, 'Std': 0.3646091460133048}","{'Mean': -0.15634085414848412, 'Std': 0.3244180674323744}","{'Mean': -1.3473983215898628, 'Std': 1.579356597750114}","{'Mean': -0.4036284222807131, 'Std': 0.6431456554891851}"
"measuring SO2 2,measuring PM10,","{'Mean': -0.11387651524991396, 'Std': 0.19200406868839434}","{'Mean': -0.17094007336957365, 'Std': 0.26410743134114156}","{'Mean': -0.9764104290124809, 'Std': 1.243751113780083}","{'Mean': -0.3115857642176131, 'Std': 0.5995994275172347}"
"measuring SO2 2,temperature,","{'Mean': -0.20940090414234777, 'Std': 0.3067784865659884}","{'Mean': -0.1853083286245653, 'Std': 0.346398366050206}","{'Mean': -1.1563730791794768, 'Std': 1.3531929463617025}","{'Mean': -0.4909758894637169, 'Std': 0.6678519094605109}"
"measuring CO,measuring NO2,measuring SO2 1,","{'Mean': -0.5057077501768378, 'Std': 0.5373853459185124}","{'Mean': -0.13614172970883068, 'Std': 0.24583020835981356}","{'Mean': -0.4730466952628018, 'Std': 0.474323059020991}","{'Mean': -0.05189093523292598, 'Std': 0.19352197768483823}"
"measuring CO,measuring NO2,measuring SO2 2,","{'Mean': -0.1796187243753526, 'Std': 0.2991051799642707}","{'Mean': -0.13306649998255568, 'Std': 0.20661426720118622}","{'Mean': -1.3632697019723081, 'Std': 1.4680856359027197}","{'Mean': -0.1472521652622014, 'Std': 0.44076106763922757}"
"measuring CO,measuring O3 1,measuring SO2 1,","{'Mean': -0.13221322889744236, 'Std': 0.17872093452267215}","{'Mean': -0.18179391697198047, 'Std': 0.31976164131239954}","{'Mean': -0.5001546948228326, 'Std': 0.4452120212002092}","{'Mean': -0.024464372834842353, 'Std': 0.12747297409333097}"
"measuring CO,measuring O3 1,measuring SO2 2,","{'Mean': -0.48163216409194415, 'Std': 0.66020433330131}","{'Mean': -0.19399662558895275, 'Std': 0.2827931689311339}","{'Mean': -1.13883969699896, 'Std': 1.1548060069539445}","{'Mean': -0.12020684976308194, 'Std': 0.3876134741119145}"
"measuring CO,measuring O3 2,measuring SO2 1,","{'Mean': -0.5368857709380288, 'Std': 0.7336685713315759}","{'Mean': -0.12545426128336495, 'Std': 0.24961843861559746}","{'Mean': -1.1455986491704544, 'Std': 1.1126185207448769}","{'Mean': -0.1516383070395529, 'Std': 0.3218406896331672}"
"measuring CO,measuring O3 2,measuring SO2 2,","{'Mean': -0.29906062208564366, 'Std': 0.46117909502960497}","{'Mean': -0.14138873626941575, 'Std': 0.2347037131630195}","{'Mean': -1.2452194609322436, 'Std': 1.329552291067027}","{'Mean': -0.15517361604500962, 'Std': 0.33317600464061153}"
"measuring CO,measuring SO2 1,measuring SO2 2,","{'Mean': -1.1193239731320284, 'Std': 1.50680090035939}","{'Mean': -0.13957444763845214, 'Std': 0.22537651950364956}","{'Mean': -1.2688963024643494, 'Std': 1.3857951231169274}","{'Mean': -0.12094000605988427, 'Std': 0.385206128266525}"
