,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring SO2 1,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([-0.01088159, -0.00456643, -0.57215836, -0.04109936, -0.04528675]), 'Test RMSE': array([-15.18630802, -18.30943996, -10.82761375, -33.96177258,
       -11.62811557]), 'Test MAE': array([ -7.30539302,  -8.05338981,  -8.41163022, -14.00727953,
        -6.59378264])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([-0.0092486 ,  0.00902393, -0.57241453, -0.04109857, -0.04541642]), 'Test RMSE': array([-15.17403702, -18.18516788, -10.82849586, -33.96175975,
       -11.62883682]), 'Test MAE': array([ -7.64349895,  -8.31500708,  -8.49640946, -14.00727749,
        -6.5968488 ])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.03830708, -0.14895942, -0.95739184, -0.08008695, -0.62374812]), 'Test RMSE': array([-15.39093376, -19.58114465, -12.08157342, -34.59183647,
       -14.49275493]), 'Test MAE': array([ -6.21832867,  -7.47860839,  -5.60793706, -12.79400699,
        -6.11964336])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-5.52337458e-03, -1.15023346e-04, -9.40196184e-01, -5.42495235e-02,
       -1.27016722e-01]), 'Test RMSE': array([-15.14600677, -18.26882883, -12.02838814, -34.17558575,
       -12.07415642]), 'Test MAE': array([ -7.4732613 ,  -8.19702227,  -9.21504886, -14.18828222,
        -6.94285903])}"
"measuring SO2 2,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([ 0.002117  , -0.00622985, -0.3993919 , -0.03583383, -0.03671393]), 'Test RMSE': array([-15.08835431, -18.32459267, -10.21537442, -33.87578018,
       -11.58033399]), 'Test MAE': array([ -6.52858981,  -8.58707659,  -7.53687172, -14.2645899 ,
        -6.74740519])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([ 0.00211698, -0.00622448, -0.70257871, -0.03583396, -0.0775845 ]), 'Test RMSE': array([-15.08835446, -18.3245438 , -11.26777615, -33.87578227,
       -11.80639435]), 'Test MAE': array([ -6.5286016 ,  -8.58645268,  -9.16091397, -14.26458308,
        -7.22674482])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.8225663 , -0.1186311 , -3.54437849,  0.062868  , -1.18215474]), 'Test RMSE': array([-20.39124438, -19.32098106, -18.40864652, -32.22141762,
       -16.80097131]), 'Test MAE': array([-14.84298601,  -9.33641259, -10.35926573, -12.10558741,
        -7.92367832])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-0.00780694, -0.01817754, -1.3887643 ,  0.04912343, -0.09682566]), 'Test RMSE': array([-15.16319546, -18.43306213, -13.34661894, -32.45684738,
       -11.91133444]), 'Test MAE': array([ -6.2940847 ,  -8.56192161,  -9.95966863, -12.44094748,
        -6.75213247])}"
"measuring CO,measuring SO2 1,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([-0.00947715,  0.10583089, -0.562392  , -0.00214108, -0.04114021]), 'Test RMSE': array([-15.17575502, -17.27410528, -10.79393041, -33.32028387,
       -11.60502892]), 'Test MAE': array([ -7.63931632,  -7.17409086,  -8.4491531 , -12.63899047,
        -6.51977587])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([-0.60058757,  0.11472206, -0.14447261, -0.00214108, -0.02609477]), 'Test RMSE': array([-19.10916811, -17.18800815,  -9.23819897, -33.32028396,
       -11.52087207]), 'Test MAE': array([-16.16578033,  -6.63445265,  -5.66394512, -12.63898362,
        -5.70713655])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-1.72356832, -0.01500881, -1.00834365, -0.07185771, -0.80135435]), 'Test RMSE': array([-24.92706801, -18.40435648, -12.23780769, -34.45980601,
       -15.26480267]), 'Test MAE': array([-17.01662937,  -7.25279021,  -5.18165035, -12.5661958 ,
        -6.62302098])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([ 0.00754373,  0.15276518, -0.19192188,  0.05743017, -0.14766539]), 'Test RMSE': array([-15.0472713 , -16.81464213,  -9.42775977, -32.3147669 ,
       -12.18426285]), 'Test MAE': array([ -9.41937751,  -6.8259715 ,  -5.43414299, -12.46382229,
        -7.66961009])}"
"measuring CO,measuring SO2 2,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([-0.06492122,  0.05396562, -1.10121234, -0.03603532, -0.04590806]), 'Test RMSE': array([-15.58693777, -17.76802638, -12.51755712, -33.87907476,
       -11.6315709 ]), 'Test MAE': array([ -7.55231862,  -8.32694218,  -9.51594417, -14.26574333,
        -6.64314502])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([-0.50192692,  0.09070456, -0.22224526,  0.01029493, -0.05200539]), 'Test RMSE': array([-18.51085426, -17.41960238,  -9.54693117, -33.1128954 ,
       -11.66542591]), 'Test MAE': array([-15.31005557,  -7.35337693,  -6.30646052, -12.92674061,
        -6.42818997])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-2.07546392, -0.12093172, -3.48425072,  0.06409795, -1.18183697]), 'Test RMSE': array([-26.48850086, -19.34083903, -18.28645636, -32.20026602,
       -16.79974797]), 'Test MAE': array([-19.00718881,  -9.33592308, -10.32748252, -12.01418881,
        -7.92102797])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([ 0.088931  ,  0.09792367, -0.88793104,  0.09315192,  0.00267872]), 'Test RMSE': array([-14.41709288, -17.35031543, -11.86527134, -31.69651607,
       -11.3581908 ]), 'Test MAE': array([ -7.55190533,  -7.86003394,  -8.40718672, -12.06564453,
        -6.16780768])}"
"measuring NO2,measuring SO2 1,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([-0.14320181, -0.03456554, -1.40815764, -0.06768779, -0.04776886]), 'Test RMSE': array([-16.14966482, -18.58081399, -13.40068712, -34.39271004,
       -11.64191329]), 'Test MAE': array([ -8.94883566,  -8.27773833,  -9.25594269, -13.72182111,
        -6.82312008])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([-0.00675161, -0.00826774, -0.60835109, -0.04038678, -0.04847253]), 'Test RMSE': array([-15.15525427, -18.34313945, -10.95153611, -33.95014811,
       -11.64582197]), 'Test MAE': array([ -7.62904242,  -8.79796801,  -8.61021978, -14.05482829,
        -6.64633911])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.11238355, -0.03838344, -1.18534194, -0.08725931, -0.60959622]), 'Test RMSE': array([-15.93049755, -18.61506718, -12.76569051, -34.70650071,
       -14.42946035]), 'Test MAE': array([ -9.76923776,  -7.46912587,  -5.87556643, -12.81016783,
        -6.01785315])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-0.0391041 , -0.0382504 , -0.74897498, -0.05386465, -0.02765269]), 'Test RMSE': array([-15.39683981, -18.61387462, -11.42027098, -34.16934695,
       -11.52961486]), 'Test MAE': array([ -8.27709512,  -8.83548563,  -8.54445422, -13.6748532 ,
        -6.28474467])}"
"measuring NO2,measuring SO2 2,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([-0.35163972,  0.02733729, -1.09464793,  0.05803036, -0.00257758]), 'Test RMSE': array([-17.56032439, -18.01635224, -12.49798876, -32.30447682,
       -11.38808268]), 'Test MAE': array([ -9.34787945,  -8.94506571,  -8.95984389, -11.86659381,
        -5.71977245])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([ 0.00261217, -0.01798547, -0.72835732, -0.03543405, -0.08006737]), 'Test RMSE': array([-15.08461026, -18.43132345, -11.35275793, -33.86924235,
       -11.81998815]), 'Test MAE': array([ -6.52396353,  -8.91780075,  -9.24601949, -14.28952624,
        -7.26454512])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.79683112, -0.17239725, -4.07670421,  0.06469906, -0.9716837 ]), 'Test RMSE': array([-20.24676732, -19.77985603, -19.45698485, -32.18992351,
       -15.9701958 ]), 'Test MAE': array([-14.818     ,  -9.54013986, -10.88154545, -11.47841259,
        -6.84451049])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-0.06258305, -0.02468019, -1.71434291,  0.02260816, -0.03767368]), 'Test RMSE': array([-15.56981684, -18.4918304 , -14.22711908, -32.90626687,
       -11.58569304]), 'Test MAE': array([ -7.31079747,  -8.68631319,  -9.95801258, -12.82527033,
        -6.49896868])}"
"measuring O3 1,measuring SO2 1,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([ 0.00919763,  0.01875263, -0.24937356, -0.04254686, -0.25553018]), 'Test RMSE': array([-15.03472811, -18.09568317,  -9.65229901, -33.98537392,
       -12.74398337]), 'Test MAE': array([ -8.69959268,  -7.94461332,  -6.25291727, -14.10579521,
        -8.03505248])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([-0.01128518,  0.02438729, -0.49720925, -0.03625287, -0.20364943]), 'Test RMSE': array([-15.18933928, -18.04365251, -10.56637115, -33.88263158,
       -12.47790356]), 'Test MAE': array([ -7.5700005 ,  -8.06629187,  -8.06264865, -13.87752354,
        -7.89957338])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.02965001, -0.14768024, -0.98874128, -0.07506893, -1.08489994]), 'Test RMSE': array([-15.32663717, -19.57024143, -12.17793789, -34.51138709,
       -16.42230925]), 'Test MAE': array([ -6.25956643,  -7.34696503,  -5.16366434, -12.7223986 ,
        -7.99383217])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-0.00082285, -0.01493472, -0.40144578, -0.03184489, -0.05494082]), 'Test RMSE': array([-15.11056373, -18.40368474, -10.2228682 , -33.8104903 ,
       -11.68168971]), 'Test MAE': array([ -8.67463675,  -9.19912114,  -7.21868389, -13.47863442,
        -6.73408281])}"
"measuring O3 1,measuring SO2 2,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([-0.11918094, -0.11880165, -1.36753689, -0.16870129, -1.02423544]), 'Test RMSE': array([-15.97909633, -19.32245394, -13.2871852 , -35.98288844,
       -16.18162492]), 'Test MAE': array([ -7.72067598,  -8.72106422,  -9.54067451, -15.56144207,
       -10.65590793])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([-0.00372498,  0.00491803, -0.63951949, -0.0319795 , -0.27588079]), 'Test RMSE': array([-15.1324563 , -18.22280211, -11.05714241, -33.81269565,
       -12.84685042]), 'Test MAE': array([ -6.47705513,  -8.41287562,  -8.85880974, -14.1815041 ,
        -8.65552995])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.32491814, -0.15958104, -3.22823261,  0.09058133, -1.07687164]), 'Test RMSE': array([-17.38587624, -19.67144593, -17.75677314, -31.74140845,
       -16.39066017]), 'Test MAE': array([-11.27176923,  -9.50897203,  -9.65863636, -11.96204196,
        -7.38305594])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-0.00149634, -0.01485958, -1.29447632,  0.05220021, -0.08163724]), 'Test RMSE': array([-15.11564712, -18.40300349, -13.08056192, -32.40429398,
       -11.82857517]), 'Test MAE': array([ -5.92747589,  -8.42844265,  -9.68722753, -12.577041  ,
        -6.77599602])}"
"measuring O3 2,measuring SO2 1,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([ 0.00445499,  0.09824972, -1.2899429 ,  0.04092387, -1.40856221]), 'Test RMSE': array([-15.0706683 , -17.34717955, -13.06763325, -32.59648725,
       -17.65105028]), 'Test MAE': array([ -5.95869304,  -6.79056022,  -9.19288169, -13.08531844,
       -10.09236916])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([ 0.05572293,  0.08892683, -0.89282612,  0.07622692, -0.30603822]), 'Test RMSE': array([-14.6774897 , -17.43662225, -11.8806437 , -31.99093329,
       -12.99779135]), 'Test MAE': array([ -6.70493078,  -7.93401344,  -8.01864725, -12.9081821 ,
        -8.59583309])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.53747664, -0.0458343 , -2.684429  ,  0.05079108, -2.16994297]), 'Test RMSE': array([-18.72864358, -18.68173347, -16.57561713, -32.4283734 ,
       -20.24964167]), 'Test MAE': array([-12.87947552,  -7.70990909,  -9.46452448, -13.82112587,
       -11.47500699])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-0.01368509,  0.04219623, -0.96076131,  0.06232213, -0.66945841]), 'Test RMSE': array([-15.20735172, -17.87820872, -12.0919676 , -32.23080055,
       -14.69533259]), 'Test MAE': array([ -5.99935538,  -6.82027433,  -7.95001882, -13.10379902,
        -8.94591603])}"
"measuring O3 2,measuring SO2 2,","{'Model': Pipeline(steps=[('mlp_regressor',
                 MLPRegressor(max_iter=1000, random_state=42, solver='lbfgs'))]), 'Test R2': array([-0.03075084,  0.01315808, -1.01517582,  0.05605515, -0.34819806]), 'Test RMSE': array([-15.334828  , -18.14719586, -12.25860588, -32.3383286 ,
       -13.20591409]), 'Test MAE': array([ -7.17835498,  -7.57201721,  -8.4864906 , -12.91111164,
        -7.99589262])}","{'Model': Pipeline(steps=[('linear_regressor', LinearRegression())]), 'Test R2': array([ 0.01697748,  0.08141629, -0.86382966,  0.07700014, -0.32397635]), 'Test RMSE': array([-14.97558492, -17.50834525, -11.78929186, -31.97754195,
       -13.08674775]), 'Test MAE': array([ -7.46634723,  -7.89835278,  -8.05401136, -13.07607631,
        -8.73959888])}","{'Model': Pipeline(steps=[('knn_regressor', KNeighborsRegressor())]), 'Test R2': array([-0.8957659 , -0.07167728, -3.41780255,  0.0304613 , -2.11567668]), 'Test RMSE': array([-20.79669941, -18.91114147, -18.15046525, -32.77380266,
       -20.07556651]), 'Test MAE': array([-15.01293706,  -7.50995105,  -8.91374126, -13.27602098,
       -11.1218951 ])}","{'Model': Pipeline(steps=[('random_forest_regressor',
                 RandomForestRegressor(max_depth=2, n_estimators=500,
                                       random_state=40))]), 'Test R2': array([-0.04124769,  0.05390465, -1.07444445,  0.06250365, -0.69620686]), 'Test RMSE': array([-15.41271282, -17.76859891, -12.43756936, -32.2276808 ,
       -14.81259078]), 'Test MAE': array([ -5.91924055,  -7.0837972 ,  -8.795368  , -12.97228815,
        -8.92203567])}"
