,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring SO2 1,","{'Mean': -17.982649977312875, 'Std': 8.424171531423667}","{'Mean': -17.955659466115797, 'Std': 8.42390039956528}","{'Mean': -19.22764864472039, 'Std': 8.054678361925035}","{'Mean': -18.338593183931494, 'Std': 8.24705601230001}"
"measuring SO2 2,","{'Mean': -17.816887115266926, 'Std': 8.511971482973701}","{'Mean': -18.072570205586448, 'Std': 8.29796032690081}","{'Mean': -21.42865217809831, 'Std': 5.523371123810271}","{'Mean': -18.26221167137808, 'Std': 7.424519753615891}"
"measuring CO,measuring SO2 1,","{'Mean': -17.63382069931629, 'Std': 8.189835630301461}","{'Mean': -18.075306252065513, 'Std': 8.429953570945482}","{'Mean': -21.058768173799518, 'Std': 7.911723457850209}","{'Mean': -17.157740589169073, 'Std': 7.984927400022457}"
"measuring CO,measuring SO2 2,","{'Mean': -18.27663338732657, 'Std': 8.102507455272809}","{'Mean': -18.051141824022974, 'Std': 8.253066884936255}","{'Mean': -22.623162046476317, 'Std': 5.833602262524836}","{'Mean': -17.337477303867068, 'Std': 7.488761036711019}"
"measuring NO2,measuring SO2 1,","{'Mean': -18.83315785150941, 'Std': 8.131300179910026}","{'Mean': -18.00917998072263, 'Std': 8.398494483078313}","{'Mean': -19.28944325910162, 'Std': 7.944831571754648}","{'Mean': -18.225989445358, 'Std': 8.408381860028568}"
"measuring NO2,measuring SO2 2,","{'Mean': -18.353444977888884, 'Std': 7.458908776409492}","{'Mean': -18.111584425476288, 'Std': 8.280513369210365}","{'Mean': -21.528745502350375, 'Std': 5.541704900490402}","{'Mean': -18.556145246281393, 'Std': 7.512335934377}"
"measuring O3 1,measuring SO2 1,","{'Mean': -17.90241351520924, 'Std': 8.504074070305627}","{'Mean': -18.03197961627894, 'Std': 8.317535434646482}","{'Mean': -19.601702564807344, 'Std': 7.820443597937236}","{'Mean': -17.845859334457675, 'Std': 8.470766603488332}"
"measuring O3 1,measuring SO2 2,","{'Mean': -20.150649766053153, 'Std': 8.14380564407314}","{'Mean': -18.214389377221995, 'Std': 8.158948455168437}","{'Mean': -20.589232786971603, 'Std': 5.676718903277729}","{'Mean': -18.16641633568985, 'Std': 7.458075781838427}"
"measuring O3 2,measuring SO2 1,","{'Mean': -19.146603725994186, 'Std': 6.927353115122125}","{'Mean': -17.796696059451683, 'Std': 7.339817900958098}","{'Mean': -21.332801849833025, 'Std': 5.669665852139919}","{'Mean': -18.420732235980854, 'Std': 7.145208148794324}"
"measuring O3 2,measuring SO2 2,","{'Mean': -18.256974484853735, 'Std': 7.325696721927352}","{'Mean': -17.867502347919313, 'Std': 7.312805960156499}","{'Mean': -22.141535059347614, 'Std': 5.394182129521559}","{'Mean': -18.53183053413835, 'Std': 7.054934385270368}"
"measuring SO2 1,measuring SO2 2,","{'Mean': -20.283917029555077, 'Std': 6.638369814673289}","{'Mean': -18.008949681378045, 'Std': 8.322575236516464}","{'Mean': -20.987191740050356, 'Std': 5.958088736519131}","{'Mean': -18.27046664066601, 'Std': 7.417468677197726}"
"measuring SO2 1,measuring PM10,","{'Mean': -18.043923960178184, 'Std': 8.489275339992867}","{'Mean': -17.977808247111575, 'Std': 8.403927892316071}","{'Mean': -20.245130280471074, 'Std': 7.374232716623553}","{'Mean': -18.249749890426017, 'Std': 8.334269458091072}"
"measuring SO2 1,temperature,","{'Mean': -18.234508753794696, 'Std': 7.641647500444843}","{'Mean': -17.807695272003446, 'Std': 7.671027460379519}","{'Mean': -22.19120300192443, 'Std': 6.924243403578145}","{'Mean': -18.803072008677127, 'Std': 7.255002435946148}"
"measuring SO2 2,measuring PM10,","{'Mean': -17.742260532929635, 'Std': 8.012759392066025}","{'Mean': -18.11585644502017, 'Std': 8.265204483525345}","{'Mean': -20.773599202394777, 'Std': 5.764114688718169}","{'Mean': -18.285660462880706, 'Std': 7.353662166985904}"
"measuring SO2 2,temperature,","{'Mean': -18.02427897236314, 'Std': 7.358656273183273}","{'Mean': -17.975471279631705, 'Std': 7.607262424962596}","{'Mean': -21.312587602550874, 'Std': 6.011787086358485}","{'Mean': -19.141649893053675, 'Std': 6.897088059571363}"
"measuring CO,measuring NO2,measuring SO2 1,","{'Mean': -19.648980612250167, 'Std': 7.59339579208984}","{'Mean': -18.098258279407816, 'Std': 8.404018384543367}","{'Mean': -19.58177642511402, 'Std': 7.718105328060163}","{'Mean': -17.282536990511044, 'Std': 8.076355401406492}"
"measuring CO,measuring NO2,measuring SO2 2,","{'Mean': -18.029859037221865, 'Std': 7.8262511707700915}","{'Mean': -18.028411059737728, 'Std': 8.237253986219692}","{'Mean': -22.41197252934788, 'Std': 5.585722608941093}","{'Mean': -17.50681600590356, 'Std': 7.755344234943857}"
"measuring CO,measuring O3 1,measuring SO2 1,","{'Mean': -18.02148260344887, 'Std': 8.447616282461128}","{'Mean': -18.367255253322202, 'Std': 8.43027001692163}","{'Mean': -19.824534075348883, 'Std': 7.660194843800083}","{'Mean': -17.160006158733175, 'Std': 7.984903283404928}"
"measuring CO,measuring O3 1,measuring SO2 2,","{'Mean': -19.01517970752708, 'Std': 6.938801097183052}","{'Mean': -18.404230958407933, 'Std': 8.22974103517474}","{'Mean': -21.742977412863677, 'Std': 5.511294025570349}","{'Mean': -17.32825356804357, 'Std': 7.496303187321221}"
