,latitude,longitude,measuring,DateTime
0,-28.456899,-48.972999,65.03,2022-11-21 10:43:03
1,-28.456899,-48.972999,63.83,2022-11-21 10:58:48
2,-28.456899,-48.972999,62.47,2022-11-21 11:14:38
3,-28.456899,-48.972999,62.13,2022-11-21 11:30:22
4,-28.456899,-48.972999,60.57,2022-11-21 11:46:05
5,-28.456899,-48.972999,59.71,2022-11-21 12:01:46
6,-28.456899,-48.972999,59.21,2022-11-21 12:17:33
7,-28.456899,-48.972999,58.56,2022-11-21 12:33:18
8,-28.456899,-48.972999,57.3,2022-11-21 12:49:01
9,-28.456899,-48.972999,56.04,2022-11-21 13:04:46
10,-28.456899,-48.972999,54.96,2022-11-21 13:20:33
11,-28.456899,-48.972999,55.97,2022-11-21 13:36:15
12,-28.456899,-48.972999,56.54,2022-11-21 13:52:02
13,-28.456899,-48.972999,54.62,2022-11-21 14:07:47
14,-28.456899,-48.972999,55.01,2022-11-21 14:23:33
15,-28.456899,-48.972999,56.56,2022-11-21 14:39:16
16,-28.456899,-48.972999,57.62,2022-11-21 14:55:03
17,-28.456899,-48.972999,57.76,2022-11-21 15:10:48
18,-28.456899,-48.972999,57.49,2022-11-21 15:26:33
19,-28.456899,-48.972999,57.04,2022-11-21 15:42:18
20,-28.456899,-48.972999,57.04,2022-11-21 15:58:03
21,-28.456899,-48.972999,57.65,2022-11-21 16:13:45
22,-28.456899,-48.972999,54.74,2022-11-21 16:29:30
23,-28.456899,-48.972999,53.5,2022-11-21 16:45:17
24,-28.456899,-48.972999,55.07,2022-11-21 17:01:03
25,-28.456899,-48.972999,57.08,2022-11-21 17:16:48
26,-28.456899,-48.972999,57.36,2022-11-21 17:32:32
27,-28.456899,-48.972999,57.6,2022-11-21 17:48:16
28,-28.456899,-48.972999,57.77,2022-11-21 18:04:01
29,-28.456899,-48.972999,58.27,2022-11-21 18:19:37
30,-28.456899,-48.972999,59.12,2022-11-21 18:35:25
31,-28.456899,-48.972999,59.49,2022-11-21 18:51:09
32,-28.456899,-48.972999,59.17,2022-11-21 19:06:55
33,-28.456899,-48.972999,59.3,2022-11-21 19:22:35
34,-28.456899,-48.972999,59.51,2022-11-21 19:38:18
35,-28.456899,-48.972999,59.7,2022-11-21 19:54:03
36,-28.456899,-48.972999,59.32,2022-11-21 20:09:48
37,-28.456899,-48.972999,59.55,2022-11-21 20:25:35
38,-28.456899,-48.972999,59.16,2022-11-21 20:41:20
39,-28.456899,-48.972999,59.23,2022-11-21 20:57:04
40,-28.456899,-48.972999,59.43,2022-11-21 21:12:49
41,-28.456899,-48.972999,59.58,2022-11-21 21:28:33
42,-28.456899,-48.972999,59.57,2022-11-21 21:44:16
43,-28.456899,-48.972999,59.55,2022-11-21 22:00:03
44,-28.456899,-48.972999,59.47,2022-11-21 22:15:48
45,-28.456899,-48.972999,59.78,2022-11-21 22:31:32
46,-28.456899,-48.972999,60.3,2022-11-21 22:47:17
47,-28.456899,-48.972999,60.42,2022-11-21 23:03:02
48,-28.456899,-48.972999,60.44,2022-11-21 23:18:47
49,-28.456899,-48.972999,60.86,2022-11-21 23:34:32
50,-28.456899,-48.972999,60.97,2022-11-21 23:50:16
51,-28.456899,-48.972999,61.04,2022-11-22 00:06:01
52,-28.456899,-48.972999,61.17,2022-11-22 00:21:46
53,-28.456899,-48.972999,61.11,2022-11-22 00:37:30
54,-28.456899,-48.972999,60.71,2022-11-22 00:53:15
55,-28.456899,-48.972999,61.28,2022-11-22 01:09:00
56,-28.456899,-48.972999,61.45,2022-11-22 01:24:45
57,-28.456899,-48.972999,61.83,2022-11-22 01:40:30
58,-28.456899,-48.972999,62.01,2022-11-22 01:56:14
59,-28.456899,-48.972999,61.71,2022-11-22 02:11:58
60,-28.456899,-48.972999,61.76,2022-11-22 02:27:43
61,-28.456899,-48.972999,62.15,2022-11-22 02:43:28
62,-28.456899,-48.972999,61.83,2022-11-22 02:59:12
63,-28.456899,-48.972999,61.81,2022-11-22 03:14:58
64,-28.456899,-48.972999,61.96,2022-11-22 03:30:42
65,-28.456899,-48.972999,62.08,2022-11-22 03:46:27
66,-28.456899,-48.972999,62.63,2022-11-22 04:02:12
67,-28.456899,-48.972999,62.29,2022-11-22 04:17:57
68,-28.456899,-48.972999,62.71,2022-11-22 04:33:40
69,-28.456899,-48.972999,62.56,2022-11-22 04:49:26
70,-28.456899,-48.972999,62.57,2022-11-22 05:05:11
71,-28.456899,-48.972999,62.59,2022-11-22 05:20:56
72,-28.456899,-48.972999,62.76,2022-11-22 05:36:40
73,-28.456899,-48.972999,62.8,2022-11-22 05:52:25
74,-28.456899,-48.972999,62.99,2022-11-22 06:08:09
75,-28.456899,-48.972999,63.21,2022-11-22 06:23:54
76,-28.456899,-48.972999,63.04,2022-11-22 06:39:39
77,-28.456899,-48.972999,62.92,2022-11-22 06:55:24
78,-28.456899,-48.972999,63.0,2022-11-22 07:11:07
79,-28.456899,-48.972999,63.2,2022-11-22 07:26:54
80,-28.456899,-48.972999,63.48,2022-11-22 07:42:39
81,-28.456899,-48.972999,63.82,2022-11-22 07:58:23
82,-28.456899,-48.972999,63.98,2022-11-22 08:14:08
83,-28.456899,-48.972999,64.22,2022-11-22 08:29:53
84,-28.456899,-48.972999,64.25,2022-11-22 08:45:38
85,-28.456899,-48.972999,64.33,2022-11-22 09:01:23
86,-28.456899,-48.972999,64.44,2022-11-22 09:17:09
87,-28.456899,-48.972999,64.31,2022-11-22 09:32:52
88,-28.456899,-48.972999,64.35,2022-11-22 09:48:33
89,-28.456899,-48.972999,64.57,2022-11-22 10:04:17
90,-28.456899,-48.972999,61.88,2022-11-22 10:20:02
91,-28.456899,-48.972999,61.17,2022-11-22 10:35:47
92,-28.456899,-48.972999,60.84,2022-11-22 10:51:32
93,-28.456899,-48.972999,60.8,2022-11-22 11:07:17
94,-28.456899,-48.972999,61.17,2022-11-22 11:23:01
95,-28.456899,-48.972999,61.43,2022-11-22 11:38:44
96,-28.456899,-48.972999,62.88,2022-11-22 11:54:25
97,-28.456899,-48.972999,64.15,2022-11-22 12:10:10
98,-28.456899,-48.972999,64.53,2022-11-22 12:25:54
99,-28.456899,-48.972999,64.86,2022-11-22 12:41:39
100,-28.456899,-48.972999,66.54,2022-11-22 12:57:25
101,-28.456899,-48.972999,68.4,2022-11-22 13:13:09
102,-28.456899,-48.972999,67.57,2022-11-22 13:28:54
103,-28.456899,-48.972999,66.53,2022-11-22 13:44:39
104,-28.456899,-48.972999,65.38,2022-11-22 14:00:22
105,-28.456899,-48.972999,64.35,2022-11-22 14:16:09
106,-28.456899,-48.972999,63.65,2022-11-22 14:31:55
107,-28.456899,-48.972999,63.52,2022-11-22 14:47:41
108,-28.456899,-48.972999,63.72,2022-11-22 15:03:26
109,-28.456899,-48.972999,63.28,2022-11-22 15:19:11
110,-28.456899,-48.972999,64.09,2022-11-22 15:34:57
111,-28.456899,-48.972999,64.31,2022-11-22 15:50:40
112,-28.456899,-48.972999,63.17,2022-11-22 16:06:19
113,-28.456899,-48.972999,63.61,2022-11-22 16:22:07
114,-28.456899,-48.972999,61.66,2022-11-22 16:37:53
115,-28.456899,-48.972999,61.55,2022-11-22 16:53:37
116,-28.456899,-48.972999,61.61,2022-11-22 17:09:23
117,-28.456899,-48.972999,62.16,2022-11-22 17:25:09
118,-28.456899,-48.972999,61.95,2022-11-22 17:40:54
119,-28.456899,-48.972999,62.39,2022-11-22 17:56:39
120,-28.456899,-48.972999,62.73,2022-11-22 18:12:18
121,-28.456899,-48.972999,63.23,2022-11-22 18:27:56
122,-28.456899,-48.972999,63.65,2022-11-22 18:43:42
123,-28.456899,-48.972999,63.75,2022-11-22 18:59:19
124,-28.456899,-48.972999,63.88,2022-11-22 19:15:04
125,-28.456899,-48.972999,64.03,2022-11-22 19:30:49
126,-28.456899,-48.972999,63.19,2022-11-23 11:21:32
127,-28.456899,-48.972999,62.22,2022-11-23 11:37:23
128,-28.456899,-48.972999,60.89,2022-11-23 11:53:11
129,-28.456899,-48.972999,60.44,2022-11-23 12:08:59
130,-28.456899,-48.972999,57.12,2022-11-23 12:24:47
131,-28.456899,-48.972999,56.46,2022-11-23 12:40:32
132,-28.456899,-48.972999,56.83,2022-11-23 12:56:23
133,-28.456899,-48.972999,57.64,2022-11-23 13:12:14
134,-28.456899,-48.972999,59.3,2022-11-23 13:28:02
135,-28.456899,-48.972999,58.44,2022-11-23 13:43:41
136,-28.456899,-48.972999,61.16,2022-11-23 13:59:25
137,-28.456899,-48.972999,61.54,2022-11-23 14:15:10
138,-28.456899,-48.972999,61.78,2022-11-23 14:30:55
139,-28.456899,-48.972999,62.98,2022-11-23 14:46:40
140,-28.456899,-48.972999,67.71,2022-11-23 15:02:24
141,-28.456899,-48.972999,69.57,2022-11-23 15:18:09
142,-28.456899,-48.972999,68.33,2022-11-23 15:33:54
143,-28.456899,-48.972999,69.12,2022-11-23 15:49:36
144,-28.456899,-48.972999,68.57,2022-11-23 16:05:23
145,-28.456899,-48.972999,70.13,2022-11-23 16:21:07
146,-28.456899,-48.972999,71.19,2022-11-23 16:36:53
147,-28.456899,-48.972999,70.14,2022-11-23 16:52:38
148,-28.456899,-48.972999,68.44,2022-11-23 17:08:17
149,-28.456899,-48.972999,67.34,2022-11-23 17:24:02
150,-28.456899,-48.972999,67.12,2022-11-23 17:39:47
151,-28.456899,-48.972999,67.01,2022-11-23 17:55:32
152,-28.456899,-48.972999,64.76,2022-11-23 18:11:07
153,-28.456899,-48.972999,65.5,2022-11-23 18:26:47
154,-28.456899,-48.972999,64.4,2022-11-23 18:42:35
155,-28.456899,-48.972999,62.86,2022-11-23 18:58:20
156,-28.456899,-48.972999,61.81,2022-11-23 19:14:04
157,-28.456899,-48.972999,60.97,2022-11-23 19:29:49
158,-28.456899,-48.972999,59.59,2022-11-23 19:45:33
159,-28.456899,-48.972999,59.71,2022-11-23 20:01:19
160,-28.456899,-48.972999,60.27,2022-11-23 20:17:02
161,-28.456899,-48.972999,60.48,2022-11-23 20:32:47
162,-28.456899,-48.972999,60.46,2022-11-23 20:48:32
163,-28.456899,-48.972999,60.35,2022-11-23 21:04:17
164,-28.456899,-48.972999,60.44,2022-11-23 21:20:01
165,-28.456899,-48.972999,60.33,2022-11-23 21:35:46
166,-28.456899,-48.972999,60.23,2022-11-23 21:51:32
167,-28.456899,-48.972999,60.35,2022-11-23 22:07:17
168,-28.456899,-48.972999,60.35,2022-11-23 22:23:01
169,-28.456899,-48.972999,60.23,2022-11-23 22:38:46
170,-28.456899,-48.972999,60.22,2022-11-23 22:54:31
171,-28.456899,-48.972999,60.27,2022-11-23 23:10:16
172,-28.456899,-48.972999,60.0,2022-11-23 23:26:00
173,-28.456899,-48.972999,59.83,2022-11-23 23:41:44
174,-28.456899,-48.972999,59.82,2022-11-23 23:57:29
175,-28.456899,-48.972999,59.37,2022-11-24 00:13:14
176,-28.456899,-48.972999,59.44,2022-11-24 00:28:59
177,-28.456899,-48.972999,59.2,2022-11-24 00:44:44
178,-28.456899,-48.972999,58.87,2022-11-24 01:00:29
179,-28.456899,-48.972999,58.83,2022-11-24 01:16:13
180,-28.456899,-48.972999,58.91,2022-11-24 01:31:57
181,-28.456899,-48.972999,58.58,2022-11-24 01:47:42
182,-28.456899,-48.972999,58.03,2022-11-24 02:03:27
183,-28.456899,-48.972999,58.27,2022-11-24 02:19:11
184,-28.456899,-48.972999,58.24,2022-11-24 02:34:56
185,-28.456899,-48.972999,57.77,2022-11-24 02:50:40
186,-28.456899,-48.972999,57.69,2022-11-24 03:06:25
187,-28.456899,-48.972999,57.53,2022-11-24 03:22:11
188,-28.456899,-48.972999,57.39,2022-11-24 03:37:55
189,-28.456899,-48.972999,56.92,2022-11-24 03:53:40
190,-28.456899,-48.972999,56.96,2022-11-24 04:09:25
191,-28.456899,-48.972999,57.17,2022-11-24 04:25:09
192,-28.456899,-48.972999,56.86,2022-11-24 04:40:54
193,-28.456899,-48.972999,56.56,2022-11-24 04:56:39
194,-28.456899,-48.972999,56.83,2022-11-24 05:12:23
195,-28.456899,-48.972999,56.75,2022-11-24 05:28:08
196,-28.456899,-48.972999,56.29,2022-11-24 05:43:52
197,-28.456899,-48.972999,56.51,2022-11-24 05:59:37
198,-28.456899,-48.972999,56.45,2022-11-24 06:15:22
