,latitude,longitude,measuring,DateTime
0,-28.456899,-48.972999,125.92,2022-11-20 13:45:23
1,-28.456899,-48.972999,86.05,2022-11-21 10:37:45
2,-28.456899,-48.972999,86.38,2022-11-21 10:53:33
3,-28.456899,-48.972999,96.05,2022-11-21 11:09:20
4,-28.456899,-48.972999,84.43,2022-11-21 11:25:07
5,-28.456899,-48.972999,79.52,2022-11-21 11:40:53
6,-28.456899,-48.972999,49.41,2022-11-21 11:56:31
7,-28.456899,-48.972999,60.54,2022-11-21 12:12:18
8,-28.456899,-48.972999,83.12,2022-11-21 12:28:03
9,-28.456899,-48.972999,71.01,2022-11-21 12:43:46
10,-28.456899,-48.972999,81.32,2022-11-21 12:59:31
11,-28.456899,-48.972999,72.65,2022-11-21 13:15:18
12,-28.456899,-48.972999,62.84,2022-11-21 13:31:00
13,-28.456899,-48.972999,62.03,2022-11-21 13:46:47
14,-28.456899,-48.972999,85.58,2022-11-21 14:02:32
15,-28.456899,-48.972999,89.18,2022-11-21 14:18:18
16,-28.456899,-48.972999,83.62,2022-11-21 14:34:01
17,-28.456899,-48.972999,96.54,2022-11-21 14:49:48
18,-28.456899,-48.972999,274.74,2022-11-21 15:05:33
19,-28.456899,-48.972999,93.75,2022-11-21 15:21:18
20,-28.456899,-48.972999,126.49,2022-11-21 15:37:03
21,-28.456899,-48.972999,101.95,2022-11-21 15:52:48
22,-28.456899,-48.972999,109.31,2022-11-21 16:08:30
23,-28.456899,-48.972999,114.22,2022-11-21 16:24:15
24,-28.456899,-48.972999,186.05,2022-11-21 16:40:02
25,-28.456899,-48.972999,93.93,2022-11-21 16:55:47
26,-28.456899,-48.972999,118.48,2022-11-21 17:11:32
27,-28.456899,-48.972999,113.57,2022-11-21 17:27:18
28,-28.456899,-48.972999,152.03,2022-11-21 17:43:02
29,-28.456899,-48.972999,119.47,2022-11-21 17:58:46
30,-28.456899,-48.972999,121.43,2022-11-21 18:14:31
31,-28.456899,-48.972999,129.94,2022-11-21 18:30:07
32,-28.456899,-48.972999,129.94,2022-11-21 18:45:55
33,-28.456899,-48.972999,134.85,2022-11-21 19:01:39
34,-28.456899,-48.972999,191.95,2022-11-21 19:17:19
35,-28.456899,-48.972999,108.5,2022-11-21 19:33:05
36,-28.456899,-48.972999,125.03,2022-11-21 19:48:48
37,-28.456899,-48.972999,201.11,2022-11-21 20:04:33
38,-28.456899,-48.972999,140.25,2022-11-21 20:20:20
39,-28.456899,-48.972999,136.65,2022-11-21 20:36:05
40,-28.456899,-48.972999,136.65,2022-11-21 20:51:49
41,-28.456899,-48.972999,138.61,2022-11-21 21:07:34
42,-28.456899,-48.972999,130.09,2022-11-21 21:23:18
43,-28.456899,-48.972999,125.68,2022-11-21 21:39:01
44,-28.456899,-48.972999,134.85,2022-11-21 21:54:48
45,-28.456899,-48.972999,135.5,2022-11-21 22:10:33
46,-28.456899,-48.972999,135.5,2022-11-21 22:26:17
47,-28.456899,-48.972999,139.76,2022-11-21 22:42:02
48,-28.456899,-48.972999,137.95,2022-11-21 22:57:47
49,-28.456899,-48.972999,137.95,2022-11-21 23:13:32
50,-28.456899,-48.972999,144.66,2022-11-21 23:29:17
51,-28.456899,-48.972999,134.35,2022-11-21 23:45:02
52,-28.456899,-48.972999,144.01,2022-11-22 00:00:46
53,-28.456899,-48.972999,142.86,2022-11-22 00:16:31
54,-28.456899,-48.972999,149.57,2022-11-22 00:32:15
55,-28.456899,-48.972999,150.72,2022-11-22 00:48:00
