Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2022,11,20,13,42,11,-28.456899,-48.972999,20.000000,16,0.00,131,101564.02
2022,11,21,10,34,35,-28.456899,-48.972999,20.000000,16,0.00,131,101528.72
2022,11,21,10,50,24,-28.456899,-48.972999,20.000000,16,0.00,131,101519.50
2022,11,21,11,6,11,-28.456899,-48.972999,20.000000,16,0.00,131,101478.15
2022,11,21,11,21,58,-28.456899,-48.972999,20.000000,16,0.00,131,101452.92
2022,11,21,11,37,44,-28.456899,-48.972999,20.000000,16,0.00,131,101442.04
2022,11,21,11,53,22,-28.456899,-48.972999,20.000000,16,0.00,131,101416.37
2022,11,21,12,9,9,-28.456899,-48.972999,20.000000,16,0.00,131,101395.09
2022,11,21,12,24,54,-28.456899,-48.972999,20.000000,16,0.00,131,101395.30
2022,11,21,12,40,36,-28.456899,-48.972999,20.000000,16,0.00,131,101392.39
2022,11,21,12,56,22,-28.456899,-48.972999,20.000000,16,0.00,131,101374.87
2022,11,21,13,12,9,-28.456899,-48.972999,20.000000,16,0.00,131,101364.65
2022,11,21,13,27,54,-28.456899,-48.972999,20.000000,16,0.00,131,101359.11
2022,11,21,13,43,36,-28.456899,-48.972999,20.000000,16,0.00,131,101354.00
2022,11,21,13,59,23,-28.456899,-48.972999,20.000000,16,0.00,131,101344.16
2022,11,21,14,15,8,-28.456899,-48.972999,20.000000,16,0.00,131,101335.49
2022,11,21,14,30,52,-28.456899,-48.972999,20.000000,16,0.00,131,101316.17
2022,11,21,14,46,38,-28.456899,-48.972999,20.000000,16,0.00,131,101299.46
2022,11,21,15,2,24,-28.456899,-48.972999,20.000000,16,0.00,131,101269.54
2022,11,21,15,18,9,-28.456899,-48.972999,20.000000,16,0.00,131,101271.84
2022,11,21,15,33,54,-28.456899,-48.972999,20.000000,16,0.00,131,101255.74
2022,11,21,15,49,39,-28.456899,-48.972999,20.000000,16,0.00,131,101240.02
2022,11,21,16,5,21,-28.456899,-48.972999,20.000000,16,0.00,131,101219.09
2022,11,21,16,21,6,-28.456899,-48.972999,20.000000,16,0.00,131,101195.22
2022,11,21,16,36,53,-28.456899,-48.972999,20.000000,16,0.00,131,101194.08
2022,11,21,16,52,38,-28.456899,-48.972999,20.000000,16,0.00,131,101195.27
2022,11,21,17,8,23,-28.456899,-48.972999,20.000000,16,0.00,131,101200.66
2022,11,21,17,24,8,-28.456899,-48.972999,20.000000,16,0.00,131,101195.37
2022,11,21,17,39,53,-28.456899,-48.972999,20.000000,16,0.00,131,101205.83
2022,11,21,17,55,37,-28.456899,-48.972999,20.000000,16,0.00,131,101238.26
2022,11,21,18,11,22,-28.456899,-48.972999,20.000000,16,0.00,131,101266.14
2022,11,21,18,26,58,-28.456899,-48.972999,20.000000,16,0.00,131,101282.24
2022,11,21,18,42,46,-28.456899,-48.972999,20.000000,16,0.00,131,101303.31
2022,11,21,18,58,30,-28.456899,-48.972999,20.000000,16,0.00,131,101318.12
2022,11,21,19,14,16,-28.456899,-48.972999,20.000000,16,0.00,131,101312.35
2022,11,21,19,29,56,-28.456899,-48.972999,20.000000,16,0.00,131,101311.73
2022,11,21,19,45,39,-28.456899,-48.972999,20.000000,16,0.00,131,101331.57
2022,11,21,20,1,24,-28.456899,-48.972999,20.000000,16,0.00,131,101352.28
2022,11,21,20,17,10,-28.456899,-48.972999,20.000000,16,0.00,131,101377.46
