Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2022,11,20,13,45,23,-28.456899,-48.972999,20.000000,16,0.00,134,125.92
2022,11,21,10,37,45,-28.456899,-48.972999,20.000000,16,0.00,134,86.05
2022,11,21,10,53,33,-28.456899,-48.972999,20.000000,16,0.00,134,86.38
2022,11,21,11,9,20,-28.456899,-48.972999,20.000000,16,0.00,134,96.05
2022,11,21,11,25,7,-28.456899,-48.972999,20.000000,16,0.00,134,84.43
2022,11,21,11,40,53,-28.456899,-48.972999,20.000000,16,0.00,134,79.52
2022,11,21,11,56,31,-28.456899,-48.972999,20.000000,16,0.00,134,49.41
2022,11,21,12,12,18,-28.456899,-48.972999,20.000000,16,0.00,134,60.54
2022,11,21,12,28,3,-28.456899,-48.972999,20.000000,16,0.00,134,83.12
2022,11,21,12,43,46,-28.456899,-48.972999,20.000000,16,0.00,134,71.01
2022,11,21,12,59,31,-28.456899,-48.972999,20.000000,16,0.00,134,81.32
2022,11,21,13,15,18,-28.456899,-48.972999,20.000000,16,0.00,134,72.65
2022,11,21,13,31,0,-28.456899,-48.972999,20.000000,16,0.00,134,62.84
2022,11,21,13,46,47,-28.456899,-48.972999,20.000000,16,0.00,134,62.03
2022,11,21,14,2,32,-28.456899,-48.972999,20.000000,16,0.00,134,85.58
2022,11,21,14,18,18,-28.456899,-48.972999,20.000000,16,0.00,134,89.18
2022,11,21,14,34,1,-28.456899,-48.972999,20.000000,16,0.00,134,83.62
2022,11,21,14,49,48,-28.456899,-48.972999,20.000000,16,0.00,134,96.54
2022,11,21,15,5,33,-28.456899,-48.972999,20.000000,16,0.00,134,274.74
2022,11,21,15,21,18,-28.456899,-48.972999,20.000000,16,0.00,134,93.75
2022,11,21,15,37,3,-28.456899,-48.972999,20.000000,16,0.00,134,126.49
2022,11,21,15,52,48,-28.456899,-48.972999,20.000000,16,0.00,134,101.95
2022,11,21,16,8,30,-28.456899,-48.972999,20.000000,16,0.00,134,109.31
2022,11,21,16,24,15,-28.456899,-48.972999,20.000000,16,0.00,134,114.22
2022,11,21,16,40,2,-28.456899,-48.972999,20.000000,16,0.00,134,186.05
2022,11,21,16,55,47,-28.456899,-48.972999,20.000000,16,0.00,134,93.93
2022,11,21,17,11,32,-28.456899,-48.972999,20.000000,16,0.00,134,118.48
2022,11,21,17,27,18,-28.456899,-48.972999,20.000000,16,0.00,134,113.57
2022,11,21,17,43,2,-28.456899,-48.972999,20.000000,16,0.00,134,152.03
2022,11,21,17,58,46,-28.456899,-48.972999,20.000000,16,0.00,134,119.47
2022,11,21,18,14,31,-28.456899,-48.972999,20.000000,16,0.00,134,121.43
2022,11,21,18,30,7,-28.456899,-48.972999,20.000000,16,0.00,134,129.94
2022,11,21,18,45,55,-28.456899,-48.972999,20.000000,16,0.00,134,129.94
2022,11,21,19,1,39,-28.456899,-48.972999,20.000000,16,0.00,134,134.85
2022,11,21,19,17,19,-28.456899,-48.972999,20.000000,16,0.00,134,191.95
2022,11,21,19,33,5,-28.456899,-48.972999,20.000000,16,0.00,134,108.50
2022,11,21,19,48,48,-28.456899,-48.972999,20.000000,16,0.00,134,125.03
2022,11,21,20,4,33,-28.456899,-48.972999,20.000000,16,0.00,134,201.11
2022,11,21,20,20,20,-28.456899,-48.972999,20.000000,16,0.00,134,140.25
2022,11,21,20,36,5,-28.456899,-48.972999,20.000000,16,0.00,134,136.65
2022,11,21,20,51,49,-28.456899,-48.972999,20.000000,16,0.00,134,136.65
2022,11,21,21,7,34,-28.456899,-48.972999,20.000000,16,0.00,134,138.61
2022,11,21,21,23,18,-28.456899,-48.972999,20.000000,16,0.00,134,130.09
2022,11,21,21,39,1,-28.456899,-48.972999,20.000000,16,0.00,134,125.68
2022,11,21,21,54,48,-28.456899,-48.972999,20.000000,16,0.00,134,134.85
2022,11,21,22,10,33,-28.456899,-48.972999,20.000000,16,0.00,134,135.50
