Data e Hora;Partículas Totais em Suspensão;Material Particulado <10µm;Óxidos de Nitrogênio;Dióxido de Nitrogênio;Dióxido de Enxofre;Monóxido de Nitrogênio;Ozônio;Material Particulado <2.5µm;Monóxido de Carbono
;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m;Média:1 h/ Freq.: horária/ Alt.: 1.0 m
;Rotina;Rotina;Rotina;Rotina;Rotina;Rotina;Rotina;Rotina;Rotina
;Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [ppm]
09/12/2022 00:30:00;62;46;35,56;28,87;7,37;6,69;15,59;18;0,2134
09/12/2022 01:30:00;54;49;35,95;27,85;7,33;8,1;14,54;18;0,1923
09/12/2022 02:30:00;50;38;31,11;23,08;7,1;8,03;14,73;19;0,1631
09/12/2022 03:30:00;66;48;33,63;23,43;6,81;10,2;11,36;25;0,1626
09/12/2022 04:30:00;53;38;36,42;22,28;6,92;14,14;10,9;19;0,1693
09/12/2022 05:30:00;50;37;28,17;16,98;6,75;11,19;14,08;16;0,1448
09/12/2022 06:30:00;49;48;29,01;18,45;6,79;10,56;11,82;13;0,1949
09/12/2022 07:30:00;65;49;53,47;22,35;6,68;31,12;8,88;20;0,3456
09/12/2022 08:30:00;83;66;66,2;27,5;7,11;38,7;10,87;20;0,3829
09/12/2022 09:30:00;77;53;48,39;36,13;8,9;12,26;19,68;24;0,2241
09/12/2022 10:30:00;54;45;37,69;32,05;9,94;5,64;30,62;21;0,1772
09/12/2022 11:30:00;52;40;27,3;24,45;7,9;2,85;48,89;13;0,161
09/12/2022 12:30:00;62;48;41,91;36,76;29,51;5,15;45,82;31;0,1344
09/12/2022 13:30:00;46;44;62,87;56,19;50,09;6,68;42,31;18;0,1078
09/12/2022 14:30:00;34;24;15,43;14,34;9,82;1,09;47,47;8;0,1022
09/12/2022 15:30:00;36;27;17,01;15,11;8,03;1,9;45,28;19;0,1079
09/12/2022 16:30:00;35;24;16,11;14,77;8,87;1,34;42,3;13;0,1161
09/12/2022 17:30:00;37;27;16,55;15,02;8,09;1,53;39,19;16;0,0982
09/12/2022 18:30:00;38;29;17,85;16,3;7,5;1,55;32,28;13;0,1148
09/12/2022 19:30:00;35;32;19,86;17,95;6,52;1,91;28,59;11;0,1248
09/12/2022 20:30:00;39;21;27,11;23,38;8,07;3,73;25,49;14;0,1204
09/12/2022 21:30:00;32;23;49,43;41,17;15,27;8,26;18,7;14;0,1342
