Data e Hora;Partículas Totais em Suspensão;Material Particulado <10µm;Óxidos de Nitrogênio;Dióxido de Nitrogênio;Dióxido de Enxofre;Monóxido de Nitrogênio;Ozônio;Material Particulado <2.5µm;Monóxido de Carbono
;Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [µg/m³];Valor [ppm]
01/01/2022 00:30:00;40;29;6,61;5,61;4,62;1;24,25;11;0,1586
01/01/2022 01:30:00;43;36;6,47;5,55;4,46;0,92;19,01;13;0,1732
01/01/2022 02:30:00;40;31;4,63;4,02;4,46;0,61;13,23;9;0,1467
01/01/2022 03:30:00;43;37;5,31;4,38;4,33;0,93;12,07;15;0,1544
01/01/2022 04:30:00;32;22;9,77;8,66;4,48;1,11;13,24;9;0,1167
01/01/2022 05:30:00;22;16;9,91;8,57;4,44;1,34;14,42;8;0,1079
01/01/2022 06:30:00;27;16;9,88;8,1;4,58;1,78;13,3;5;0,1154
01/01/2022 07:30:00;31;12;7,53;5,79;4,7;1,74;15,44;2;0,1209
01/01/2022 08:30:00;25;22;5,94;4,4;12,45;1,54;19,94;2;0,0938
01/01/2022 09:30:00;33;24;5,64;3,98;71,78;1,66;11,99;9;0,079
01/01/2022 10:30:00;27;21;4,93;3,39;45,03;1,54;25,63;10;0,092
01/01/2022 11:30:00;25;21;10,35;6,44;21,92;3,91;37,62;11;0,0712
01/01/2022 12:30:00;31;23;42,76;25,37;7,54;17,39;45,29;6;0,0838
01/01/2022 13:30:00;24;19;22,46;16,89;5,39;5,57;49,17;11;0,0829
01/01/2022 14:30:00;26;22;12,04;9,49;6,72;2,55;49,92;6;0,0883
01/01/2022 15:30:00;22;17;3,27;2,6;5,74;0,67;50,15;2;0,0749
01/01/2022 16:30:00;27;17;2,45;1,81;4,62;0,64;48,92;2;0,0668
01/01/2022 17:30:00;25;21;3,45;2,4;4,94;1,05;47,13;5;0,0888
01/01/2022 18:30:00;38;25;2,58;2,03;4,96;0,55;41,55;8;0,0807
01/01/2022 19:30:00;41;32;1,97;1,38;4,63;0,59;38,28;7;0,0878
01/01/2022 20:30:00;26;22;2,09;1,59;10,46;0,5;35;10;0,0941
01/01/2022 21:30:00;28;24;2,83;2,31;27,5;0,52;22,11;11;0,1042
01/01/2022 22:30:00;28;22;3,81;3,29;24,13;0,52;23,46;10;0,1063
01/01/2022 23:30:00;27;16;11,4;10,05;14,93;1,35;30,55;5;0,0999
02/01/2022 00:30:00;23;22;27,9;24,47;7,49;3,43;32,15;11;0,1042
02/01/2022 01:30:00;27;24;22,97;20,99;6,39;1,98;25,2;7;0,1008
02/01/2022 02:30:00;25;18;13,15;11,9;5,56;1,25;27,29;5;0,0937
02/01/2022 03:30:00;25;14;6,22;5,47;5,2;0,75;29,97;6;0,0921
02/01/2022 04:30:00;22;21;6,69;5,69;5,03;1;26,5;5;0,0937
02/01/2022 05:30:00;19;15;5,09;4,27;5,12;0,82;26,12;10;0,0933
02/01/2022 06:30:00;17;8;3,54;2,92;4,93;0,62;24,52;9;0,1055
02/01/2022 07:30:00;16;14;4,34;3,58;5,04;0,76;28,89;5;0,0958
02/01/2022 08:30:00;23;21;5,15;4,36;19,01;0,79;27,33;7;0,0868
02/01/2022 09:30:00;26;26;5,58;4,61;40,5;0,97;27,34;10;0,0992
02/01/2022 10:30:00;40;31;4,77;3,77;45,82;1;34,61;11;0,0957
02/01/2022 11:30:00;45;34;13,76;10,02;14,15;3,74;49,06;11;0,0957
02/01/2022 12:30:00;54;35;24,33;18,42;7,03;5,91;55,63;9;0,1081
02/01/2022 13:30:00;44;40;22,79;17,8;5,63;4,99;61,07;11;0,0997
02/01/2022 14:30:00;41;38;6,94;5,48;5,27;1,46;56,27;12;0,0978
02/01/2022 15:30:00;55;40;3,66;2,86;13,96;0,8;47,48;9;0,0914
02/01/2022 16:30:00;38;34;2,69;1,99;20,28;0,7;40,29;11;0,092
02/01/2022 17:30:00;38;30;2,24;1,71;11,12;0,53;42,98;11;0,0967
02/01/2022 18:30:00;45;32;6,69;5,38;19,49;1,31;34,97;11;0,1244
02/01/2022 19:30:00;44;41;11,04;8,89;8,07;2,15;39,98;10;0,1251
02/01/2022 20:30:00;47;37;6,21;5,33;6,65;0,88;36,11;14;0,119
02/01/2022 21:30:00;56;38;14,25;12,08;8,45;2,17;33,85;12;0,1277
02/01/2022 22:30:00;58;46;6,34;5,51;5,78;0,83;36,76;13;0,1198
02/01/2022 23:30:00;51;43;6,61;5,61;5,39;1;36,89;11;0,1327
03/01/2022 00:30:00;50;33;8,76;7,97;5,12;0,79;38,62;12;0,1277
03/01/2022 01:30:00;49;33;6,2;5,46;5,31;0,74;31,66;7;0,135
03/01/2022 02:30:00;43;34;8,27;7,57;5,71;0,7;28,04;6;0,1293
03/01/2022 03:30:00;39;39;8,09;7,33;5,33;0,76;22,41;9;0,1278
03/01/2022 04:30:00;36;33;8,96;8,09;5,79;0,87;20,47;10;0,1229
03/01/2022 05:30:00;37;37;10,72;9,84;5,23;0,88;19,08;9;0,1365
03/01/2022 06:30:00;48;29;11,66;10,62;5,2;1,04;18,76;11;0,1522
03/01/2022 07:30:00;51;38;10,74;9,58;6,03;1,16;24,77;10;0,1899
03/01/2022 08:30:00;58;43;9,25;7,89;5,62;1,36;33,34;10;0,1636
03/01/2022 09:30:00;59;42;10,41;8,5;5,31;1,91;42,74;15;0,1699
03/01/2022 10:30:00;76;56;9,66;7,62;9,13;2,04;53,77;24;0,1649
