DateTime,Partículas Totais em Suspensão,Material Particulado <10µm,Óxidos de Nitrogênio,Dióxido de Nitrogênio,Dióxido de Enxofre,Monóxido de Nitrogênio,Ozônio,Material Particulado <2.5µm,Monóxido de Carbono
2022-01-01 02:30:00,40.0,31.0,4.63,4.02,4.46,0.61,13.23,9.0,0.1467
2022-01-01 03:30:00,43.0,37.0,5.31,4.38,4.33,0.93,12.07,15.0,0.1544
2022-01-01 04:30:00,32.0,22.0,9.77,8.66,4.48,1.11,13.24,9.0,0.1167
2022-01-01 05:30:00,22.0,16.0,9.91,8.57,4.44,1.34,14.42,8.0,0.1079
2022-01-01 06:30:00,27.0,16.0,9.88,8.1,4.58,1.78,13.3,5.0,0.1154
2022-01-01 07:30:00,31.0,12.0,7.53,5.79,4.7,1.74,15.44,2.0,0.1209
2022-01-01 08:30:00,25.0,22.0,5.94,4.4,12.45,1.54,19.94,2.0,0.0938
2022-01-01 09:30:00,33.0,24.0,5.64,3.98,71.78,1.66,11.99,9.0,0.079
2022-01-01 10:30:00,27.0,21.0,4.93,3.39,45.03,1.54,25.63,10.0,0.092
2022-01-01 11:30:00,25.0,21.0,10.35,6.44,21.92,3.91,37.62,11.0,0.0712
2022-01-01 12:30:00,31.0,23.0,42.76,25.37,7.54,17.39,45.29,6.0,0.0838
2022-01-01 13:30:00,24.0,19.0,22.46,16.89,5.39,5.57,49.17,11.0,0.0829
2022-01-01 14:30:00,26.0,22.0,12.04,9.49,6.72,2.55,49.92,6.0,0.0883
2022-01-01 15:30:00,22.0,17.0,3.27,2.6,5.74,0.67,50.15,2.0,0.0749
2022-01-01 16:30:00,27.0,17.0,2.45,1.81,4.62,0.64,48.92,2.0,0.0668
2022-01-01 17:30:00,25.0,21.0,3.45,2.4,4.94,1.05,47.13,5.0,0.0888
2022-01-01 18:30:00,38.0,25.0,2.58,2.03,4.96,0.55,41.55,8.0,0.0807
2022-01-01 19:30:00,41.0,32.0,1.97,1.38,4.63,0.59,38.28,7.0,0.0878
2022-01-01 20:30:00,26.0,22.0,2.09,1.59,10.46,0.5,35.0,10.0,0.0941
2022-01-01 21:30:00,28.0,24.0,2.83,2.31,27.5,0.52,22.11,11.0,0.1042
2022-01-01 22:30:00,28.0,22.0,3.81,3.29,24.13,0.52,23.46,10.0,0.1063
2022-01-01 23:30:00,27.0,16.0,11.4,10.05,14.93,1.35,30.55,5.0,0.0999
2022-01-02 00:30:00,23.0,22.0,27.9,24.47,7.49,3.43,32.15,11.0,0.1042
2022-01-02 01:30:00,27.0,24.0,22.97,20.99,6.39,1.98,25.2,7.0,0.1008
2022-01-02 02:30:00,25.0,18.0,13.15,11.9,5.56,1.25,27.29,5.0,0.0937
2022-01-02 03:30:00,25.0,14.0,6.22,5.47,5.2,0.75,29.97,6.0,0.0921
2022-01-02 04:30:00,22.0,21.0,6.69,5.69,5.03,1.0,26.5,5.0,0.0937
2022-01-02 05:30:00,19.0,15.0,5.09,4.27,5.12,0.82,26.12,10.0,0.0933
2022-01-02 06:30:00,17.0,8.0,3.54,2.92,4.93,0.62,24.52,9.0,0.1055
2022-01-02 07:30:00,16.0,14.0,4.34,3.58,5.04,0.76,28.89,5.0,0.0958
2022-01-02 08:30:00,23.0,21.0,5.15,4.36,19.01,0.79,27.33,7.0,0.0868
2022-01-02 09:30:00,26.0,26.0,5.58,4.61,40.5,0.97,27.34,10.0,0.0992
2022-01-02 10:30:00,40.0,31.0,4.77,3.77,45.82,1.0,34.61,11.0,0.0957
2022-01-02 11:30:00,45.0,34.0,13.76,10.02,14.15,3.74,49.06,11.0,0.0957
2022-01-02 12:30:00,54.0,35.0,24.33,18.42,7.03,5.91,55.63,9.0,0.1081
2022-01-02 13:30:00,44.0,40.0,22.79,17.8,5.63,4.99,61.07,11.0,0.0997
2022-01-02 14:30:00,41.0,38.0,6.94,5.48,5.27,1.46,56.27,12.0,0.0978
